"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","ImpLevel","Baile","Guitarra"
9.8,28.9,19.1,"Introduction - 4x12 - No movement","4","1.1","MC","DI","2.5","Z1","A2"
29.0,48.3,19.3,"Letra 1 - 4x12 - Movement","4","1.2","MC","DC","2.5","Z1","A3"
48.4,68.3,19.9,"Letra 2 - 4x12 - Snapping some steps","4","1.3","MC","DC","3","Z2","A3"
68.4,87.9,19.5,"Falseta 1 - Zapateado - 4x12 - Continues","4","1.4","MC","DC","2.5","Z2","A3"
88.0,107.0,19.0,"Falseta 2- Escobilla comienzo - 4x12 ","4","1.5","MC","DC","2.5","Z3","A3"
107.1,125.3,18.2,"Escobilla continued - 4x12","4","1.6","MC","DC","3.5","Z3","A2"
125.4,143.0,17.6,"Letra 2 - Zapateado - 2x8","4","1.7","MC","DC","4.5","Z3","A3"
143.1,159.3,16.2,"Escobilla 2- 4x12","4","1.8","MC","DC","4","Z3","A1"
159.4,172.4,13.0,"3x12 Paseando","3","1.9","MC","DC","4.5","Z3","A2"
172.5,186.0,13.5,"Remate - Cierre 3x12","3","1.10","MC","DC","3","Z3","A1"

