"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
3.3,10.8,7.5,"Introduction","1","5.29","MI","DI","Z1","A1"
10.8,16.3,5.5,"Introduction","0.5","5.30","MI","DI","Z1","A3"
16.3,22.8,6.5,"Salida","0.5","5.31","MI","DI","Z2","A3"
22.8,29.4,6.6,"Salida","0.5","5.32","MI","DI","Z1","A3"
29.4,35.5,6.1,"Escobilla","0.5","5.33","MI","DI","Z3","A3"
35.5,51.1,15.6,"Escobilla Cierre","2.5","5.34","MI","DI","Z3","A2"
51.2,57.2,6.0,"Respiro","1","5.35","MI","DI","Z1","A1"
57.3,69.3,12.0,"Marcaje","2","5.36","MI","DI","Z2","A3"
69.4,76.4,7.0,"Marcajes","1","5.37","MI","DI","Z2","A3"
76.4,82.2,5.8,"Zapateado","1","5.38","MI","DI","Z3","A2	"
82.3,94.8,12.5,"Zapateado","2","5.39","MI","DI","Z3","A3"
94.9,109.1,14.2,"Zapateado","2.25","5.40","MI","DI","Z3","A2"
109.2,119.7,10.5,"Zapateado","1.75","5.41","MI","DI","Z3","A2"
119.8,130.0,10.2,"Remate Cierre","1.5","5.42","MI","DI","Z3","A1"

