"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra","Dance_Step"
5.7,12.8,7.1,"Salida","1","14.23","MI","DI","Z1","A1","14.57"
12.9,19.6,6.7,"Salida","1","14.24","MI","DI","Z1","A1","14.58"
19.6,26.8,7.2,"Letra Impro","1","14.25","MI","DI","Z1","A2","14.59"
26.9,33.6,6.7,"Letra Impro","1","14.26","MI","DI","Z1","A2","14.60"
33.6,40.4,6.8,"Letra Impro","1","14.27","MI","DI","Z2","A2","14.61"
40.4,47.2,6.8,"Baile Impro","1","14.28","MI","DI","Z2","A3","14.62"
47.3,50.5,3.2,"Cierre","1","14.29","MI","DI","Z2","A3","14.63"
50.5,57.4,6.9,"Escobilla","1","14.30","MI","DI","Z3","A3","14.64"
57.4,63.9,6.5,"Escobilla","1","14.31","MI","DI","Z3","A3","14.65"
63.9,70.6,6.7,"Llamada Cierre","1","14.32","MI","DI","Z3","A3","14.66"
70.7,74.3,3.6,"Respiro","0.5","14.33","MI","DI","Z3","A1","14.67"
74.4,81.0,6.6,"Marcaje","1","14.35","MI","DI","Z2","A2","14.68"
81.1,87.9,6.8,"Maracje Llamada","1","14.36","MI","DI","Z2","A2","14.69"
87.9,94.4,6.5,"Llamada","1","14.37","MI","DI","Z3","A3","14.70"
94.5,100.9,6.4,"Escobilla","1","14.38","MI","DI","Z3","A3","14.71"
101.0,107.8,6.8,"Escobilla","1","14.39","MI","DI","Z2","A3","14.72"
107.9,114.4,6.5,"Maracjes Pies","1","14.40","MI","DI","Z2","A3","14.73"
114.5,118.1,3.6,"Cierre","0.5","14.41","MI","DI","Z3","A1","14.74"
118.1,124.3,6.2,"Escobilla","1","14.42","MI","DI","Z3","A1","14.75"
124.4,130.8,6.4,"Escobilla","1","14.43","MI","DI","Z3","A1","14.76"
130.8,137.3,6.5,"Escobilla Impro","1","14.44","MI","DI","Z3","A2","14.77"
137.4,143.5,6.1,"Escobilla","1","14.45","MI","DI","Z3","A2","14.78"
143.6,150.3,6.7,"Llamada Cierre","1","14.46","MI","DI","Z3","A1","14.79"

