,Name,Sequence,Baile_1,Baile_2,Comparisson_Baile,Guitarra_1,Guitarra_2,Comparisson_Guitarra
0,P7_D5_G1_M5_R2_T1,Salida,Z2,Z2,True,A1,A1,True
1,P7_D5_G1_M5_R2_T1,Escobilla,Z3,Z3,True,A1,A1,True
2,P7_D5_G1_M5_R2_T1,Escobilla,Z3,Z3,True,A1,A1,True
3,P7_D5_G1_M5_R2_T1,Escobilla Cierre,Z3,Z3,True,A1,A1,True
4,P7_D5_G1_M5_R2_T1,Respiro Pitos,Z1,Z1,True,A2,A2,True
5,P7_D5_G1_M5_R2_T1,Escobilla,Z3,Z3,True,A2,A2,True
6,P7_D5_G1_M5_R2_T1,Interludio Marcaje,Z2,Z2,True,A3,A3,True
7,P7_D5_G1_M5_R2_T1,Interludio Pitos,Z1,Z1,True,A3,A3,True
8,P7_D5_G1_M5_R2_T1,Respiro Bajada,Z1,Z1,True,A3,A3,True
9,P7_D5_G1_M5_R2_T1,Escobilla,Z3,Z3,True,A2,A2,True
10,P7_D5_G1_M5_R2_T1,Escobilla,Z3,Z3,True,A2,A2,True
11,P7_D5_G1_M5_R2_T1,Cierre,Z3,Z3,True,A1,A1,True
12,P7_D5_G1_M5_R2_T1,Escobilla Cierre,Z3,Z3,True,A1,A1,True
13,P10_D5_G5_M6_R2_T1,Salida,Z1,Z1,True,A3,A3,True
14,P10_D5_G5_M6_R2_T1,Salida,Z1,Z1,True,A3,A3,True
15,P10_D5_G5_M6_R2_T1,Salida,Z1,Z1,True,A3,A3,True
16,P10_D5_G5_M6_R2_T1,Letra,Z2,Z2,True,A2,A2,True
17,P10_D5_G5_M6_R2_T1,Escobilla,Z3,Z3,True,A1,A1,True
18,P10_D5_G5_M6_R2_T1,Escobilla,Z3,Z3,True,A1,A1,True
19,P10_D5_G5_M6_R2_T1,Cierre,Z3,Z3,True,A1,A1,True
20,P10_D5_G5_M6_R2_T1,Respiro,Z1,Z1,True,A2,A2,True
21,P10_D5_G5_M6_R2_T1,Marcaje,Z1,Z1,True,A3,A3,True
22,P10_D5_G5_M6_R2_T1,Marcaje,Z2,Z2,True,A3,A3,True
23,P10_D5_G5_M6_R2_T1,Marcaje,Z2,Z2,True,A3,A3,True
24,P10_D5_G5_M6_R2_T1,Llamada,Z2,Z2,True,A1,A1,True
25,P10_D5_G5_M6_R2_T1,Marcaje,Z2,Z2,True,A2,A2,True
26,P10_D5_G5_M6_R2_T1,Pies,Z3,Z3,True,A2,A2,True
27,P10_D5_G5_M6_R2_T1,Pies,Z2,Z2,True,A2,A2,True
28,P10_D5_G5_M6_R2_T1,Escobilla Cierre,Z3,Z3,True,A1,A1,True
29,P9_D1_G4_M1_R1_T1,Salida,Z2,Z2,True,A1,A1,True
30,P9_D1_G4_M1_R1_T1,Salida,Z2,Z2,True,A1,A1,True
31,P9_D1_G4_M1_R1_T1,Letra Impro,Z2,Z2,True,A3,A3,True
32,P9_D1_G4_M1_R1_T1,Letra Impro,Z2,Z2,True,A3,A3,True
33,P9_D1_G4_M1_R1_T1,Letra Impro,Z2,Z2,True,A3,A3,True
34,P9_D1_G4_M1_R1_T1,Baile Impro,Z2,Z2,True,A3,A3,True
35,P9_D1_G4_M1_R1_T1,Cierre,Z2,Z2,True,A2,A2,True
