,Name,Music_Label,Dance_Label,Step,Imp_Av,CTW_Av,LZ_Av,Assigned_Cat,Rounds,Dance_mode,Music_mode,Palo,Participant
0,P3_D5_G1_M6_R2_T1,MC,DC,1.1,1.5659781954802128,0.20221905926982314,0.1728102034734169,IMP0,4,D5,M6,R2,P3
1,P3_D5_G1_M6_R2_T1,MC,DC,1.2,1.5724780355453483,0.18656540547383996,0.16153808784293813,IMP0,4,D5,M6,R2,P3
2,P3_D5_G1_M6_R2_T1,MC,DI,1.3,3.4620780587146145,0.469172233023239,0.4317220286473371,IMP1,4,D5,M6,R2,P3
3,P3_D5_G1_M6_R2_T1,MC,DC,1.4,2.501273830186342,0.43282068346093105,0.39171324387428524,IMP0,4,D5,M6,R2,P3
4,P3_D5_G1_M6_R2_T1,MC,DC,1.5,2.618850389592946,0.5462529452685315,0.5246028588036594,IMP0,4,D5,M6,R2,P3
5,P3_D5_G1_M6_R2_T1,MC,DI,1.6,3.9348580547986503,0.5829779733637226,0.5572035720994404,IMP1,4,D5,M6,R2,P3
6,P3_D5_G1_M6_R2_T1,MC,DI,1.7,5.1037821770944225,0.44180570790364715,0.39736375311982014,IMP2,4,D5,M6,R2,P3
7,P3_D5_G1_M6_R2_T1,MI,DI,1.8,3.362056774259167,0.6324127847281681,0.5839592225696177,IMP1,4,D5,M6,R2,P3
8,P3_D5_G1_M6_R2_T1,MC,DI,1.9,2.7602352644798085,0.6823610831745063,0.6215843049149467,IMP0,3,D5,M6,R2,P3
9,P3_D5_G1_M6_R2_T1,M6,DC,1.1,3.51992451005818,0.5697347836416581,0.5455888451495926,IMP1,3,D5,M6,R2,P3
10,P3_D1_G1_M1_R2_T1,MI,DI,1.17,3.383210756277269,0.0991903688906101,0.08070207124823403,IMP1,4,D1,M1,R2,P3
11,P3_D1_G1_M1_R2_T1,MI,DI,1.18,6.145172067628717,0.15377781173329275,0.12196941481070328,IMP2,4,D1,M1,R2,P3
12,P3_D1_G1_M1_R2_T1,MI,DI,1.19,6.764161641892176,0.27704204953726863,0.22405931073029756,IMP2,4,D1,M1,R2,P3
13,P3_D1_G1_M1_R2_T1,MI,DI,1.2,6.6437433278585365,0.3377835323577777,0.2616364756088614,IMP2,4,D1,M1,R2,P3
14,P3_D1_G1_M1_R2_T1,MI,DI,1.21,5.9438267949528765,0.2671506910652639,0.24459745766264335,IMP2,4,D1,M1,R2,P3
15,P3_D1_G1_M1_R2_T1,MI,DI,1.22,5.715354001206081,0.6007049440578572,0.5440289847268867,IMP2,4,D1,M1,R2,P3
16,P3_D1_G1_M1_R2_T1,MI,DI,1.23,6.241207427763612,0.24827157378833878,0.22136700926624864,IMP2,4,D1,M1,R2,P3
17,P3_D1_G1_M1_R2_T1,MI,DI,1.24,5.279467822249362,0.3380138067927757,0.28375313458910373,IMP2,4,D1,M1,R2,P3
18,P3_D1_G1_M1_R2_T1,MI,DI,1.25,6.661747329155335,0.6208793202486413,0.5236929955378498,IMP2,4,D1,M1,R2,P3
19,P3_D1_G1_M1_R2_T1,MI,DI,1.26,6.585298743432283,0.5589100318879856,0.4969998998936402,IMP2,3,D1,M1,R2,P3
20,P3_D5_G1_M5_R2_T1,MI,DI,1.11,5.177030428307677,0.13504615408573833,0.12247834914229119,IMP2,4,D5,M5,R2,P3
21,P3_D5_G1_M5_R2_T1,MI,DI,1.2,5.978248117607631,0.29261040060462734,0.2610971523989157,IMP2,4,D5,M5,R2,P3
22,P3_D5_G1_M5_R2_T1,MC,DI,1.6,5.9601454744516635,0.43335709461761235,0.3904752871668301,IMP2,3,D5,M5,R2,P3
