,t0,var
0.0,0.0,49.01178967003885
4.0,4.0,46.86929759765956
8.0,8.0,49.460248377300864
12.0,12.0,51.060263554375254
16.0,16.0,50.05961198125514
20.0,20.0,49.63394337638831
24.0,24.0,50.17244151488432
28.0,28.0,51.02026184730303
32.0,32.0,49.00295637301441
36.0,36.0,52.82162693082752
40.0,40.0,53.92155210884415
44.0,44.0,54.774510344404234
48.0,48.0,53.698207685815674
52.0,52.0,54.49339242096505
56.0,56.0,55.554661666022554
60.0,60.0,55.50372943333159
64.0,64.0,49.85180381581521
68.0,68.0,51.560450116705454
72.0,72.0,54.69445245658994
76.0,76.0,54.42715360024544
80.0,80.0,53.51560115779617
84.0,84.0,53.6804596147345
88.0,88.0,54.54637488173649
92.0,92.0,54.47693270145359
96.0,96.0,54.60073781439094
100.0,100.0,54.16979387106763
104.0,104.0,54.262163408401626
108.0,108.0,54.44184668213341
112.0,112.0,51.94219912698241
116.0,116.0,50.97993697360562
120.0,120.0,53.494994289895295
124.0,124.0,53.53596692695124
128.0,128.0,53.99113514789913
132.0,132.0,55.47237020811317
136.0,136.0,56.766481541857814
140.0,140.0,55.41092961052876
144.0,144.0,55.949449470011054
148.0,148.0,51.47627177793394
152.0,152.0,49.76624051190582
156.0,156.0,51.18700578272403
160.0,160.0,54.47281714349221
164.0,164.0,51.159142239737974
168.0,168.0,50.62219255075917
172.0,172.0,50.90431808310982
176.0,176.0,50.85732722195667
180.0,180.0,52.34777609817101
184.0,184.0,53.435525764888666
188.0,188.0,53.59470140191934
192.0,192.0,54.53621623515122
196.0,196.0,53.99901176208425
200.0,200.0,53.71164426054208
204.0,204.0,50.24716431072058
208.0,208.0,50.57281162633865
212.0,212.0,51.44309205843746
216.0,216.0,53.41781776739389
220.0,220.0,53.33824361916213
224.0,224.0,54.33289164140799
228.0,228.0,53.86103516762684
232.0,232.0,54.416667752791284
236.0,236.0,55.09461949633002
240.0,240.0,56.00875046229561
244.0,244.0,55.973961145647976
