,t0,LZ,CTW
mean,203220.0,0.18559892215960674,0.25149568835594055
0.0,0.0,0.004183582261794414,0.0004299302129161915
4.0,4.0,0.016734329047177657,0.012674372767932646
8.0,8.0,0.04183582261794414,0.042626524754162155
12.0,12.0,0.07112089845050504,0.12549374363915985
16.0,16.0,0.14015000577011288,0.1987228464212547
20.0,20.0,0.15060896142459892,0.20016781948858958
24.0,24.0,0.4434597197502079,0.4807117660174937
28.0,28.0,0.3974403148704694,0.7505474042179952
32.0,32.0,0.5229477827243018,0.571630958364041
36.0,36.0,0.2886671760638146,0.35777188426901274
40.0,40.0,0.39325673260867494,0.4612353166345015
44.0,44.0,0.30330971398009504,0.3193436199395191
48.0,48.0,0.3827977769541889,0.424763114920982
52.0,52.0,0.38488956808508606,0.6005057993782384
56.0,56.0,0.004183582261794414,0.0004299302129161915
60.0,60.0,0.004183582261794414,0.0004299302129161915
64.0,64.0,0.004183582261794414,0.0004299302129161915
68.0,68.0,0.058570151665121806,0.07946274866028133
72.0,72.0,0.25729030910035644,0.4668551763236044
76.0,76.0,0.24264777118407604,0.27207082002532273
80.0,80.0,0.24264777118407604,0.38442786260396716
84.0,84.0,0.004183582261794414,0.0004299302129161915
88.0,88.0,0.004183582261794414,0.0004299302129161915
92.0,92.0,0.004183582261794414,0.0004299302129161915
96.0,96.0,0.006275373392691622,0.008596791592899462
100.0,100.0,0.02510149357076649,0.01952508393356117
104.0,104.0,0.1150485121993464,0.1269437350159973
108.0,108.0,0.0878552274976827,0.12134949753678702
112.0,112.0,0.12759925898472965,0.1915930830833916
116.0,116.0,0.37861419469239455,0.4196545525920895
120.0,120.0,0.2782082204093286,0.29611144990569116
124.0,124.0,0.3827977769541889,0.7245135039466721
128.0,128.0,0.3556044922525252,0.6390487282224783
