,t0,var
0.0,0.0,49.20172665132648
4.0,4.0,49.76054644305371
8.0,8.0,47.658591070522945
12.0,12.0,48.63039136667504
16.0,16.0,49.64882441848569
20.0,20.0,47.81084130235422
24.0,24.0,49.83481631750716
28.0,28.0,49.19733726508824
32.0,32.0,49.18713139861953
36.0,36.0,48.55019215404503
40.0,40.0,50.91480615614338
44.0,44.0,49.294366270314335
48.0,48.0,52.714025031848315
52.0,52.0,51.56284366631688
56.0,56.0,53.931251513833665
60.0,60.0,56.95783008501749
64.0,64.0,49.555120999812914
68.0,68.0,49.81963264549815
72.0,72.0,56.26050662853633
76.0,76.0,51.50355888696457
80.0,80.0,49.00342247941827
84.0,84.0,55.105939803351895
88.0,88.0,55.36878940926187
92.0,92.0,54.642177150489175
96.0,96.0,55.63154740778069
100.0,100.0,54.49880925509204
104.0,104.0,55.81499742353345
108.0,108.0,55.91258852756957
112.0,112.0,55.92192282954953
116.0,116.0,51.52785667154739
120.0,120.0,51.69057393211951
124.0,124.0,52.09991120465939
128.0,128.0,51.28020531084828
132.0,132.0,49.5139432945382
136.0,136.0,55.135126057848176
140.0,140.0,55.475261878761124
144.0,144.0,55.55390007198181
148.0,148.0,52.401263848340754
152.0,152.0,51.41901046925346
156.0,156.0,54.189954277306335
160.0,160.0,51.35820236322731
164.0,164.0,50.21727224215046
168.0,168.0,56.74094016549044
172.0,172.0,54.90333853752631
176.0,176.0,55.35624388450659
180.0,180.0,56.020261425658596
184.0,184.0,56.12380323385468
188.0,188.0,52.178773009408374
