,t0,var
0.0,0.0,50.03954401781638
4.0,4.0,49.75281240531358
8.0,8.0,42.581758505579934
12.0,12.0,47.583761386734636
16.0,16.0,48.29474707791971
20.0,20.0,49.033689659795186
24.0,24.0,49.658148927306634
28.0,28.0,49.29650688046299
32.0,32.0,48.90735197926528
36.0,36.0,49.92498430766182
40.0,40.0,49.90794881161882
44.0,44.0,49.89935420510784
48.0,48.0,49.86977710897676
52.0,52.0,49.357199663179145
56.0,56.0,51.84781707400742
60.0,60.0,54.40926039099405
64.0,64.0,54.68447753565501
68.0,68.0,53.11310123613915
72.0,72.0,53.77022114421552
76.0,76.0,55.000672936039564
80.0,80.0,52.53563118398503
84.0,84.0,52.40299979823223
88.0,88.0,51.984824004330704
92.0,92.0,51.763434315217054
96.0,96.0,50.06086555389249
100.0,100.0,50.133049800038286
104.0,104.0,52.505922279987956
108.0,108.0,52.24250424277628
112.0,112.0,52.294268124241825
116.0,116.0,52.17219626468395
120.0,120.0,51.757277896709304
124.0,124.0,50.95363643774087
128.0,128.0,50.991309379591385
132.0,132.0,50.91137934306908
136.0,136.0,52.38207410461502
140.0,140.0,51.75557184649143
144.0,144.0,52.701778292070806
148.0,148.0,54.88564225150902
152.0,152.0,53.88927790264691
156.0,156.0,55.21703314633158
160.0,160.0,54.57781622338435
164.0,164.0,52.315281830092296
168.0,168.0,51.05898341064233
172.0,172.0,54.448216782923396
176.0,176.0,55.2905151545924
180.0,180.0,54.727170024374736
184.0,184.0,54.39572841952352
188.0,188.0,54.64033844552615
192.0,192.0,54.242987506096576
196.0,196.0,55.259182229905605
200.0,200.0,55.748143672543186
204.0,204.0,55.76128847361951
