,t0,LZ,CTW
mean,217080.0,0.17652392932404767,0.24685690777166633
0.0,0.0,0.006275373392691622,0.002384996592722596
4.0,4.0,0.008367164523588828,0.0043356217764129994
8.0,8.0,0.04811119601063576,0.050619361180822005
12.0,12.0,0.04392761374884135,0.05907395654127977
16.0,16.0,0.06066194279601901,0.09060372046803804
20.0,20.0,0.08576343636678549,0.09496381452876765
24.0,24.0,0.0899470186285799,0.14771775200673806
28.0,28.0,0.08367164523588828,0.12119109855125484
32.0,32.0,0.10668134767575757,0.14498070157270287
36.0,36.0,0.12550746785383243,0.1472512226512467
40.0,40.0,0.11714030333024361,0.1497724840210049
44.0,44.0,0.06902910731960783,0.08551217393672507
48.0,48.0,0.3263194164199643,0.40085022436868817
52.0,52.0,0.6840156998033867,1.087442641622893
56.0,56.0,0.3597880745143196,0.6215903661207359
60.0,60.0,0.12759925898472965,0.3278650753602869
64.0,64.0,0.0899470186285799,0.14522225349163023
68.0,68.0,0.010458955654486035,0.006283617811379857
72.0,72.0,0.10877313880665478,0.2056238602738883
76.0,76.0,0.15479254368639334,0.23911830145672874
80.0,80.0,0.023009702439869276,0.026703685187276945
84.0,84.0,0.012550746785383244,0.008228846704440847
88.0,88.0,0.10668134767575757,0.16094646529310508
92.0,92.0,0.08367164523588828,0.14040517239909756
96.0,96.0,0.09413060089037431,0.12072688316857327
100.0,100.0,0.1464253791628045,0.23665692003652566
104.0,104.0,0.2070873219588235,0.22770872923229402
108.0,108.0,0.16734329047177657,0.31121971692939987
112.0,112.0,0.07739627184319667,0.11763054967366192
116.0,116.0,0.07112089845050504,0.11409400118259821
120.0,120.0,0.1150485121993464,0.16056352347743286
124.0,124.0,0.4288171818339275,0.49794737467342887
128.0,128.0,0.5041216625462269,0.6097288728267988
132.0,132.0,0.5041216625462269,0.7059988392925591
136.0,136.0,0.596160472305704,0.7299635901533295
140.0,140.0,0.5103970359389186,0.585922265215519
