,t0,LZ,CTW
mean,312660.0,0.18210650864560873,0.2741612592489312
0.0,0.0,0.016734329047177657,0.01540457293069042
4.0,4.0,0.027193284701663694,0.030556197743026217
8.0,8.0,0.004183582261794414,0.0004299302129161915
12.0,12.0,0.004183582261794414,0.0004299302129161915
16.0,16.0,0.004183582261794414,0.0004299302129161915
20.0,20.0,0.03974403148704694,0.048607362425149056
24.0,24.0,0.03765224035614973,0.04740559193080126
28.0,28.0,0.03137686696345811,0.04084254297939858
32.0,32.0,0.03556044922525252,0.06372289124828097
36.0,36.0,0.03556044922525252,0.04022766481562802
40.0,40.0,0.08157985410499108,0.10750161051856576
44.0,44.0,0.018826120178074866,0.011717818710775707
48.0,48.0,0.04811119601063576,0.1595142941822942
52.0,52.0,0.016734329047177657,0.012111672142343825
56.0,56.0,0.012550746785383244,0.00683585851250573
60.0,60.0,0.06693731618871063,0.10066231295741947
64.0,64.0,0.06693731618871063,0.11529933544261574
68.0,68.0,0.07739627184319667,0.10927360659171749
72.0,72.0,0.3305029986817587,0.3758935020797244
76.0,76.0,0.34096195433624477,0.6391832251799473
80.0,80.0,0.34096195433624477,0.39502439793931693
84.0,84.0,0.1736186638644682,0.24601559339856813
88.0,88.0,0.1736186638644682,0.23972252391068155
92.0,92.0,0.22800523326779557,0.2818280711713714
96.0,96.0,0.033468658094355314,0.03680535136567303
100.0,100.0,0.0920388097594771,0.13035454789446482
104.0,104.0,0.41835822617944146,0.48249234372191774
108.0,108.0,0.4581022576664883,0.5339103622982564
112.0,112.0,0.33259478981265594,1.2235902472791778
116.0,116.0,0.3242276252890671,0.6173909597498553
120.0,120.0,0.22591344213689837,0.4347355293379477
124.0,124.0,0.07530448071229946,0.11209437008879719
128.0,128.0,0.12341567672293523,0.19410350253331776
132.0,132.0,0.1485171702937017,0.25663751921840205
136.0,136.0,0.1736186638644682,0.24558713499817986
140.0,140.0,0.2614738913621509,0.41566319486518993
144.0,144.0,0.1778022461262626,0.40532719606516066
148.0,148.0,0.10668134767575757,0.1352924666689953
152.0,152.0,0.42254180844123584,0.8879447973221503
156.0,156.0,0.5438656940332739,0.7494325802839521
160.0,160.0,0.42463359957213304,0.5128835261244513
164.0,164.0,0.1757104549953654,0.31415294688263184
168.0,168.0,0.14224179690101008,0.2398075863050053
172.0,172.0,0.012550746785383244,0.006010052633393221
176.0,176.0,0.27402463814753414,0.36068375323175816
180.0,180.0,0.25101493570766487,0.29729952905700596
184.0,184.0,0.3493291188598336,0.4110348064037679
188.0,188.0,0.403715688263161,0.4809461782089538
192.0,192.0,0.3514209099907308,0.4243451305901072
196.0,196.0,0.3493291188598336,0.4387149748026158
200.0,200.0,0.4476433020120023,0.5451450037102785
204.0,204.0,0.15688433481729053,0.2753594518534456
