,t0,var
0.0,0.0,51.1360030168213
4.0,4.0,51.80915938618319
8.0,8.0,52.67159683076165
12.0,12.0,54.106000118195894
16.0,16.0,53.89183355335844
20.0,20.0,54.10581223315182
24.0,24.0,54.001037991409355
28.0,28.0,53.90537859123076
32.0,32.0,53.77588742228036
36.0,36.0,54.111439075018005
40.0,40.0,54.823683271728896
44.0,44.0,54.31984274550829
48.0,48.0,53.688553332606084
52.0,52.0,54.664618565231116
56.0,56.0,54.37128338226157
60.0,60.0,54.70287652485293
64.0,64.0,54.49911770076092
68.0,68.0,55.013399759822704
72.0,72.0,53.771593697412115
76.0,76.0,53.87290389515477
80.0,80.0,53.59313302279002
84.0,84.0,54.156342413297956
88.0,88.0,53.98894915516147
92.0,92.0,54.453165358645975
96.0,96.0,53.778725857758054
100.0,100.0,53.777380869654095
104.0,104.0,54.07755658009039
108.0,108.0,54.29465778440085
112.0,112.0,54.432756734092784
116.0,116.0,54.59441457649323
120.0,120.0,54.79998248668256
