,t0,var
0.0,0.0,54.44719019569096
4.0,4.0,53.26710912936839
8.0,8.0,46.410930548145735
12.0,12.0,51.068213092833176
16.0,16.0,51.54664288857197
20.0,20.0,53.55175388896794
24.0,24.0,54.47457202585816
28.0,28.0,53.946133404210826
32.0,32.0,53.533849858482384
36.0,36.0,54.87031068782685
40.0,40.0,54.608235850673175
44.0,44.0,53.58157463689028
48.0,48.0,53.761366963882764
52.0,52.0,52.92900226572456
56.0,56.0,52.13092892268148
60.0,60.0,54.52206099174755
64.0,64.0,54.03944467854156
68.0,68.0,54.66668598253667
72.0,72.0,55.41195982014117
76.0,76.0,55.60624699177383
80.0,80.0,55.96272013601482
84.0,84.0,55.009472591320986
88.0,88.0,55.90239668945427
92.0,92.0,55.827002949622525
96.0,96.0,53.38379628527891
100.0,100.0,54.810569531816384
104.0,104.0,55.97293076741233
108.0,108.0,56.228805693884475
112.0,112.0,56.01942405333549
116.0,116.0,55.84050127106805
120.0,120.0,55.14185637259141
124.0,124.0,54.3911813801379
128.0,128.0,54.64500971250635
132.0,132.0,54.929613748587826
136.0,136.0,55.17754806204721
140.0,140.0,55.66742627603089
144.0,144.0,55.44586858832784
148.0,148.0,55.28212764194147
152.0,152.0,55.97353774025312
156.0,156.0,56.35540937902215
160.0,160.0,56.446499346911644
164.0,164.0,55.55138868894845
168.0,168.0,54.78317325853817
172.0,172.0,52.336216299952056
176.0,176.0,55.64344468573546
180.0,180.0,55.4831574540951
184.0,184.0,55.79786757594774
188.0,188.0,55.628587727252935
192.0,192.0,55.6345205426482
196.0,196.0,55.490234363070265
200.0,200.0,56.54854749311335
204.0,204.0,54.98596390228204
