,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Row_Avg
Column_Avg,0.41834088267407027,0.3795924796955195,0.36745506183658605,0.3823858720282616,0.3820083169520952,0.380089735985157,0.3849787248619483
P10_D1_G5_M1_R1_T1,0.3333333333333333,0.4358974358974359,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.28205128205128205,0.34188034188034183
P6_D1_G1_M6_R1_T1,0.5862068965517241,0.3103448275862069,0.41379310344827586,0.41379310344827586,0.20689655172413793,0.4827586206896552,0.40229885057471265
P12_D5_G7_M5_R1_T1,0.5,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.47619047619047616,0.40476190476190477,0.42857142857142855
P13_D5_G5_M5_R1_T1,0.5517241379310345,0.4482758620689655,0.4482758620689655,0.20689655172413793,0.41379310344827586,0.3793103448275862,0.4080459770114943
P9_D6_G4_M6_R1_T1,0.39285714285714285,0.39285714285714285,0.32142857142857145,0.5714285714285714,0.39285714285714285,0.25,0.3869047619047619
P9_D5_G4_M6_R2_T1,0.45098039215686275,0.37254901960784315,0.3137254901960784,0.5098039215686274,0.39215686274509803,0.37254901960784315,0.40196078431372545
P10_D0_G5_M6_R1_T1,0.5454545454545454,0.36363636363636365,0.3181818181818182,0.4090909090909091,0.13636363636363635,0.36363636363636365,0.35606060606060613
P3_D5_G1_M5_R1_T1,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.2459016393442623,0.4426229508196721,0.3442622950819672
P11_D5_G6_M5_R1_T1,0.3333333333333333,0.47058823529411764,0.27450980392156865,0.37254901960784315,0.37254901960784315,0.49019607843137253,0.38562091503267976
P5_D0_G3_M6_R2_T1,0.3125,0.15625,0.3125,0.21875,0.375,0.21875,0.265625
P9_D6_G4_M6_R1_T2,0.42857142857142855,0.32142857142857145,0.5714285714285714,0.42857142857142855,0.32142857142857145,0.42857142857142855,0.4166666666666667
P7_D5_G1_M5_R2_T1,0.4375,0.46875,0.40625,0.3125,0.4375,0.3125,0.3958333333333333
P4_D1_G2_M6_R1_T1,0.3793103448275862,0.42528735632183906,0.25287356321839083,0.45977011494252873,0.42528735632183906,0.4367816091954023,0.39655172413793105
P5_D1_G3_M1_R2_T1,0.4883720930232558,0.3488372093023256,0.3023255813953488,0.37209302325581395,0.32558139534883723,0.4186046511627907,0.37596899224806196
P8_D1_G4_M1_R2_T1,0.4807692307692308,0.34615384615384615,0.4230769230769231,0.2692307692307692,0.28846153846153844,0.4423076923076923,0.375
P3_D1_G1_M1_R1_T1,0.4098360655737705,0.2459016393442623,0.3442622950819672,0.39344262295081966,0.39344262295081966,0.36065573770491804,0.35792349726775957
P4_D5_G2_M6_R2_T1,0.4,0.3,0.4,0.425,0.45,0.175,0.35833333333333334
P7_D0_G1_M6_R2_T1,0.46808510638297873,0.3617021276595745,0.3829787234042553,0.425531914893617,0.3404255319148936,0.40425531914893614,0.39716312056737585
P4_D6_G2_M6_R1_T1,0.3956043956043956,0.3076923076923077,0.32967032967032966,0.26373626373626374,0.3076923076923077,0.25274725274725274,0.3095238095238095
P11_D1_G6_M1_R1_T1,0.30158730158730157,0.3492063492063492,0.38095238095238093,0.5079365079365079,0.3968253968253968,0.3333333333333333,0.3783068783068783
P3_D0_G1_M6_R1_T1,0.4583333333333333,0.2708333333333333,0.3958333333333333,0.4375,0.3541666666666667,0.375,0.3819444444444445
P7_D1_G1_M1_R2_T1,0.2765957446808511,0.425531914893617,0.3191489361702128,0.44680851063829785,0.425531914893617,0.3404255319148936,0.3723404255319149
P8_D5_G4_M5_R2_T1,0.6078431372549019,0.37254901960784315,0.5098039215686274,0.39215686274509803,0.3333333333333333,0.5686274509803921,0.4640522875816993
P11_D0_G6_M6_R1_T1,0.625,0.4583333333333333,0.16666666666666666,0.6666666666666666,0.5416666666666666,0.3333333333333333,0.46527777777777773
P5_D5_G3_M5_R2_T1,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.5,0.45454545454545453,0.5,0.42424242424242425
P10_D5_G5_M5_R1_T1,0.5,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.375,0.20833333333333334,0.3680555555555555
P13_D0_G5_M6_R1_T1,0.5384615384615384,0.38461538461538464,0.34615384615384615,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.4038461538461538
P12_D1_G7_M1_R1_T1,0.46938775510204084,0.5714285714285714,0.30612244897959184,0.24489795918367346,0.5102040816326531,0.5102040816326531,0.435374149659864
P9_D1_G4_M6_R1_T1,0.4482758620689655,0.41379310344827586,0.2413793103448276,0.6206896551724138,0.3103448275862069,0.5172413793103449,0.42528735632183906
P13_D1_G5_M1_R1_T1,0.36666666666666664,0.6,0.23333333333333334,0.36666666666666664,0.5,0.36666666666666664,0.4055555555555555
P6_D5_G1_M6_R2_T1,0.3469387755102041,0.3877551020408163,0.42857142857142855,0.40816326530612246,0.3673469387755102,0.3469387755102041,0.38095238095238093
P6_D6_G1_M6_R1_T1,0.5625,0.3125,0.5,0.3125,0.5,0.34375,0.421875
P12_D0_G7_M6_R1_T1,0.42105263157894735,0.47368421052631576,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.3684210526315789,0.3245614035087719
P10_D6_G5_M6_R1_T2,0.48,0.36,0.24,0.48,0.52,0.56,0.44
P7_D1_G1_M6_R2_T1,0.32608695652173914,0.6086956521739131,0.41304347826086957,0.34782608695652173,0.45652173913043476,0.34782608695652173,0.4166666666666667
P11_D1_G6_M6_R1_T1,0.4444444444444444,0.4666666666666667,0.3333333333333333,0.5555555555555556,0.24444444444444444,0.35555555555555557,0.39999999999999997
P8_D5_G4_M6_R1_T1,0.40625,0.46875,0.28125,0.34375,0.375,0.3125,0.3645833333333333
P8_D6_G4_M6_R2_T1,0.6607142857142857,0.3392857142857143,0.39285714285714285,0.5,0.39285714285714285,0.4107142857142857,0.44940476190476186
P3_D1_G1_M6_R1_T1,0.2765957446808511,0.44680851063829785,0.5106382978723404,0.3617021276595745,0.5106382978723404,0.2553191489361702,0.3936170212765957
P5_D5_G3_M6_R1_T1,0.3103448275862069,0.41379310344827586,0.4827586206896552,0.3103448275862069,0.3448275862068966,0.4827586206896552,0.3908045977011494
P5_D6_G3_M6_R2_T1,0.46153846153846156,0.4230769230769231,0.3076923076923077,0.5,0.4230769230769231,0.3076923076923077,0.4038461538461539
P10_D5_G5_M6_R2_T1,0.4375,0.3125,0.4166666666666667,0.2916666666666667,0.4166666666666667,0.25,0.3541666666666667
P10_D6_G5_M6_R1_T1,0.36,0.56,0.44,0.32,0.28,0.4,0.39333333333333337
P13_D1_G5_M6_R1_T1,0.6060606060606061,0.3333333333333333,0.3939393939393939,0.3333333333333333,0.3939393939393939,0.5151515151515151,0.4292929292929293
P12_D1_G7_M6_R1_T1,0.41025641025641024,0.3076923076923077,0.5128205128205128,0.48717948717948717,0.3076923076923077,0.28205128205128205,0.3846153846153846
P9_D1_G4_M1_R1_T1,0.3888888888888889,0.4444444444444444,0.2777777777777778,0.4166666666666667,0.3888888888888889,0.5555555555555556,0.41203703703703703
P8_D6_G4_M6_R2_T2,0.5531914893617021,0.3829787234042553,0.425531914893617,0.5531914893617021,0.40425531914893614,0.48936170212765956,0.46808510638297873
P6_D5_G1_M5_R1_T1,0.42857142857142855,0.25,0.2857142857142857,0.5,0.4642857142857143,0.39285714285714285,0.3869047619047619
P12_D6_G7_M6_R1_T1,0.3409090909090909,0.38636363636363635,0.3409090909090909,0.36363636363636365,0.4318181818181818,0.25,0.35227272727272724
