,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Row_Avg
Column_Avg,0.41834088267407027,0.3809692935023505,0.3825627217011063,0.3759774830832025,0.37839430473235014,0.38283059473670494,0.38651254673829744
P10_D1_G5_M1_R1_T1,0.3333333333333333,0.41025641025641024,0.3076923076923077,0.28205128205128205,0.358974358974359,0.3076923076923077,0.3333333333333333
P6_D1_G1_M6_R1_T1,0.5862068965517241,0.3448275862068966,0.20689655172413793,0.3793103448275862,0.1724137931034483,0.2413793103448276,0.3218390804597701
P12_D5_G7_M5_R1_T1,0.5,0.38095238095238093,0.4523809523809524,0.30952380952380953,0.47619047619047616,0.42857142857142855,0.4246031746031746
P13_D5_G5_M5_R1_T1,0.5517241379310345,0.41379310344827586,0.5517241379310345,0.2413793103448276,0.4827586206896552,0.41379310344827586,0.44252873563218387
P9_D6_G4_M6_R1_T1,0.39285714285714285,0.4642857142857143,0.35714285714285715,0.39285714285714285,0.2857142857142857,0.4642857142857143,0.39285714285714285
P9_D5_G4_M6_R2_T1,0.45098039215686275,0.21568627450980393,0.45098039215686275,0.35294117647058826,0.29411764705882354,0.47058823529411764,0.37254901960784315
P10_D0_G5_M6_R1_T1,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5,0.2727272727272727,0.18181818181818182,0.40151515151515155
P3_D5_G1_M5_R1_T1,0.3442622950819672,0.2786885245901639,0.4426229508196721,0.3442622950819672,0.2459016393442623,0.5245901639344263,0.3633879781420765
P11_D5_G6_M5_R1_T1,0.3333333333333333,0.39215686274509803,0.43137254901960786,0.45098039215686275,0.35294117647058826,0.39215686274509803,0.39215686274509803
P5_D0_G3_M6_R2_T1,0.3125,0.28125,0.25,0.3125,0.28125,0.4375,0.3125
P9_D6_G4_M6_R1_T2,0.42857142857142855,0.25,0.6071428571428571,0.39285714285714285,0.5,0.35714285714285715,0.4226190476190476
P7_D5_G1_M5_R2_T1,0.4375,0.46875,0.3125,0.3125,0.53125,0.40625,0.4114583333333333
P4_D1_G2_M6_R1_T1,0.3793103448275862,0.3448275862068966,0.3793103448275862,0.5172413793103449,0.3103448275862069,0.3563218390804598,0.3812260536398467
P5_D1_G3_M1_R2_T1,0.4883720930232558,0.20930232558139536,0.4186046511627907,0.20930232558139536,0.3953488372093023,0.23255813953488372,0.3255813953488372
P8_D1_G4_M1_R2_T1,0.4807692307692308,0.3269230769230769,0.3269230769230769,0.36538461538461536,0.34615384615384615,0.46153846153846156,0.38461538461538464
P3_D1_G1_M1_R1_T1,0.4098360655737705,0.39344262295081966,0.36065573770491804,0.36065573770491804,0.2786885245901639,0.4098360655737705,0.36885245901639346
P4_D5_G2_M6_R2_T1,0.4,0.4,0.325,0.325,0.475,0.375,0.3833333333333333
P7_D0_G1_M6_R2_T1,0.46808510638297873,0.19148936170212766,0.3191489361702128,0.5106382978723404,0.23404255319148937,0.5319148936170213,0.375886524822695
P4_D6_G2_M6_R1_T1,0.3956043956043956,0.1978021978021978,0.32967032967032966,0.26373626373626374,0.37362637362637363,0.26373626373626374,0.304029304029304
P11_D1_G6_M1_R1_T1,0.30158730158730157,0.5079365079365079,0.3968253968253968,0.38095238095238093,0.2857142857142857,0.4444444444444444,0.3862433862433862
P3_D0_G1_M6_R1_T1,0.4583333333333333,0.375,0.5208333333333334,0.3333333333333333,0.375,0.3333333333333333,0.3993055555555556
P7_D1_G1_M1_R2_T1,0.2765957446808511,0.46808510638297873,0.40425531914893614,0.3404255319148936,0.46808510638297873,0.2765957446808511,0.37234042553191493
P8_D5_G4_M5_R2_T1,0.6078431372549019,0.4117647058823529,0.37254901960784315,0.43137254901960786,0.5294117647058824,0.49019607843137253,0.47385620915032683
P11_D0_G6_M6_R1_T1,0.625,0.3333333333333333,0.2916666666666667,0.6666666666666666,0.4583333333333333,0.2916666666666667,0.4444444444444444
P5_D5_G3_M5_R2_T1,0.45454545454545453,0.5,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.36363636363636365,0.3863636363636363
P10_D5_G5_M5_R1_T1,0.5,0.5,0.3333333333333333,0.5,0.375,0.4166666666666667,0.43749999999999994
P13_D0_G5_M6_R1_T1,0.5384615384615384,0.2692307692307692,0.5,0.38461538461538464,0.4230769230769231,0.34615384615384615,0.4102564102564103
P12_D1_G7_M1_R1_T1,0.46938775510204084,0.3877551020408163,0.40816326530612246,0.3469387755102041,0.3469387755102041,0.40816326530612246,0.3945578231292517
P9_D1_G4_M6_R1_T1,0.4482758620689655,0.27586206896551724,0.4827586206896552,0.3448275862068966,0.5172413793103449,0.4482758620689655,0.4195402298850575
P13_D1_G5_M1_R1_T1,0.36666666666666664,0.3333333333333333,0.23333333333333334,0.6,0.3,0.43333333333333335,0.37777777777777777
P6_D5_G1_M6_R2_T1,0.3469387755102041,0.4489795918367347,0.3877551020408163,0.46938775510204084,0.3877551020408163,0.3673469387755102,0.4013605442176871
P6_D6_G1_M6_R1_T1,0.5625,0.34375,0.53125,0.3125,0.53125,0.46875,0.4583333333333333
P12_D0_G7_M6_R1_T1,0.42105263157894735,0.2631578947368421,0.47368421052631576,0.15789473684210525,0.3157894736842105,0.42105263157894735,0.3421052631578947
P10_D6_G5_M6_R1_T2,0.48,0.52,0.32,0.36,0.4,0.68,0.46
P7_D1_G1_M6_R2_T1,0.32608695652173914,0.391304347826087,0.41304347826086957,0.32608695652173914,0.2826086956521739,0.2608695652173913,0.3333333333333333
P11_D1_G6_M6_R1_T1,0.4444444444444444,0.35555555555555557,0.4666666666666667,0.4222222222222222,0.3333333333333333,0.4444444444444444,0.41111111111111115
P8_D5_G4_M6_R1_T1,0.40625,0.4375,0.375,0.34375,0.3125,0.28125,0.359375
P8_D6_G4_M6_R2_T1,0.6607142857142857,0.44642857142857145,0.26785714285714285,0.5,0.375,0.35714285714285715,0.43452380952380953
P3_D1_G1_M6_R1_T1,0.2765957446808511,0.48936170212765956,0.3617021276595745,0.44680851063829785,0.5106382978723404,0.40425531914893614,0.41489361702127653
P5_D5_G3_M6_R1_T1,0.3103448275862069,0.4482758620689655,0.3103448275862069,0.4827586206896552,0.27586206896551724,0.3448275862068966,0.3620689655172414
P5_D6_G3_M6_R2_T1,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.5,0.3525641025641026
P10_D5_G5_M6_R2_T1,0.4375,0.3333333333333333,0.2708333333333333,0.3958333333333333,0.2708333333333333,0.3958333333333333,0.3506944444444444
P10_D6_G5_M6_R1_T1,0.36,0.32,0.28,0.48,0.32,0.48,0.37333333333333335
P13_D1_G5_M6_R1_T1,0.6060606060606061,0.36363636363636365,0.42424242424242425,0.3333333333333333,0.5151515151515151,0.30303030303030304,0.42424242424242425
P12_D1_G7_M6_R1_T1,0.41025641025641024,0.48717948717948717,0.3076923076923077,0.38461538461538464,0.41025641025641024,0.358974358974359,0.39316239316239315
P9_D1_G4_M1_R1_T1,0.3888888888888889,0.2777777777777778,0.4166666666666667,0.4444444444444444,0.3888888888888889,0.4166666666666667,0.3888888888888889
P8_D6_G4_M6_R2_T2,0.5531914893617021,0.40425531914893614,0.3829787234042553,0.3829787234042553,0.2765957446808511,0.3829787234042553,0.39716312056737585
P6_D5_G1_M5_R1_T1,0.42857142857142855,0.39285714285714285,0.5714285714285714,0.39285714285714285,0.42857142857142855,0.39285714285714285,0.4345238095238095
P12_D6_G7_M6_R1_T1,0.3409090909090909,0.4318181818181818,0.3409090909090909,0.38636363636363635,0.36363636363636365,0.36363636363636365,0.37121212121212127
P12_D5_G7_M6_R2_T1,0.4507042253521127,0.4507042253521127,0.38028169014084506,0.36619718309859156,0.36619718309859156,0.30985915492957744,0.3873239436619718
P11_D6_G6_M6_R1_T2,0.30952380952380953,0.47619047619047616,0.42857142857142855,0.40476190476190477,0.40476190476190477,0.4523809523809524,0.41269841269841273
P6_D0_G1_M6_R1_T1,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.3686868686868687
P13_D6_G5_M6_R1_T1,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.375,0.4166666666666667,0.5,0.4375
P9_D5_G4_M5_R1_T1,0.23333333333333334,0.5,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.4,0.37777777777777777
P13_D5_G5_M6_R2_T1,0.5909090909090909,0.5,0.3181818181818182,0.5,0.2727272727272727,0.36363636363636365,0.42424242424242425
P6_D1_G1_M1_R1_T1,0.5,0.39285714285714285,0.39285714285714285,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.38095238095238093
P10_D1_G5_M6_R1_T1,0.37037037037037035,0.3333333333333333,0.3333333333333333,0.5185185185185185,0.4074074074074074,0.48148148148148145,0.4074074074074074
P4_D1_G2_M1_R1_T1,0.3670886075949367,0.3037974683544304,0.4430379746835443,0.34177215189873417,0.35443037974683544,0.31645569620253167,0.3544303797468354
P5_D1_G3_M6_R2_T1,0.3103448275862069,0.41379310344827586,0.4827586206896552,0.3103448275862069,0.20689655172413793,0.3103448275862069,0.3390804597701149
P3_D6_G1_M6_R1_T1,0.36,0.4,0.5,0.34,0.42,0.34,0.3933333333333333
P8_D1_G4_M6_R2_T1,0.5813953488372093,0.3488372093023256,0.3023255813953488,0.46511627906976744,0.4186046511627907,0.46511627906976744,0.4302325581395348
P3_D5_G1_M6_R2_T1,0.35555555555555557,0.4444444444444444,0.35555555555555557,0.35555555555555557,0.4444444444444444,0.3333333333333333,0.38148148148148153
P12_D6_G7_M6_R1_T2,0.35,0.275,0.45,0.35,0.525,0.4,0.3916666666666666
P11_D6_G6_M6_R1_T1,0.46,0.42,0.26,0.56,0.34,0.4,0.4066666666666667
P11_D5_G6_M6_R2_T1,0.4423076923076923,0.28846153846153844,0.36538461538461536,0.4230769230769231,0.5384615384615384,0.34615384615384615,0.4006410256410256
