,t0,LZ,dt_LZ,IOI
0.0,0.0,0.017948676426993132,0.0,1.3333333333333333
4.0,4.0,0.02094012249815865,0.0007478615177913799,1.0
8.0,8.0,0.017948676426993132,-0.0007478615177913799,0.8
12.0,12.0,0.014957230355827609,-0.0007478615177913808,2.0
16.0,16.0,0.014957230355827609,0.0,1.0
20.0,20.0,0.017948676426993132,0.0007478615177913808,0.8
24.0,24.0,0.014957230355827609,-0.0007478615177913808,0.6666666666666666
28.0,28.0,0.0418802449963173,0.006730753660122424,0.23529411764705882
32.0,32.0,0.035897352853986264,-0.0014957230355827598,0.2857142857142857
36.0,36.0,0.038888798925151784,0.0007478615177913799,0.25
40.0,40.0,0.023931568569324175,-0.0037393075889569022,0.8
44.0,44.0,0.026923014640489698,0.0007478615177913808,0.4444444444444444
48.0,48.0,0.017948676426993132,-0.0022435845533741415,1.3333333333333333
52.0,52.0,0.02094012249815865,0.0007478615177913799,1.0
56.0,56.0,0.02094012249815865,0.0,1.0
60.0,60.0,0.017948676426993132,-0.0007478615177913799,0.8
64.0,64.0,0.026923014640489698,0.0022435845533741415,0.4444444444444444
68.0,68.0,0.023931568569324175,-0.0007478615177913808,0.6666666666666666
72.0,72.0,0.023931568569324175,0.0,0.6666666666666666
76.0,76.0,0.029914460711655218,0.0014957230355827607,0.36363636363636365
80.0,80.0,0.02094012249815865,-0.0022435845533741415,0.6666666666666666
84.0,84.0,0.011965784284662087,-0.002243584553374141,4.0
88.0,88.0,0.038888798925151784,0.0067307536601224245,0.18181818181818182
92.0,92.0,0.04487169106748283,0.0014957230355827616,0.16666666666666666
96.0,96.0,0.0418802449963173,-0.0007478615177913817,0.18181818181818182
100.0,100.0,0.0418802449963173,0.0,0.18181818181818182
104.0,104.0,0.0418802449963173,0.0,0.3333333333333333
