,t0,LZ,dt_LZ,IOI
0.0,0.0,0.02094012249815865,0.0,1.0
4.0,4.0,0.017948676426993132,-0.0007478615177913799,1.0
8.0,8.0,0.026923014640489698,0.0022435845533741415,0.3076923076923077
12.0,12.0,0.035897352853986264,0.0022435845533741415,0.23529411764705882
16.0,16.0,0.038888798925151784,0.0007478615177913799,0.2
20.0,20.0,0.035897352853986264,-0.0007478615177913799,0.25
24.0,24.0,0.038888798925151784,0.0007478615177913799,0.23529411764705882
28.0,28.0,0.05085458320981387,0.0029914460711655214,0.16666666666666666
32.0,32.0,0.056837475352144916,0.0014957230355827616,0.1111111111111111
36.0,36.0,0.04487169106748283,-0.0029914460711655214,0.2
40.0,40.0,0.038888798925151784,-0.0014957230355827616,0.3076923076923077
44.0,44.0,0.035897352853986264,-0.0007478615177913799,0.26666666666666666
48.0,48.0,0.017948676426993132,-0.004487169106748283,1.3333333333333333
52.0,52.0,0.014957230355827609,-0.0007478615177913808,2.0
56.0,56.0,0.017948676426993132,0.0007478615177913808,2.0
60.0,60.0,0.026923014640489698,0.0022435845533741415,0.4
64.0,64.0,0.029914460711655218,0.0007478615177913799,0.3333333333333333
68.0,68.0,0.029914460711655218,0.0,0.3333333333333333
72.0,72.0,0.038888798925151784,0.0022435845533741415,0.25
76.0,76.0,0.017948676426993132,-0.005235030624539663,1.3333333333333333
80.0,80.0,0.02094012249815865,0.0007478615177913799,0.3076923076923077
84.0,84.0,0.04487169106748283,0.005982892142331045,0.16666666666666666
88.0,88.0,0.04786313713864835,0.0007478615177913799,0.14814814814814814
92.0,92.0,0.05085458320981387,0.0007478615177913799,0.13333333333333333
96.0,96.0,0.059828921423310436,0.0022435845533741415,0.12903225806451613
100.0,100.0,0.0418802449963173,-0.004487169106748283,0.26666666666666666
