,Name,Duration,Participant,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Artist,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Q4c,Q5a,Q5b,Q6a,Q6b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,p_LZ,p_dt_LZ,p_LZ_avg,p_dt_LZ_avg,p_IOI,p_IOI_avg,p_ncounts,p_ncounts_avg,norm_p_LZ,norm_p_dt_LZ,norm_p_LZ_avg,norm_p_dt_LZ_avg,norm_p_IOI,norm_p_IOI_avg,norm_p_ncounts,norm_p_ncounts_avg,g_LZ,g_dt_LZ,g_LZ_avg,g_dt_LZ_avg,g_IOI,g_IOI_avg,g_ncounts,g_ncounts_avg,norm_g_LZ,norm_g_dt_LZ,norm_g_LZ_avg,norm_g_dt_LZ_avg,norm_g_IOI,norm_g_IOI_avg,norm_g_ncounts,norm_g_ncounts_avg,annot_frac,number,Condition,Pair
0,P6_D1_G1_M6_R1_T1,13.2,P6,MC,DI,Z1,A3,7.1,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.0199315685693241,0.0,0.03796881450602658,-0.00016472370718450017,0.0,371.4974419519874,0,192,0.0,0.0,0.25855962219598616,-0.004132231404958739,0.0,0.3714974419519874,0.0,0.19834710743801653,0.056057536601224214,0.001245723035582768,0.05551188932117557,-0.00016472370718449347,360.41666666666663,322.8846910665092,58,,0.5535714285714293,-0.055555555555555476,0.5100354191263289,-0.1147842056932967,0.31354166666666666,0.3228846910665093,0.5446428571428571,0.5029515938606848,,0,D1_M6,P6_G1
1,P6_D1_G1_M6_R1_T1,13.8,P6,MC,DI,Z2,A3,7.2,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.03575957890378743,-1.1428766429964846e-17,0.03796881450602658,-0.00016472370718450017,450.9803921568627,371.4974419519874,19,192,0.2605042016806726,0.05882352941176442,0.25855962219598616,-0.004132231404958739,0.48039215686274506,0.3714974419519874,0.15441176470588236,0.19834710743801653,0.05100136663327065,-0.0005862226049801175,0.05551188932117557,-0.00016472370718449347,422.5490196078431,322.8846910665092,54,,0.4621848739495804,-0.08496732026143816,0.5100354191263289,-0.1147842056932967,0.4196078431372549,0.3228846910665093,0.4621848739495798,0.5029515938606848,,1,D1_M6,P6_G1
2,P6_D1_G1_M6_R1_T1,13.3,P6,MC,DI,Z2,A3,7.3,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.03612596803190001,-0.000622861517791375,0.03796881450602658,-0.00016472370718450017,510.4166666666667,371.4974419519874,17,192,0.23214285714285743,1.457167719820518e-16,0.25855962219598616,-0.004132231404958739,0.46875,0.3714974419519874,0.1484375,0.19834710743801653,0.061663290261346634,0.0006228615177913688,0.05551188932117557,-0.00016472370718449347,297.4702380952381,322.8846910665092,67,,0.6250000000000007,-0.0694444444444448,0.5100354191263289,-0.1147842056932967,0.2558035714285714,0.3228846910665093,0.6160714285714286,0.5029515938606848,,2,D1_M6,P6_G1
3,P6_D1_G1_M6_R1_T1,12.0,P6,MC,DI,Z3,A2,7.4,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.045557871015598064,-0.004271050407712315,0.03796881450602658,-0.00016472370718450017,432.2278911564626,371.4974419519874,42,192,0.36734693877551067,-7.93016446160826e-18,0.25855962219598616,-0.004132231404958739,0.43222789115646254,0.3714974419519874,0.375,0.19834710743801653,0.06406575611568482,-6.69107626448197e-18,0.05551188932117557,-0.00016472370718449347,254.76190476190473,322.8846910665092,58,,0.6122448979591842,-0.14285714285714293,0.5100354191263289,-0.1147842056932967,0.2726190476190476,0.3228846910665093,0.5714285714285713,0.5029515938606848,,3,D1_M6,P6_G1
4,P6_D1_G1_M6_R1_T1,12.3,P6,MC,DI,Z2,A2,7.5,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.03559208673093597,-0.0021355252038561643,0.03796881450602658,-0.00016472370718450017,464.2857142857142,371.4974419519874,19,192,0.24489795918367377,0.035714285714285456,0.25855962219598616,-0.004132231404958739,0.4166666666666666,0.3714974419519874,0.1875,0.19834710743801653,0.06193023091182866,-0.002135525203856135,0.05551188932117557,-0.00016472370718449347,277.3809523809524,322.8846910665092,54,,0.5918367346938781,-0.1269841269841267,0.5100354191263289,-0.1147842056932967,0.2833333333333334,0.3228846910665093,0.5408163265306124,0.5029515938606848,,4,D1_M6,P6_G1
5,P6_D1_G1_M6_R1_T1,9.0,P6,MC,DI,Z3,A1,7.7,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.04801696064428093,-0.0018119607790294818,0.03796881450602658,-0.00016472370718450017,378.78787878787875,371.4974419519874,25,192,0.3766233766233771,-0.045454545454545796,0.25855962219598616,-0.004132231404958739,0.34848484848484845,0.3714974419519874,0.25,0.19834710743801653,0.06070068609748724,-0.003623921558058918,0.05551188932117557,-0.00016472370718449347,279.65367965367966,322.8846910665092,44,,0.5714285714285721,-0.13131313131313133,0.5100354191263289,-0.1147842056932967,0.2841991341991342,0.3228846910665093,0.5584415584415584,0.5029515938606848,,5,D1_M6,P6_G1
6,P6_D1_G1_M6_R1_T1,10.7,P6,MC,DI,Z2,A1,7.8,P,2.25,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.03603014318300903,-0.0015331975822557079,0.03796881450602658,-0.00016472370718450017,346.15384615384613,371.4974419519874,17,192,0.23076923076923103,-2.006941621437783e-16,0.25855962219598616,-0.004132231404958739,0.34615384615384615,0.3714974419519874,0.16346153846153846,0.19834710743801653,0.052895316587821824,0.0007665987911278307,0.05551188932117557,-0.00016472370718449347,365.3846153846153,322.8846910665092,38,,0.45054945054945106,-0.1452991452991457,0.5100354191263289,-0.1147842056932967,0.3717948717948717,0.3228846910665093,0.4065934065934066,0.5029515938606848,,6,D1_M6,P6_G1
7,P6_D1_G1_M6_R1_T1,6.3,P6,MC,DI,Z2,A1,7.9,P,1.25,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.04698155448483552,0.001423683469237443,0.03796881450602658,-0.00016472370718450017,666.6666666666667,371.4974419519874,13,192,0.36734693877551067,-0.035714285714285796,0.25855962219598616,-0.004132231404958739,0.5952380952380951,0.3714974419519874,0.25,0.19834710743801653,0.05125260489254784,0.004271050407712314,0.05551188932117557,-0.00016472370718449347,314.2857142857142,322.8846910665092,25,,0.44897959183673525,-0.11111111111111097,0.5100354191263289,-0.1147842056932967,0.3142857142857142,0.3228846910665093,0.5102040816326531,0.5029515938606848,,7,D1_M6,P6_G1
8,P6_D1_G1_M6_R1_T1,11.9,P6,MC,DI,Z2,A1,7.1,P,2.75,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.042520679614558195,-0.0013287712379549401,0.03796881450602658,-0.00016472370718450017,455.5555555555555,371.4974419519874,28,192,0.3428571428571433,0.03333333333333325,0.25855962219598616,-0.004132231404958739,0.4055555555555555,0.3714974419519874,0.25833333333333336,0.19834710743801653,0.05514400637513019,-0.0013287712379549269,0.05551188932117557,-0.00016472370718449347,348.8888888888889,322.8846910665092,53,,0.5238095238095244,-0.08148148148148146,0.5100354191263289,-0.1147842056932967,0.33777777777777784,0.3228846910665093,0.5333333333333333,0.5029515938606848,,8,D1_M6,P6_G1
9,P6_D1_G1_M6_R1_T1,9.0,P6,MC,DI,Z3,A1,7.11,P,2.0,7,5,7,6,2,1,6,7,6.0,2,6,1,6,6,7.0,7.0,,,,,,4.25,4.5,4.375,D1,M6,R1,0.050825499851776604,-0.00398631371386483,0.03796881450602658,-0.00016472370718450017,273.3333333333333,371.4974419519874,32,192,0.40000000000000047,-0.07500000000000019,0.25855962219598616,-0.004132231404958739,0.33999999999999997,0.3714974419519874,0.375,0.19834710743801653,0.05680497042257386,-3.4694469519536144e-19,0.05551188932117557,-0.00016472370718449347,320.0,322.8846910665092,41,,0.471428571428572,-0.20000000000000034,0.5100354191263289,-0.1147842056932967,0.4033333333333333,0.3228846910665093,0.5142857142857143,0.5029515938606848,,9,D1_M6,P6_G1
