,t0,LZ,dt_LZ,IOI,nCounts
0.0,0.0,0.03986313713864835,0.0,0.5,2
1.0,1.0,0.03986313713864835,0.0,0.5,2
2.0,2.0,0.019931568569324175,-0.019931568569324175,0.0,0
3.0,3.0,0.019931568569324175,0.0,0.0,0
4.0,4.0,0.03986313713864835,0.019931568569324175,0.5,2
5.0,5.0,0.03986313713864835,0.0,0.5,2
6.0,6.0,0.03986313713864835,0.0,0.5,2
7.0,7.0,0.049828921423310434,0.009965784284662084,0.3333333333333333,3
8.0,8.0,0.03986313713864835,-0.009965784284662084,1.0,1
9.0,9.0,0.049828921423310434,0.009965784284662084,0.25,4
10.0,10.0,0.03986313713864835,-0.009965784284662084,1.0,1
11.0,11.0,0.08969205856195879,0.04982892142331044,0.14285714285714285,7
12.0,12.0,0.03986313713864835,-0.04982892142331044,0.5,2
13.0,13.0,0.059794705707972524,0.019931568569324175,0.3333333333333333,3
14.0,14.0,0.019931568569324175,-0.03986313713864835,0.0,0
15.0,15.0,0.049828921423310434,0.02989735285398626,0.25,4
16.0,16.0,0.03986313713864835,-0.009965784284662084,0.5,2
17.0,17.0,0.03986313713864835,0.0,1.0,1
18.0,18.0,0.03986313713864835,0.0,0.3333333333333333,3
19.0,19.0,0.059794705707972524,0.019931568569324175,0.3333333333333333,3
20.0,20.0,0.019931568569324175,-0.03986313713864835,0.0,0
21.0,21.0,0.019931568569324175,0.0,0.0,0
22.0,22.0,0.06976048999263461,0.049828921423310434,0.25,4
23.0,23.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333,3
24.0,24.0,0.019931568569324175,-0.03986313713864835,0.0,0
25.0,25.0,0.059794705707972524,0.03986313713864835,0.3333333333333333,3
26.0,26.0,0.0797262742772967,0.019931568569324175,0.14285714285714285,7
27.0,27.0,0.059794705707972524,-0.019931568569324175,0.2,5
28.0,28.0,0.06976048999263461,0.009965784284662084,0.16666666666666666,6
29.0,29.0,0.0797262742772967,0.009965784284662091,0.14285714285714285,7
30.0,30.0,0.08969205856195879,0.009965784284662091,0.1,10
31.0,31.0,0.0797262742772967,-0.009965784284662091,0.16666666666666666,6
32.0,32.0,0.059794705707972524,-0.019931568569324175,0.2,5
33.0,33.0,0.06976048999263461,0.009965784284662084,0.2,5
34.0,34.0,0.06976048999263461,0.0,0.25,4
35.0,35.0,0.059794705707972524,-0.009965784284662084,0.3333333333333333,3
36.0,36.0,0.0797262742772967,0.019931568569324175,0.14285714285714285,7
37.0,37.0,0.08969205856195879,0.009965784284662091,0.16666666666666666,6
38.0,38.0,0.06976048999263461,-0.019931568569324182,0.2,5
39.0,39.0,0.059794705707972524,-0.009965784284662084,0.16666666666666666,6
40.0,40.0,0.06976048999263461,0.009965784284662084,0.14285714285714285,7
41.0,41.0,0.0797262742772967,0.009965784284662091,0.14285714285714285,7
42.0,42.0,0.06976048999263461,-0.009965784284662091,0.2,5
43.0,43.0,0.06976048999263461,0.0,0.125,8
44.0,44.0,0.06976048999263461,0.0,0.16666666666666666,6
45.0,45.0,0.059794705707972524,-0.009965784284662084,0.1111111111111111,9
46.0,46.0,0.06976048999263461,0.009965784284662084,0.2,5
