,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Row_Avg
Column_Avg,0.36188022341064674,0.3374017288750415,0.3439752240797498,0.3359031514334214,0.34127044370368,0.3385633376158325,0.33950535771301227,0.3319394808043702,0.3408765530538318,0.340203975667958,0.34115194763575446
P10_D1_G5_M1_R1_T1,0.36024844720496896,0.34782608695652173,0.35403726708074534,0.2608695652173913,0.3416149068322981,0.2670807453416149,0.32919254658385094,0.2795031055900621,0.32919254658385094,0.37267080745341613,0.324223602484472
P6_D1_G1_M6_R1_T1,0.5041322314049587,0.49586776859504134,0.3884297520661157,0.4214876033057851,0.33884297520661155,0.5041322314049587,0.47107438016528924,0.4132231404958678,0.4297520661157025,0.371900826446281,0.4338842975206611
P12_D5_G7_M5_R1_T1,0.3567251461988304,0.30994152046783624,0.32748538011695905,0.3684210526315789,0.29239766081871343,0.3742690058479532,0.3391812865497076,0.32748538011695905,0.3333333333333333,0.3684210526315789,0.339766081871345
P13_D5_G5_M5_R1_T1,0.32231404958677684,0.38016528925619836,0.30578512396694213,0.38016528925619836,0.371900826446281,0.33884297520661155,0.3140495867768595,0.371900826446281,0.3305785123966942,0.2809917355371901,0.3396694214876033
P9_D6_G4_M6_R1_T1,0.3391304347826087,0.3130434782608696,0.33043478260869563,0.22608695652173913,0.33043478260869563,0.3391304347826087,0.3739130434782609,0.3826086956521739,0.3391304347826087,0.3826086956521739,0.3356521739130435
P9_D5_G4_M6_R2_T1,0.3397129186602871,0.24880382775119617,0.3588516746411483,0.3062200956937799,0.3062200956937799,0.3014354066985646,0.2822966507177033,0.2679425837320574,0.33014354066985646,0.32057416267942584,0.3062200956937799
P10_D0_G5_M6_R1_T1,0.40860215053763443,0.34408602150537637,0.3548387096774194,0.3870967741935484,0.3010752688172043,0.3763440860215054,0.34408602150537637,0.34408602150537637,0.3118279569892473,0.3333333333333333,0.3505376344086022
P3_D5_G1_M5_R1_T1,0.3629032258064516,0.2782258064516129,0.31048387096774194,0.3225806451612903,0.375,0.2540322580645161,0.375,0.31048387096774194,0.31048387096774194,0.29838709677419356,0.31975806451612904
P11_D5_G6_M5_R1_T1,0.4354066985645933,0.3253588516746411,0.3875598086124402,0.3492822966507177,0.3253588516746411,0.35406698564593303,0.3684210526315789,0.3397129186602871,0.3062200956937799,0.3875598086124402,0.35789473684210515
P5_D0_G3_M6_R2_T1,0.22900763358778625,0.22900763358778625,0.20610687022900764,0.22900763358778625,0.22137404580152673,0.19083969465648856,0.22137404580152673,0.21374045801526717,0.26717557251908397,0.2595419847328244,0.22671755725190837
P9_D6_G4_M6_R1_T2,0.3739130434782609,0.2956521739130435,0.4434782608695652,0.2782608695652174,0.4260869565217391,0.2608695652173913,0.4434782608695652,0.30434782608695654,0.4,0.3565217391304348,0.3582608695652174
P7_D5_G1_M5_R2_T1,0.4122137404580153,0.33587786259541985,0.35877862595419846,0.3282442748091603,0.33587786259541985,0.3511450381679389,0.366412213740458,0.22900763358778625,0.40458015267175573,0.2748091603053435,0.33969465648854963
P4_D1_G2_M6_R1_T1,0.3881019830028329,0.33994334277620397,0.33994334277620397,0.34560906515580736,0.35410764872521244,0.32294617563739375,0.34844192634560905,0.3342776203966006,0.37393767705382436,0.33994334277620397,0.34872521246458915
P5_D1_G3_M1_R2_T1,0.3107344632768362,0.3333333333333333,0.23728813559322035,0.3050847457627119,0.327683615819209,0.2711864406779661,0.3446327683615819,0.2711864406779661,0.327683615819209,0.3163841807909605,0.3045197740112995
P8_D1_G4_M1_R2_T1,0.37089201877934275,0.323943661971831,0.352112676056338,0.3145539906103286,0.3145539906103286,0.3474178403755869,0.2863849765258216,0.3004694835680751,0.2863849765258216,0.3474178403755869,0.3244131455399061
P3_D1_G1_M1_R1_T1,0.3,0.332,0.364,0.388,0.324,0.38,0.424,0.352,0.356,0.34,0.356
P4_D5_G2_M6_R2_T1,0.3719512195121951,0.34146341463414637,0.4024390243902439,0.38414634146341464,0.4268292682926829,0.3353658536585366,0.36585365853658536,0.3719512195121951,0.3780487804878049,0.3902439024390244,0.37682926829268293
P7_D0_G1_M6_R2_T1,0.3403141361256545,0.3036649214659686,0.2774869109947644,0.2879581151832461,0.2774869109947644,0.3089005235602094,0.2774869109947644,0.2356020942408377,0.3193717277486911,0.2931937172774869,0.29214659685863875
P4_D6_G2_M6_R1_T1,0.4648648648648649,0.4756756756756757,0.45675675675675675,0.44594594594594594,0.45135135135135135,0.43513513513513513,0.44594594594594594,0.44594594594594594,0.46756756756756757,0.43243243243243246,0.4521621621621622
P11_D1_G6_M1_R1_T1,0.313953488372093,0.34108527131782945,0.42248062015503873,0.31007751937984496,0.32945736434108525,0.29069767441860467,0.3488372093023256,0.3682170542635659,0.32170542635658916,0.2868217054263566,0.33333333333333337
P3_D0_G1_M6_R1_T1,0.3838383838383838,0.3484848484848485,0.46464646464646464,0.30303030303030304,0.46464646464646464,0.3383838383838384,0.3383838383838384,0.41919191919191917,0.35353535353535354,0.3383838383838384,0.37525252525252517
P7_D1_G1_M1_R2_T1,0.40414507772020725,0.31088082901554404,0.3316062176165803,0.32124352331606215,0.3160621761658031,0.32642487046632124,0.3005181347150259,0.3626943005181347,0.31088082901554404,0.32642487046632124,0.3310880829015544
P8_D5_G4_M5_R2_T1,0.375,0.34134615384615385,0.3317307692307692,0.34615384615384615,0.3125,0.28846153846153844,0.3557692307692308,0.32211538461538464,0.36538461538461536,0.3269230769230769,0.33653846153846156
P11_D0_G6_M6_R1_T1,0.45,0.4,0.33,0.32,0.36,0.26,0.3,0.29,0.31,0.33,0.335
P5_D5_G3_M5_R2_T1,0.4731182795698925,0.34408602150537637,0.25806451612903225,0.4946236559139785,0.26881720430107525,0.3225806451612903,0.4731182795698925,0.23655913978494625,0.3655913978494624,0.45161290322580644,0.3688172043010753
P10_D5_G5_M5_R1_T1,0.43434343434343436,0.40404040404040403,0.29292929292929293,0.36363636363636365,0.4444444444444444,0.31313131313131315,0.41414141414141414,0.35353535353535354,0.32323232323232326,0.31313131313131315,0.3656565656565657
P13_D0_G5_M6_R1_T1,0.34545454545454546,0.38181818181818183,0.5,0.34545454545454546,0.4,0.41818181818181815,0.4,0.35454545454545455,0.43636363636363634,0.41818181818181815,0.39999999999999997
P12_D1_G7_M1_R1_T1,0.3564356435643564,0.2722772277227723,0.36633663366336633,0.31683168316831684,0.3316831683168317,0.3217821782178218,0.35148514851485146,0.3118811881188119,0.3069306930693069,0.33663366336633666,0.3272277227722772
P9_D1_G4_M6_R1_T1,0.3025210084033613,0.40336134453781514,0.3277310924369748,0.29411764705882354,0.35294117647058826,0.3697478991596639,0.3865546218487395,0.2857142857142857,0.3865546218487395,0.4369747899159664,0.35462184873949576
P13_D1_G5_M1_R1_T1,0.33064516129032256,0.3387096774193548,0.4274193548387097,0.31451612903225806,0.3951612903225806,0.3709677419354839,0.3709677419354839,0.4112903225806452,0.3225806451612903,0.3548387096774194,0.36370967741935484
P6_D5_G1_M6_R2_T1,0.33663366336633666,0.3217821782178218,0.28217821782178215,0.29207920792079206,0.29207920792079206,0.3118811881188119,0.25742574257425743,0.3069306930693069,0.24257425742574257,0.30198019801980197,0.2945544554455445
P6_D6_G1_M6_R1_T1,0.30597014925373134,0.373134328358209,0.26119402985074625,0.3805970149253731,0.27611940298507465,0.291044776119403,0.3805970149253731,0.291044776119403,0.3582089552238806,0.2835820895522388,0.3201492537313433
P12_D0_G7_M6_R1_T1,0.2926829268292683,0.2926829268292683,0.35365853658536583,0.2804878048780488,0.2926829268292683,0.43902439024390244,0.3048780487804878,0.2926829268292683,0.3902439024390244,0.3780487804878049,0.3317073170731707
P10_D6_G5_M6_R1_T2,0.3619047619047619,0.42857142857142855,0.26666666666666666,0.29523809523809524,0.3619047619047619,0.3142857142857143,0.3333333333333333,0.2857142857142857,0.34285714285714286,0.37142857142857144,0.3361904761904762
P7_D1_G1_M6_R2_T1,0.43617021276595747,0.2925531914893617,0.3670212765957447,0.4095744680851064,0.2978723404255319,0.32978723404255317,0.34574468085106386,0.3617021276595745,0.3882978723404255,0.3882978723404255,0.36170212765957444
P11_D1_G6_M6_R1_T1,0.35135135135135137,0.2918918918918919,0.41081081081081083,0.3675675675675676,0.34594594594594597,0.33513513513513515,0.3783783783783784,0.3675675675675676,0.3837837837837838,0.3891891891891892,0.36216216216216224
P8_D5_G4_M6_R1_T1,0.39552238805970147,0.3582089552238806,0.2835820895522388,0.417910447761194,0.3656716417910448,0.35074626865671643,0.3582089552238806,0.39552238805970147,0.3880597014925373,0.2835820895522388,0.3597014925373135
P8_D6_G4_M6_R2_T1,0.3656387665198238,0.31277533039647576,0.29955947136563876,0.32158590308370044,0.3568281938325991,0.3303964757709251,0.3303964757709251,0.31277533039647576,0.4008810572687225,0.28634361233480177,0.33171806167400886
P3_D1_G1_M6_R1_T1,0.3160621761658031,0.37823834196891193,0.41968911917098445,0.3316062176165803,0.3316062176165803,0.40932642487046633,0.37305699481865284,0.32642487046632124,0.39896373056994816,0.33678756476683935,0.3621761658031088
P5_D5_G3_M6_R1_T1,0.25210084033613445,0.35294117647058826,0.3277310924369748,0.3445378151260504,0.35294117647058826,0.4117647058823529,0.31092436974789917,0.33613445378151263,0.33613445378151263,0.36134453781512604,0.33865546218487397
P5_D6_G3_M6_R2_T1,0.4392523364485981,0.308411214953271,0.3177570093457944,0.35514018691588783,0.2803738317757009,0.2897196261682243,0.2616822429906542,0.2523364485981308,0.2616822429906542,0.308411214953271,0.3074766355140187
P10_D5_G5_M6_R2_T1,0.3877551020408163,0.23979591836734693,0.34183673469387754,0.2857142857142857,0.24489795918367346,0.29591836734693877,0.28061224489795916,0.30612244897959184,0.29081632653061223,0.28061224489795916,0.29540816326530617
P10_D6_G5_M6_R1_T1,0.3173076923076923,0.375,0.3269230769230769,0.3557692307692308,0.3269230769230769,0.2980769230769231,0.3269230769230769,0.36538461538461536,0.375,0.4230769230769231,0.3490384615384615
P13_D1_G5_M6_R1_T1,0.2962962962962963,0.35555555555555557,0.3037037037037037,0.4148148148148148,0.3037037037037037,0.34814814814814815,0.2962962962962963,0.4740740740740741,0.3111111111111111,0.37037037037037035,0.3474074074074074
P12_D1_G7_M6_R1_T1,0.41358024691358025,0.3271604938271605,0.42592592592592593,0.35802469135802467,0.38271604938271603,0.4444444444444444,0.35802469135802467,0.3765432098765432,0.38271604938271603,0.35185185185185186,0.38209876543209875
P9_D1_G4_M1_R1_T1,0.32,0.2866666666666667,0.32,0.3933333333333333,0.37333333333333335,0.3333333333333333,0.2866666666666667,0.41333333333333333,0.2866666666666667,0.35333333333333333,0.33666666666666667
P8_D6_G4_M6_R2_T2,0.3717277486910995,0.3403141361256545,0.3507853403141361,0.28272251308900526,0.32460732984293195,0.29842931937172773,0.2931937172774869,0.3193717277486911,0.2879581151832461,0.3403141361256545,0.32094240837696336
P6_D5_G1_M5_R1_T1,0.3217391304347826,0.3217391304347826,0.3217391304347826,0.3130434782608696,0.28695652173913044,0.2608695652173913,0.4260869565217391,0.2608695652173913,0.3217391304347826,0.2782608695652174,0.31130434782608696
P12_D6_G7_M6_R1_T1,0.3407821229050279,0.3128491620111732,0.36312849162011174,0.36312849162011174,0.3240223463687151,0.3687150837988827,0.3575418994413408,0.36312849162011174,0.3463687150837989,0.3854748603351955,0.35251396648044697
P12_D5_G7_M6_R2_T1,0.3867595818815331,0.3344947735191638,0.3623693379790941,0.30662020905923343,0.3832752613240418,0.2961672473867596,0.37630662020905925,0.30662020905923343,0.33797909407665505,0.3205574912891986,0.3411149825783973
P11_D6_G6_M6_R1_T2,0.3742690058479532,0.30994152046783624,0.3216374269005848,0.40350877192982454,0.3742690058479532,0.3508771929824561,0.3333333333333333,0.34502923976608185,0.3742690058479532,0.4093567251461988,0.35964912280701755
P6_D0_G1_M6_R1_T1,0.3188405797101449,0.39855072463768115,0.2753623188405797,0.35507246376811596,0.2536231884057971,0.30434782608695654,0.3695652173913043,0.3333333333333333,0.34057971014492755,0.3695652173913043,0.3318840579710145
P13_D6_G5_M6_R1_T1,0.38235294117647056,0.30392156862745096,0.29411764705882354,0.3235294117647059,0.3235294117647059,0.37254901960784315,0.3235294117647059,0.3333333333333333,0.39215686274509803,0.38235294117647056,0.3431372549019608
P9_D5_G4_M5_R1_T1,0.3790322580645161,0.3629032258064516,0.3629032258064516,0.3064516129032258,0.4032258064516129,0.3629032258064516,0.3467741935483871,0.4112903225806452,0.28225806451612906,0.3709677419354839,0.35887096774193544
P13_D5_G5_M6_R2_T1,0.3701657458563536,0.3314917127071823,0.35359116022099446,0.3812154696132597,0.46408839779005523,0.30939226519337015,0.3756906077348066,0.32044198895027626,0.36464088397790057,0.35911602209944754,0.3629834254143646
P6_D1_G1_M1_R1_T1,0.34782608695652173,0.3565217391304348,0.3130434782608696,0.41739130434782606,0.30434782608695654,0.3652173913043478,0.3565217391304348,0.23478260869565218,0.40869565217391307,0.30434782608695654,0.3408695652173913
P10_D1_G5_M6_R1_T1,0.33035714285714285,0.36607142857142855,0.42857142857142855,0.29464285714285715,0.32142857142857145,0.48214285714285715,0.32142857142857145,0.38392857142857145,0.2767857142857143,0.4017857142857143,0.36071428571428577
P4_D1_G2_M1_R1_T1,0.31875,0.35,0.271875,0.321875,0.284375,0.303125,0.321875,0.29375,0.3125,0.353125,0.313125
P5_D1_G3_M6_R2_T1,0.30833333333333335,0.3,0.35833333333333334,0.35,0.35,0.26666666666666666,0.3416666666666667,0.30833333333333335,0.30833333333333335,0.375,0.32666666666666677
P3_D6_G1_M6_R1_T1,0.36585365853658536,0.35121951219512193,0.3024390243902439,0.375609756097561,0.36585365853658536,0.33658536585365856,0.36097560975609755,0.44390243902439025,0.3463414634146341,0.3853658536585366,0.3634146341463414
P8_D1_G4_M6_R2_T1,0.4067796610169492,0.4011299435028249,0.3446327683615819,0.4067796610169492,0.3107344632768362,0.3672316384180791,0.3389830508474576,0.3163841807909605,0.4350282485875706,0.2994350282485876,0.36271186440677966
P3_D5_G1_M6_R2_T1,0.3172043010752688,0.3870967741935484,0.3225806451612903,0.3763440860215054,0.3817204301075269,0.3602150537634409,0.3118279569892473,0.3655913978494624,0.3118279569892473,0.34946236559139787,0.34838709677419366
P12_D6_G7_M6_R1_T2,0.3855421686746988,0.3855421686746988,0.3313253012048193,0.3433734939759036,0.42168674698795183,0.3493975903614458,0.37349397590361444,0.41566265060240964,0.3132530120481928,0.40963855421686746,0.37289156626506026
P11_D6_G6_M6_R1_T1,0.3694581280788177,0.35467980295566504,0.33004926108374383,0.3793103448275862,0.3399014778325123,0.3054187192118227,0.3694581280788177,0.3448275862068966,0.3103448275862069,0.3399014778325123,0.3443349753694581
P11_D5_G6_M6_R2_T1,0.39622641509433965,0.35377358490566035,0.32547169811320753,0.32547169811320753,0.4009433962264151,0.41509433962264153,0.3490566037735849,0.32547169811320753,0.32547169811320753,0.36792452830188677,0.3584905660377358
P13_D6_G5_M6_R1_T2,0.35454545454545455,0.3,0.2727272727272727,0.41818181818181815,0.35454545454545455,0.3090909090909091,0.37272727272727274,0.33636363636363636,0.38181818181818183,0.2818181818181818,0.33818181818181814
P7_D6_G1_M6_R2_T1,0.35233160621761656,0.3316062176165803,0.3626943005181347,0.32642487046632124,0.35233160621761656,0.40932642487046633,0.32642487046632124,0.3316062176165803,0.36787564766839376,0.37305699481865284,0.35336787564766836
P7_D5_G1_M6_R1_T1,0.34210526315789475,0.3333333333333333,0.32456140350877194,0.34210526315789475,0.40350877192982454,0.3157894736842105,0.3684210526315789,0.35964912280701755,0.32456140350877194,0.30701754385964913,0.3421052631578947
P5_D5_G3_M5_R1_T1,0.43564356435643564,0.297029702970297,0.36633663366336633,0.37623762376237624,0.36633663366336633,0.3465346534653465,0.2871287128712871,0.3564356435643564,0.33663366336633666,0.32673267326732675,0.3495049504950494
P8_D5_G4_M5_R1_T1,0.3356643356643357,0.38461538461538464,0.4195804195804196,0.3776223776223776,0.3776223776223776,0.4825174825174825,0.34965034965034963,0.3076923076923077,0.35664335664335667,0.40559440559440557,0.3797202797202797
P11_D0_G6_M6_R2_T1,0.37714285714285717,0.29714285714285715,0.3028571428571429,0.2914285714285714,0.3942857142857143,0.34285714285714286,0.36,0.3028571428571429,0.4,0.35428571428571426,0.34228571428571425
P7_D1_G1_M1_R1_T1,0.40816326530612246,0.3163265306122449,0.42857142857142855,0.3877551020408163,0.336734693877551,0.40816326530612246,0.29591836734693877,0.4387755102040816,0.3469387755102041,0.41836734693877553,0.3785714285714286
P3_D0_G1_M6_R2_T1,0.3333333333333333,0.3978494623655914,0.3978494623655914,0.3010752688172043,0.3010752688172043,0.3817204301075269,0.3172043010752688,0.3709677419354839,0.3333333333333333,0.34946236559139787,0.3483870967741936
P11_D1_G6_M1_R2_T1,0.40460526315789475,0.34539473684210525,0.39144736842105265,0.3618421052631579,0.34868421052631576,0.3815789473684211,0.3223684210526316,0.3256578947368421,0.3684210526315789,0.34210526315789475,0.3592105263157894
P7_D0_G1_M6_R1_T1,0.43119266055045874,0.3302752293577982,0.4036697247706422,0.3944954128440367,0.30275229357798167,0.43119266055045874,0.3761467889908257,0.3853211009174312,0.43119266055045874,0.30275229357798167,0.37889908256880733
P4_D6_G2_M6_R2_T1,0.34545454545454546,0.40606060606060607,0.34545454545454546,0.3151515151515151,0.4484848484848485,0.32727272727272727,0.3878787878787879,0.3575757575757576,0.3090909090909091,0.2909090909090909,0.35333333333333333
P4_D5_G2_M6_R1_T1,0.36528497409326427,0.31865284974093266,0.36787564766839376,0.34974093264248707,0.3134715025906736,0.32642487046632124,0.2979274611398964,0.32124352331606215,0.33678756476683935,0.29533678756476683,0.32927461139896375
P3_D1_G1_M1_R2_T1,0.4519230769230769,0.4182692307692308,0.44711538461538464,0.39903846153846156,0.4230769230769231,0.4423076923076923,0.3894230769230769,0.4375,0.42788461538461536,0.4182692307692308,0.4254807692307693
P12_D0_G7_M6_R2_T1,0.3218390804597701,0.28160919540229884,0.25862068965517243,0.27586206896551724,0.3045977011494253,0.28160919540229884,0.3045977011494253,0.2988505747126437,0.3103448275862069,0.29310344827586204,0.29310344827586204
P6_D6_G1_M6_R2_T1,0.39267015706806285,0.25654450261780104,0.3298429319371728,0.24083769633507854,0.34554973821989526,0.28272251308900526,0.24607329842931938,0.25654450261780104,0.2513089005235602,0.2617801047120419,0.28638743455497384
P6_D5_G1_M6_R1_T1,0.3779527559055118,0.3858267716535433,0.2677165354330709,0.2755905511811024,0.3228346456692913,0.30708661417322836,0.33858267716535434,0.36220472440944884,0.2992125984251969,0.3543307086614173,0.32913385826771646
P13_D1_G5_M1_R2_T1,0.35537190082644626,0.371900826446281,0.30165289256198347,0.3140495867768595,0.3347107438016529,0.32231404958677684,0.3677685950413223,0.36363636363636365,0.3347107438016529,0.36363636363636365,0.34297520661157027
P9_D1_G4_M6_R2_T1,0.40825688073394495,0.3302752293577982,0.3256880733944954,0.3623853211009174,0.3440366972477064,0.38073394495412843,0.3532110091743119,0.2981651376146789,0.30275229357798167,0.3440366972477064,0.34495412844036694
P12_D1_G7_M1_R2_T1,0.30835734870317005,0.2968299711815562,0.30835734870317005,0.28530259365994237,0.29971181556195964,0.33429394812680113,0.29394812680115273,0.276657060518732,0.31988472622478387,0.29394812680115273,0.30172910662824204
P13_D0_G5_M6_R2_T1,0.37572254335260113,0.3352601156069364,0.3872832369942196,0.2947976878612717,0.34104046242774566,0.31213872832369943,0.3583815028901734,0.26011560693641617,0.3815028901734104,0.28901734104046245,0.3335260115606936
P10_D5_G5_M5_R2_T1,0.3641304347826087,0.23369565217391305,0.3532608695652174,0.27717391304347827,0.33152173913043476,0.34782608695652173,0.30434782608695654,0.40217391304347827,0.2391304347826087,0.3967391304347826,0.325
P10_D0_G5_M6_R2_T1,0.30113636363636365,0.2556818181818182,0.2784090909090909,0.2784090909090909,0.3068181818181818,0.2556818181818182,0.2897727272727273,0.24431818181818182,0.2784090909090909,0.26136363636363635,0.27499999999999997
P9_D5_G4_M6_R1_T1,0.3697478991596639,0.35294117647058826,0.37815126050420167,0.35294117647058826,0.35294117647058826,0.2857142857142857,0.42857142857142855,0.2689075630252101,0.40336134453781514,0.40336134453781514,0.35966386554621843
P13_D5_G5_M5_R2_T1,0.34065934065934067,0.34615384615384615,0.31868131868131866,0.3131868131868132,0.35714285714285715,0.31868131868131866,0.35714285714285715,0.27472527472527475,0.3901098901098901,0.3131868131868132,0.33296703296703295
P9_D6_G4_M6_R2_T1,0.41626794258373206,0.24880382775119617,0.3684210526315789,0.33014354066985646,0.3253588516746411,0.3684210526315789,0.33014354066985646,0.33014354066985646,0.35406698564593303,0.3492822966507177,0.34210526315789475
P12_D5_G7_M5_R2_T1,0.3125,0.30514705882352944,0.34191176470588236,0.33455882352941174,0.3272058823529412,0.3382352941176471,0.28308823529411764,0.3235294117647059,0.30514705882352944,0.36764705882352944,0.3238970588235294
P10_D1_G5_M1_R2_T1,0.2994011976047904,0.31137724550898205,0.281437125748503,0.32934131736526945,0.2874251497005988,0.281437125748503,0.2694610778443114,0.2934131736526946,0.281437125748503,0.2874251497005988,0.2922155688622755
P6_D1_G1_M6_R2_T1,0.28717948717948716,0.31794871794871793,0.31794871794871793,0.3128205128205128,0.24102564102564103,0.2923076923076923,0.30256410256410254,0.3230769230769231,0.26666666666666666,0.30256410256410254,0.2964102564102564
P8_D1_G4_M1_R1_T1,0.3251231527093596,0.39901477832512317,0.33004926108374383,0.33497536945812806,0.3251231527093596,0.3842364532019704,0.3399014778325123,0.3054187192118227,0.3645320197044335,0.33004926108374383,0.3438423645320198
P5_D1_G3_M1_R1_T1,0.34615384615384615,0.36153846153846153,0.3384615384615385,0.33076923076923076,0.33076923076923076,0.33076923076923076,0.3769230769230769,0.2923076923076923,0.36153846153846153,0.3076923076923077,0.3376923076923076
P4_D1_G2_M6_R2_T1,0.38953488372093026,0.4127906976744186,0.3430232558139535,0.38953488372093026,0.4069767441860465,0.36627906976744184,0.31976744186046513,0.36627906976744184,0.32558139534883723,0.3546511627906977,0.36744186046511634
P7_D5_G1_M5_R1_T1,0.3228346456692913,0.44881889763779526,0.30708661417322836,0.3858267716535433,0.3858267716535433,0.3228346456692913,0.36220472440944884,0.4015748031496063,0.3228346456692913,0.31496062992125984,0.35748031496062993
P9_D6_G4_M6_R2_T2,0.37073170731707317,0.3073170731707317,0.35609756097560974,0.35121951219512193,0.2780487804878049,0.3073170731707317,0.25853658536585367,0.32195121951219513,0.3121951219512195,0.3902439024390244,0.32536585365853654
P5_D0_G3_M6_R1_T1,0.3559322033898305,0.3050847457627119,0.4152542372881356,0.2711864406779661,0.3644067796610169,0.3135593220338983,0.3389830508474576,0.3389830508474576,0.3728813559322034,0.3728813559322034,0.3449152542372881
P11_D5_G6_M5_R2_T1,0.33663366336633666,0.3465346534653465,0.3234323432343234,0.30033003300330036,0.3465346534653465,0.3234323432343234,0.31683168316831684,0.34983498349834985,0.35313531353135313,0.32673267326732675,0.3323432343234323
P3_D5_G1_M5_R2_T1,0.3617021276595745,0.35638297872340424,0.425531914893617,0.3882978723404255,0.324468085106383,0.3351063829787234,0.2978723404255319,0.35106382978723405,0.3191489361702128,0.3723404255319149,0.35319148936170214
P6_D1_G1_M1_R2_T1,0.29518072289156627,0.3433734939759036,0.3433734939759036,0.3674698795180723,0.27710843373493976,0.35542168674698793,0.35542168674698793,0.25301204819277107,0.27710843373493976,0.28313253012048195,0.3150602409638554
P10_D1_G5_M6_R2_T1,0.27624309392265195,0.3149171270718232,0.287292817679558,0.30386740331491713,0.26519337016574585,0.3149171270718232,0.292817679558011,0.30939226519337015,0.292817679558011,0.3314917127071823,0.29889502762430936
P13_D5_G5_M6_R1_T1,0.3157894736842105,0.37719298245614036,0.38596491228070173,0.3157894736842105,0.2982456140350877,0.42105263157894735,0.4473684210526316,0.2894736842105263,0.39473684210526316,0.37719298245614036,0.362280701754386
P13_D6_G5_M6_R2_T1,0.39226519337016574,0.281767955801105,0.34806629834254144,0.2983425414364641,0.30386740331491713,0.36464088397790057,0.2983425414364641,0.3812154696132597,0.40331491712707185,0.35911602209944754,0.34309392265193367
P9_D5_G4_M5_R2_T1,0.4325581395348837,0.3302325581395349,0.2930232558139535,0.3674418604651163,0.3116279069767442,0.32558139534883723,0.29767441860465116,0.3488372093023256,0.3116279069767442,0.3813953488372093,0.33999999999999997
P6_D0_G1_M6_R2_T1,0.33689839572192515,0.32085561497326204,0.3315508021390374,0.2994652406417112,0.33689839572192515,0.31016042780748665,0.2994652406417112,0.26737967914438504,0.3582887700534759,0.2192513368983957,0.3080213903743315
P11_D6_G6_M6_R2_T2,0.43601895734597157,0.36492890995260663,0.26540284360189575,0.3127962085308057,0.3696682464454976,0.33175355450236965,0.2938388625592417,0.35545023696682465,0.2985781990521327,0.36018957345971564,0.33886255924170616
P12_D5_G7_M6_R1_T1,0.40963855421686746,0.3313253012048193,0.3493975903614458,0.3493975903614458,0.3493975903614458,0.37349397590361444,0.3072289156626506,0.3674698795180723,0.41566265060240964,0.3192771084337349,0.3572289156626506
P12_D6_G7_M6_R2_T1,0.38076923076923075,0.29615384615384616,0.38846153846153847,0.3,0.3038461538461538,0.29615384615384616,0.3192307692307692,0.2923076923076923,0.3423076923076923,0.27307692307692305,0.3192307692307692
P7_D5_G1_M6_R2_T1,0.3817204301075269,0.3118279569892473,0.3655913978494624,0.3118279569892473,0.34946236559139787,0.34946236559139787,0.3333333333333333,0.27956989247311825,0.3172043010752688,0.3010752688172043,0.33010752688172046
P4_D0_G2_M6_R2_T1,0.4782608695652174,0.45962732919254656,0.43478260869565216,0.42857142857142855,0.4658385093167702,0.4782608695652174,0.4720496894409938,0.4658385093167702,0.422360248447205,0.4658385093167702,0.45714285714285713
P7_D6_G1_M6_R1_T1,0.36752136752136755,0.36752136752136755,0.358974358974359,0.358974358974359,0.36752136752136755,0.3333333333333333,0.3504273504273504,0.37606837606837606,0.3418803418803419,0.3418803418803419,0.3564102564102565
P13_D6_G5_M6_R2_T2,0.4556213017751479,0.3609467455621302,0.34911242603550297,0.34911242603550297,0.40236686390532544,0.3431952662721893,0.34911242603550297,0.38461538461538464,0.33136094674556216,0.378698224852071,0.370414201183432
P11_D5_G6_M6_R1_T1,0.38764044943820225,0.25842696629213485,0.42696629213483145,0.3258426966292135,0.37640449438202245,0.2640449438202247,0.39325842696629215,0.3539325842696629,0.3258426966292135,0.34269662921348315,0.3455056179775281
P11_D6_G6_M6_R2_T1,0.2914572864321608,0.39195979899497485,0.31155778894472363,0.271356783919598,0.36683417085427134,0.2814070351758794,0.31155778894472363,0.34673366834170855,0.32160804020100503,0.32663316582914576,0.32211055276381906
P12_D6_G7_M6_R2_T2,0.30976430976430974,0.29292929292929293,0.3063973063973064,0.26936026936026936,0.29292929292929293,0.30303030303030304,0.31313131313131315,0.25925925925925924,0.37037037037037035,0.28619528619528617,0.3003367003367003
P3_D5_G1_M6_R1_T1,0.255,0.215,0.26,0.23,0.275,0.235,0.21,0.245,0.245,0.22,0.23900000000000002
