,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Row_Avg
Column_Avg,0.36188022341064674,0.3298449888459148,0.3497421669901136,0.33582176918505957,0.3403016275196359,0.34032599033897865,0.3388121727506094,0.33900696830580174,0.34173154647866905,0.3393114393974066,0.3416778893222836
P10_D1_G5_M1_R1_T1,0.36024844720496896,0.36024844720496896,0.35403726708074534,0.2919254658385093,0.36024844720496896,0.36645962732919257,0.2795031055900621,0.34782608695652173,0.35403726708074534,0.3167701863354037,0.3391304347826087
P6_D1_G1_M6_R1_T1,0.5041322314049587,0.45454545454545453,0.48760330578512395,0.4462809917355372,0.4628099173553719,0.371900826446281,0.45454545454545453,0.3884297520661157,0.371900826446281,0.3884297520661157,0.4330578512396694
P12_D5_G7_M5_R1_T1,0.3567251461988304,0.30409356725146197,0.34502923976608185,0.3508771929824561,0.3157894736842105,0.3333333333333333,0.4152046783625731,0.32748538011695905,0.3508771929824561,0.3508771929824561,0.3450292397660819
P13_D5_G5_M5_R1_T1,0.32231404958677684,0.39669421487603307,0.3140495867768595,0.3305785123966942,0.36363636363636365,0.4132231404958678,0.35537190082644626,0.2892561983471074,0.38016528925619836,0.32231404958677684,0.3487603305785124
P9_D6_G4_M6_R1_T1,0.3391304347826087,0.3217391304347826,0.4,0.33043478260869563,0.3217391304347826,0.391304347826087,0.28695652173913044,0.391304347826087,0.30434782608695654,0.3217391304347826,0.3408695652173913
P9_D5_G4_M6_R2_T1,0.3397129186602871,0.2583732057416268,0.2822966507177033,0.3062200956937799,0.32057416267942584,0.28708133971291866,0.33014354066985646,0.27751196172248804,0.23923444976076555,0.32057416267942584,0.29617224880382775
P10_D0_G5_M6_R1_T1,0.40860215053763443,0.27956989247311825,0.3333333333333333,0.3978494623655914,0.41935483870967744,0.24731182795698925,0.3763440860215054,0.2903225806451613,0.44086021505376344,0.27956989247311825,0.3473118279569893
P3_D5_G1_M5_R1_T1,0.3629032258064516,0.3467741935483871,0.3467741935483871,0.3387096774193548,0.32661290322580644,0.36693548387096775,0.29838709677419356,0.3467741935483871,0.3548387096774194,0.39919354838709675,0.3487903225806452
P11_D5_G6_M5_R1_T1,0.4354066985645933,0.2966507177033493,0.3397129186602871,0.31100478468899523,0.32057416267942584,0.3684210526315789,0.3349282296650718,0.3397129186602871,0.3444976076555024,0.3588516746411483,0.34497607655502394
P5_D0_G3_M6_R2_T1,0.22900763358778625,0.22137404580152673,0.24427480916030533,0.24427480916030533,0.26717557251908397,0.2900763358778626,0.3053435114503817,0.2824427480916031,0.2595419847328244,0.25190839694656486,0.25954198473282447
