,t0,LZ,CTW
mean,320100.0,0.15163512311145416,0.21963575282064998
0.0,0.0,0.014642537916280451,0.0057492087554707125
4.0,4.0,0.004183582261794414,0.0004299302129161915
8.0,8.0,0.004183582261794414,0.0004299302129161915
12.0,12.0,0.008367164523588828,0.0023849965927234037
16.0,16.0,0.004183582261794414,0.0004299302129161915
20.0,20.0,0.004183582261794414,0.0004299302129161915
24.0,24.0,0.004183582261794414,0.0004299302129161915
28.0,28.0,0.004183582261794414,0.0004299302129161915
32.0,32.0,0.03974403148704694,0.10169180163887936
36.0,36.0,0.16106791707908494,0.22360392004965912
40.0,40.0,0.7028418199814616,0.7240970234722381
44.0,44.0,0.46856121332097445,0.526708668145753
48.0,48.0,0.08576343636678549,0.12350644375671437
52.0,52.0,0.006275373392691622,0.0023849965927227
56.0,56.0,0.004183582261794414,0.0004299302129161915
60.0,60.0,0.016734329047177657,0.018848765456556345
64.0,64.0,0.008367164523588828,0.002864750061994836
68.0,68.0,0.014642537916280451,0.014049322527648357
72.0,72.0,0.02510149357076649,0.02243662063032932
76.0,76.0,0.13387463237742125,0.18351016587908447
80.0,80.0,0.15688433481729053,0.2314393415375287
84.0,84.0,0.2593821002312537,0.3883347962805319
88.0,88.0,0.46437763105917995,0.64915915136476
92.0,92.0,0.004183582261794414,0.0004299302129161915
96.0,96.0,0.012550746785383244,0.008228973781055427
100.0,100.0,0.008367164523588828,0.004335621776412983
104.0,104.0,0.08576343636678549,0.12596014990422896
108.0,108.0,0.03765224035614973,0.048054472574923415
112.0,112.0,0.12550746785383243,0.128225180952811
116.0,116.0,0.02091791130897207,0.017651886243710502
120.0,120.0,0.004183582261794414,0.0004299302129161915
124.0,124.0,0.11295672106844919,0.2121518336593234
128.0,128.0,0.292850758325609,0.40805042197562996
132.0,132.0,0.21754627761330955,0.35509057792851195
136.0,136.0,0.09831418315216874,0.15870968571001356
140.0,140.0,0.2593821002312537,0.29837172158825626
144.0,144.0,0.12759925898472965,0.14247793632112082
148.0,148.0,0.26984105588573976,0.32044648501347384
152.0,152.0,0.2551985179694593,0.29316070771872965
156.0,156.0,0.13387463237742125,0.1384364015665284
160.0,160.0,0.1694350816026738,0.2296463711226587
164.0,164.0,0.22382165100600115,0.23729769177177468
168.0,168.0,0.4371843463575163,0.46904903122573377
172.0,172.0,0.5877933077821151,0.6776318558376501
176.0,176.0,0.8199821233117053,0.8380310568274343
180.0,180.0,0.4371843463575163,2.219353618639584
184.0,184.0,0.29912613171830066,0.6286859597388599
188.0,188.0,0.010458955654486035,0.00822910110176437
192.0,192.0,0.033468658094355314,0.03373159696919427
196.0,196.0,0.008367164523588828,0.002384996592723118
200.0,200.0,0.004183582261794414,0.0004299302129161915
204.0,204.0,0.13387463237742125,0.18207721058196558
208.0,208.0,0.20917911308972073,0.23015507749862063
