,t0,LZ,CTW
mean,170460.0,0.1712280454291571,0.2097181349743828
0.0,0.0,0.008367164523588828,0.0024438019545317564
4.0,4.0,0.008367164523588828,0.0023849965927231088
8.0,8.0,0.10877313880665478,0.13012655451005903
12.0,12.0,0.010458955654486035,0.007612536004223683
16.0,16.0,0.12341567672293523,0.16689433318870092
20.0,20.0,0.21754627761330955,0.26153728794424347
24.0,24.0,0.05020298714153298,0.061998818870362224
28.0,28.0,0.09413060089037431,0.09584608126323164
32.0,32.0,0.27611642927843133,0.3017445616072
36.0,36.0,0.26984105588573976,0.40114338918557707
40.0,40.0,0.15270075255549612,0.2502626388071973
44.0,44.0,0.23428060666048722,0.36420587144896815
48.0,48.0,0.3681552390379084,0.44978076500570957
52.0,52.0,0.26984105588573976,0.4197608878939824
56.0,56.0,0.008367164523588828,0.004335621776412989
60.0,60.0,0.008367164523588828,0.004335621776412955
64.0,64.0,0.06275373392691622,0.12949396491714418
68.0,68.0,0.29912613171830066,0.33456923429816426
72.0,72.0,0.13805821463921567,0.14712430384569788
76.0,76.0,0.05229477827243018,0.05876969752828797
80.0,80.0,0.03974403148704694,0.05079946308806464
84.0,84.0,0.029285075832560903,0.033927601057540495
88.0,88.0,0.15479254368639334,0.19151512001993679
92.0,92.0,0.3305029986817587,0.3627731692377572
96.0,96.0,0.30121792284919785,0.342612221956461
100.0,100.0,0.6087112190910873,0.6485286316939189
104.0,104.0,0.4434597197502079,0.4765825557070579
108.0,108.0,0.12550746785383243,0.17099804810315045
