,t0,var
0.0,0.0,50.76832041841416
4.0,4.0,50.809352905624394
8.0,8.0,50.68202758188012
12.0,12.0,50.83404585802785
16.0,16.0,49.49257867976607
20.0,20.0,52.042939720426126
24.0,24.0,50.51722691559241
28.0,28.0,50.67906678114275
32.0,32.0,51.87256625459482
36.0,36.0,52.77908174055174
40.0,40.0,55.99687651094152
44.0,44.0,57.01384346213337
48.0,48.0,57.30930183206047
52.0,52.0,51.124545354061745
56.0,56.0,50.97604856733085
60.0,60.0,51.305272490482984
64.0,64.0,50.569448944681994
68.0,68.0,51.687644544108224
72.0,72.0,51.135229384428094
76.0,76.0,57.206080072243225
80.0,80.0,55.75952423578064
84.0,84.0,55.3941302326229
88.0,88.0,53.90045082495871
92.0,92.0,56.317933490275685
96.0,96.0,51.70261336314355
100.0,100.0,52.08251817556142
104.0,104.0,53.884930479285075
108.0,108.0,53.89863389103809
112.0,112.0,54.580429635588736
116.0,116.0,54.361905529417214
120.0,120.0,52.85362975978722
124.0,124.0,55.109431070812334
128.0,128.0,55.319408029590164
132.0,132.0,54.437097571113135
136.0,136.0,54.27249204668286
140.0,140.0,54.977575147790915
144.0,144.0,49.63237210444373
148.0,148.0,54.6276922043545
152.0,152.0,55.01872122901861
156.0,156.0,53.748800257542115
160.0,160.0,54.91970759887574
164.0,164.0,56.07276013136961
168.0,168.0,55.90458033592592
172.0,172.0,56.36581012863296
176.0,176.0,55.52596509390561
180.0,180.0,55.91897601901324
184.0,184.0,55.940480632331656
188.0,188.0,55.47754765859466
192.0,192.0,56.03956368520733
196.0,196.0,56.50926334715224
200.0,200.0,57.60961481797504
204.0,204.0,52.73698539296586
208.0,208.0,52.08095477563268
212.0,212.0,51.83601957572269
216.0,216.0,52.494636828142085
220.0,220.0,53.00449403541693
224.0,224.0,53.22523516892278
