,t0,LZ,CTW
mean,169800.0,0.19132418165099097,0.23939728949514888
0.0,0.0,0.012550746785383244,0.0074168492332661855
4.0,4.0,0.010458955654486035,0.005643917798912261
8.0,8.0,0.012550746785383244,0.008985058250337269
12.0,12.0,0.023009702439869276,0.017910531846517603
16.0,16.0,0.03974403148704694,0.04174312465449705
20.0,20.0,0.03765224035614973,0.04416519938551868
24.0,24.0,0.008367164523588828,0.006282688124047482
28.0,28.0,0.07530448071229946,0.08068122673606011
32.0,32.0,0.06275373392691622,0.09311607001383847
36.0,36.0,0.22591344213689837,0.2600177224864618
40.0,40.0,0.27193284701663695,0.3724240578283803
44.0,44.0,0.37861419469239455,0.5150983639287747
48.0,48.0,0.36397165677611404,0.44334239161731476
52.0,52.0,0.2970343405874034,0.3368823934397534
56.0,56.0,0.15270075255549612,0.2055415758960445
60.0,60.0,0.12132388559203802,0.20081739725091988
64.0,64.0,0.1443335880319073,0.23713174535977874
68.0,68.0,0.06275373392691622,0.07719243177149848
72.0,72.0,0.09413060089037431,0.11868802966083455
76.0,76.0,0.21127090422061792,0.24110727439764038
80.0,80.0,0.15270075255549612,0.20506119960980368
84.0,84.0,0.14015000577011288,0.21059548873084483
88.0,88.0,0.3242276252890671,0.35879073965722863
92.0,92.0,0.42254180844123584,0.454735266269427
96.0,96.0,0.5020298714153297,0.6543090537076225
100.0,100.0,0.4978462891535353,0.6146042511678185
104.0,104.0,0.5062134536771241,0.582238977803989
108.0,108.0,0.20499553082792632,0.3086010792370366
