,t0,LZ,CTW
mean,343200.0,0.1749764931950506,0.2460044162137761
0.0,0.0,0.004183582261794414,0.0004299302129161915
4.0,4.0,0.033468658094355314,0.03877480084356939
8.0,8.0,0.04811119601063576,0.04670067356362118
12.0,12.0,0.05647836053422459,0.0668598204761832
16.0,16.0,0.014642537916280451,0.006093363010854208
20.0,20.0,0.11086492993755198,0.15727342152853863
24.0,24.0,0.016734329047177657,0.011047845763683216
28.0,28.0,0.004183582261794414,0.0004299302129161915
32.0,32.0,0.08157985410499108,0.16926112260756468
36.0,36.0,0.21336269535151514,0.24384068140522033
40.0,40.0,0.5250395738551991,0.6002702072071223
44.0,44.0,0.6087112190910873,0.6790586633076325
48.0,48.0,0.41835822617944146,0.5102108355189934
52.0,52.0,0.11086492993755198,0.14686984442066892
56.0,56.0,0.06484552505781342,0.07078549770310748
60.0,60.0,0.04183582261794414,0.04708400131734081
64.0,64.0,0.06484552505781342,0.07261180523296551
68.0,68.0,0.07321268958140224,0.11109256208832743
72.0,72.0,0.07321268958140224,0.09453647958818227
76.0,76.0,0.25729030910035644,0.8085600891649304
80.0,80.0,0.1464253791628045,0.16161336956877456
84.0,84.0,0.1464253791628045,0.21897005496694272
88.0,88.0,0.2635656824930481,0.33605880728115023
92.0,92.0,0.1798940372571598,0.23379671913579436
96.0,96.0,0.07112089845050504,0.08824069422292813
100.0,100.0,0.0878552274976827,0.11910131117615644
104.0,104.0,0.16734329047177657,0.2588308768949836
108.0,108.0,0.13596642350831847,0.19567987977258297
112.0,112.0,0.12341567672293523,0.19929980164194736
116.0,116.0,0.28030001154022577,0.3131102356518111
120.0,120.0,0.08576343636678549,0.11619823966881059
124.0,124.0,0.023009702439869276,0.01689798842120052
128.0,128.0,0.20499553082792632,0.3105122215466226
132.0,132.0,0.24264777118407604,0.30680289646972114
136.0,136.0,0.2593821002312537,0.32544739699493824
140.0,140.0,0.09622239202127152,0.12750453022187516
144.0,144.0,0.010458955654486035,0.0038131786892553936
148.0,148.0,0.012550746785383244,0.011140756317806144
152.0,152.0,0.19035299291164587,0.2503862632555956
156.0,156.0,0.28030001154022577,0.35206091018314617
160.0,160.0,0.3263194164199643,0.3771632637408738
164.0,164.0,0.09831418315216874,0.1262827376145252
168.0,168.0,0.03137686696345811,0.024240882907395508
172.0,172.0,0.03137686696345811,0.02418307724175165
176.0,176.0,0.010458955654486035,0.005507128810968105
180.0,180.0,0.27193284701663695,0.4897146582618758
184.0,184.0,0.2656574736239453,0.36150642122889476
188.0,188.0,0.5543246496877599,0.5895628690180733
192.0,192.0,0.7718709273010695,0.8118034496817127
196.0,196.0,0.4413679286193107,0.7528859677077356
200.0,200.0,0.27611642927843133,0.43397590492973775
204.0,204.0,0.15270075255549612,0.2085694888993393
208.0,208.0,0.13596642350831847,0.24352094476009795
212.0,212.0,0.1757104549953654,0.45665693740562435
216.0,216.0,0.1798940372571598,0.32579080481030165
220.0,220.0,0.16106791707908494,0.26048277993395386
224.0,224.0,0.2593821002312537,0.7031466999759949
