,t0,var
0.0,0.0,45.085638212041715
4.0,4.0,52.81026788860369
8.0,8.0,52.388141507075126
12.0,12.0,52.175688332239964
16.0,16.0,52.08147766592219
20.0,20.0,52.68344151418135
24.0,24.0,54.203873874022264
28.0,28.0,55.27859092574046
32.0,32.0,55.12389411254217
36.0,36.0,55.379300015475685
40.0,40.0,55.050533731126954
44.0,44.0,55.84182765263724
48.0,48.0,55.044205820634396
52.0,52.0,55.50968045911368
56.0,56.0,54.91172281660875
60.0,60.0,54.29150599096977
64.0,64.0,52.85992770202472
68.0,68.0,55.16770094913694
72.0,72.0,55.40981162319643
76.0,76.0,55.082420214992226
80.0,80.0,55.13001685818097
84.0,84.0,55.19069643663262
88.0,88.0,55.235240812061335
92.0,92.0,54.19421778168546
96.0,96.0,54.98374768321408
100.0,100.0,54.69355148436933
104.0,104.0,55.66603018800145
108.0,108.0,55.32795897661784
112.0,112.0,55.38393200586166
116.0,116.0,54.98549934819862
120.0,120.0,51.8674703118626
124.0,124.0,53.10038929148772
128.0,128.0,55.20199423649126
132.0,132.0,52.225332585729284
136.0,136.0,52.86068010075684
140.0,140.0,54.70688900044216
144.0,144.0,54.51650221211042
148.0,148.0,55.2949765607232
152.0,152.0,55.19064266465344
156.0,156.0,55.55160885856837
160.0,160.0,55.556963029679956
164.0,164.0,55.67473308425889
168.0,168.0,55.631652556605765
