,t0,var
0.0,0.0,44.96868934057788
4.0,4.0,46.09052721391124
8.0,8.0,51.23975396773685
12.0,12.0,53.807664181495774
16.0,16.0,54.374094662591936
20.0,20.0,55.50504453007284
24.0,24.0,54.27233769384911
28.0,28.0,54.98671255715702
32.0,32.0,55.70369704875277
36.0,36.0,55.03136445770196
40.0,40.0,55.31280304463993
44.0,44.0,55.12139905000746
48.0,48.0,55.65217849268702
52.0,52.0,55.171667905328945
56.0,56.0,53.532774400518264
60.0,60.0,53.76245023820181
64.0,64.0,53.93249468560585
68.0,68.0,54.85753833124407
72.0,72.0,54.15905453124548
76.0,76.0,54.360028120203665
80.0,80.0,52.9987762418626
84.0,84.0,54.5601703192608
88.0,88.0,54.939183076320745
92.0,92.0,55.096104514072614
96.0,96.0,55.55684323601697
100.0,100.0,55.7303498203416
104.0,104.0,56.22903166518769
108.0,108.0,55.184901011257985
