,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_Av,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,Participant
0,P6_D1_G1_M6_R1_T1,MC,DI,Z1,A3,7.1,5.0,0.004498632195176871,0.009722199731287899,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
1,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A3,7.2,5.366598411868735,0.0843861965683516,0.05360671359528611,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
2,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A3,7.3,2.608573518110577,0.060868224904405806,0.05048065245091813,IMP0,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
3,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A2,7.4,3.0,0.2382317568788275,0.2234066315874978,IMP1,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
4,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A2,7.5,3.4312898653107933,0.20080765937730846,0.16181003748577136,IMP1,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
5,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A1,7.6,6.0,0.5489490654390566,0.4425580511165463,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
6,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.7,6.0,0.05657688215008627,0.04565891371778949,IMP2,2.25,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
7,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.8,6.0,0.14248394043592108,0.13379922427394872,IMP2,1.25,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
8,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.9,6.0,0.18963543373399447,0.15038815248677573,IMP2,2.75,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
9,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A1,7.1,5.066666666666664,0.4982060605810129,0.4270289266588782,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
10,P6_D1_G1_M6_R1_T1,MI,DC,Z1,A1,7.11,0.0,0.029067990471707005,0.023931568569324133,IMP0,0.5,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,[0.45217838],P6
11,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.17,4.889726741727193,0.006995872502001571,0.010900337738767472,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
12,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.18,3.9598326024836625,0.008100310322913331,0.012339715043557733,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
13,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A2,2.19,4.604406429865685,0.1180839893171378,0.09681407284862958,IMP1,6.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
14,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.2,3.8550158888614536,0.0640929809948891,0.06118866963747653,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
15,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.21,6.294582481161212,0.32713428779932335,0.2629753046197327,IMP2,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
16,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.22,6.163560860400357,0.44217689477426253,0.38019855066384656,IMP2,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
17,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A2,2.23,4.369597739257186,0.0570110059786713,0.05534175231656213,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
18,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.24,4.924831182700026,0.0006453183779761999,0.005982892142331,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
19,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.25,3.610643174602242,0.0006453183779761999,0.005982892142331,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
20,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A3,2.26,2.7166203717315436,0.11093874864744413,0.08061947161791078,IMP0,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
21,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.27,3.5508381265316418,0.053863728305105225,0.04644613636809621,IMP1,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
22,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.28,2.313634551270804,0.16325854662751424,0.14736808013741723,IMP0,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
23,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.29,2.5533806066256513,0.08650271154946207,0.08048414429564375,IMP0,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
24,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A2,2.3,2.7551218996150943,0.28982301342006017,0.22687756781839558,IMP0,4.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
25,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A1,2.31,4.0,0.37652338221431003,0.31989776423526295,IMP1,3.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
26,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.32,5.940273600700262,0.616867338507199,0.5908621757115899,IMP2,6.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
27,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.33,2.1388888888888813,0.5462785095749347,0.46500367261784054,IMP0,2.0,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,6.75,4.833333333333333,5.791666666666666,D5,M5,R1,0.3455060303396354,[0.37057298],P3
28,P7_D5_G1_M5_R2_T1,MI,DC,Z2,A1,9.1,1.0,0.04139684071621943,0.03485684987271126,IMP0,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
29,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.2,3.305991780926514,0.22603608007537684,0.17717519230584883,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
30,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.3,4.0,0.388407155126934,0.3456782126680158,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
31,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.4,4.0,0.3377770571145025,0.2955922649070431,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
32,P7_D5_G1_M5_R2_T1,MC,DC,Z1,A2,9.5,4.031806213357714,0.028223591059538183,0.029582077814858998,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
33,P7_D5_G1_M5_R2_T1,MC,DI,Z3,A2,9.6,4.32314688593169,0.34317094480897314,0.2491209811487287,IMP1,2.0,7,7,1,7,7,7,7,7,7,7,6,1,6,6,7.0,7.0,4.0,6.833333333333333,5.416666666666666,D5,M5,R2,0.4884099425889617,[0.52251444],P7
