,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_subj,Imp_avg,Flow_subj,Flow_avg,CTW,LZ,Assigned_Cat,Rounds,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo,LZ_Av,CTW_Av,MIR_entropy,MIR_entropy_avg,MIR_rms,MIR_rms_avg,MIR_novelty,MIR_novelty_avg,Participant
0,P6_D1_G1_M6_R1_T1,MC,DI,Z1,A3,7.1,1.0,4.25,4.010313439744891,4.0,0.33094180991774436,0.28007413841287193,IMP0,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.6832198555142641,0.7342613134378349,0.010279442730038136,0.020570940214217234,0.3859950255443087,0.5046561606126414,P6
1,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A3,7.2,2.7296149344633176,4.25,6.0,4.0,0.4194404993421712,0.32953769919959386,IMP0,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7184319547746486,0.7342613134378349,0.014142093850023487,0.020570940214217234,0.7516957905622403,0.5046561606126414,P6
2,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A3,7.3,5.838196185234854,4.25,6.0,4.0,0.375580810891305,0.32369939361736916,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7142690192000495,0.7342613134378349,0.013370928763339378,0.020570940214217234,0.5405505618663508,0.5046561606126414,P6
3,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A2,7.4,6.0,4.25,6.0,4.0,0.6593365293914245,0.6215409086953455,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7411943321056067,0.7342613134378349,0.02930555647110179,0.020570940214217234,0.38713388714547825,0.5046561606126414,P6
4,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A2,7.5,5.670336150949369,4.25,6.0,4.0,0.5898821268406876,0.51371287531197,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7448743082775157,0.7342613134378349,0.023220359226280202,0.020570940214217234,0.31694471267347657,0.5046561606126414,P6
5,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A1,7.6,3.1133482951863636,4.25,5.803345952416878,4.0,0.8196176581310618,0.7656342268024228,IMP1,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7764295641660985,0.7342613134378349,0.04189181327234313,0.020570940214217234,0.2313376195244235,0.5046561606126414,P6
6,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.7,3.964935030240211,4.25,4.125867312001734,4.0,0.5099881521582953,0.4850865971189985,IMP1,2.25,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7394261808294099,0.7342613134378349,0.016798821921156525,0.020570940214217234,0.6646908496615429,0.5046561606126414,P6
7,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.8,6.0,4.25,4.0,4.0,0.6563289575035876,0.6499596463714179,IMP2,1.25,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.7635113865185352,0.7342613134378349,0.022093667371852525,0.020570940214217234,0.28977111681631695,0.5046561606126414,P6
8,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.9,6.0,4.25,4.0,4.0,0.7054080562023268,0.6681802724412441,IMP2,2.75,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.755428017776218,0.7342613134378349,0.021856110750829872,0.020570940214217234,0.5869071257197322,0.5046561606126414,P6
9,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A1,7.1,6.0,4.25,4.21851851851852,4.0,0.8388740217385713,0.7048594805183761,IMP2,2.0,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.764972563828832,0.7342613134378349,0.03748822278288671,0.020570940214217234,0.44294161761120565,0.5046561606126414,P6
10,P6_D1_G1_M6_R1_T1,MI,DC,Z1,A1,7.11,6.0,4.25,6.0,4.0,0.21819596501558772,0.19394542028056463,IMP2,0.5,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,5.25,5.5,5.375,D1,M6,R1,0.4234811694314264,0.4521783774864642,0.6961634924932546,0.7342613134378349,0.009974872323350679,0.020570940214217234,,0.5046561606126414,P6
