,Name,Music_Imp,Dance_Imp,Baile_Level,Guitarra_Level,Step,Imp_Av,CTW_Av,LZ_Av,Assigned_Cat,Rounds,Dance_mode,Music_mode,Palo,Participant
0,P6_D1_G1_M6_R1_T1,MC,DI,Z1,A3,7.1,1.0,0.004498632195176871,0.009722199731287899,IMP0,2.0,D1,M6,R1,P6
1,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A3,7.2,2.8805811180381973,0.0843861965683516,0.05360671359528611,IMP0,2.0,D1,M6,R1,P6
2,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A3,7.3,5.869524506036859,0.060868224904405806,0.05048065245091813,IMP2,2.0,D1,M6,R1,P6
3,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A2,7.4,6.0,0.2382317568788275,0.2234066315874978,IMP2,2.0,D1,M6,R1,P6
4,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A2,7.5,5.568710134689207,0.20080765937730846,0.16181003748577136,IMP2,2.0,D1,M6,R1,P6
5,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A1,7.6,3.0,0.5489490654390566,0.4425580511165463,IMP1,2.0,D1,M6,R1,P6
6,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.7,4.081757460146752,0.05657688215008627,0.04565891371778949,IMP1,2.25,D1,M6,R1,P6
7,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.8,6.0,0.14248394043592108,0.13379922427394872,IMP2,1.25,D1,M6,R1,P6
8,P6_D1_G1_M6_R1_T1,MC,DI,Z2,A1,7.9,6.0,0.18963543373399447,0.15038815248677573,IMP2,2.75,D1,M6,R1,P6
9,P6_D1_G1_M6_R1_T1,MC,DI,Z3,A1,7.1,6.0,0.4982060605810129,0.4270289266588782,IMP2,2.0,D1,M6,R1,P6
10,P6_D1_G1_M6_R1_T1,MI,DC,Z1,A1,7.11,0.0,0.029067990471707005,0.023931568569324133,IMP0,0.5,D1,M6,R1,P6
11,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.17,5.0152681684306115,0.006995872502001571,0.010900337738767472,IMP2,4.0,D5,M5,R1,P3
12,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.18,4.231381909914738,0.008100310322913331,0.012339715043557733,IMP1,4.0,D5,M5,R1,P3
13,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A2,2.19,6.430379470609435,0.1180839893171378,0.09681407284862958,IMP2,6.0,D5,M5,R1,P3
14,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.2,4.10101769013523,0.0640929809948891,0.06118866963747653,IMP1,4.0,D5,M5,R1,P3
15,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.21,4.863285040910368,0.32713428779932335,0.2629753046197327,IMP1,4.0,D5,M5,R1,P3
16,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.22,6.658994235690857,0.44217689477426253,0.38019855066384656,IMP2,4.0,D5,M5,R1,P3
17,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A2,2.23,4.764413727293376,0.0570110059786713,0.05534175231656213,IMP1,4.0,D5,M5,R1,P3
18,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.24,5.4553171265390175,0.0006453183779761999,0.005982892142331,IMP2,4.0,D5,M5,R1,P3
19,P3_D5_G1_M5_R1_T1,MI,DI,Z1,A3,2.25,6.730933845113336,0.0006453183779761999,0.005982892142331,IMP2,4.0,D5,M5,R1,P3
20,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A3,2.26,4.337502210131861,0.11093874864744413,0.08061947161791078,IMP1,4.0,D5,M5,R1,P3
21,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.27,4.021613735069419,0.053863728305105225,0.04644613636809621,IMP1,4.0,D5,M5,R1,P3
22,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.28,3.5317672740900945,0.16325854662751424,0.14736808013741723,IMP1,4.0,D5,M5,R1,P3
23,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A2,2.29,2.1969948171916776,0.08650271154946207,0.08048414429564375,IMP0,4.0,D5,M5,R1,P3
24,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A2,2.3,2.4474322244928786,0.28982301342006017,0.22687756781839558,IMP0,4.0,D5,M5,R1,P3
25,P3_D5_G1_M5_R1_T1,MI,DI,Z2,A1,2.31,3.244249959179851,0.37652338221431003,0.31989776423526295,IMP1,3.0,D5,M5,R1,P3
26,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.32,5.1918564526388,0.616867338507199,0.5908621757115899,IMP2,6.0,D5,M5,R1,P3
27,P3_D5_G1_M5_R1_T1,MI,DI,Z3,A1,2.33,6.716009713391911,0.5462785095749347,0.46500367261784054,IMP2,2.0,D5,M5,R1,P3
28,P7_D5_G1_M5_R2_T1,MI,DC,Z2,A1,9.1,1.0,0.04139684071621943,0.03485684987271126,IMP0,2.0,D5,M5,R2,P7
29,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.2,-63.21333333333335,0.22603608007537684,0.17717519230584883,IMP0,2.0,D5,M5,R2,P7
30,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.3,1.0,0.388407155126934,0.3456782126680158,IMP0,2.0,D5,M5,R2,P7
31,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A1,9.4,1.0,0.3377770571145025,0.2955922649070431,IMP0,2.0,D5,M5,R2,P7
32,P7_D5_G1_M5_R2_T1,MC,DC,Z1,A2,9.5,1.0954186400731416,0.028223591059538183,0.029582077814858998,IMP0,2.0,D5,M5,R2,P7
33,P7_D5_G1_M5_R2_T1,MC,DI,Z3,A2,9.6,3.593888131559014,0.34317094480897314,0.2491209811487287,IMP1,2.0,D5,M5,R2,P7
34,P7_D5_G1_M5_R2_T1,MC,DI,Z2,A3,9.7,4.300704489412495,0.1448563755127987,0.07578330046952651,IMP1,2.0,D5,M5,R2,P7
35,P7_D5_G1_M5_R2_T1,MI,DI,Z1,A3,9.8,5.0,0.03597636241414068,0.031908758092432196,IMP2,2.0,D5,M5,R2,P7
36,P7_D5_G1_M5_R2_T1,MC,DI,Z1,A3,9.9,5.0,0.014164352133196001,0.016034150941447157,IMP2,2.0,D5,M5,R2,P7
37,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A2,9.1,5.0,0.30681691824374685,0.22460774251001125,IMP2,2.0,D5,M5,R2,P7
38,P7_D5_G1_M5_R2_T1,MC,DC,Z3,A2,9.11,6.474387751070653,0.3760251069635573,0.3350419599705384,IMP2,2.0,D5,M5,R2,P7
39,P7_D5_G1_M5_R2_T1,MI,DI,Z3,A1,9.12,7.0,0.400242225451551,0.373432184550496,IMP2,1.0,D5,M5,R2,P7
40,P7_D5_G1_M5_R2_T1,MI,DI,Z3,A1,9.13,7.000000000000001,0.5141119932937742,0.4499406840675778,IMP2,4.0,D5,M5,R2,P7
41,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.1,4.0,0.00617328747024666,0.010014841194771487,IMP1,4.0,D1,M6,R1,P4
42,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.2,-102.74999999999999,0.0006453183779761999,0.0059828921423309995,IMP0,4.0,D1,M6,R1,P4
43,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.3,-94.80991735537188,0.0658228962567649,0.05942099695906055,IMP0,4.0,D1,M6,R1,P4
44,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.4,4.0,0.14516359568942636,0.09378183433103907,IMP1,4.0,D1,M6,R1,P4
45,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.5,4.0,0.10137909077706549,0.08045415486134634,IMP1,4.0,D1,M6,R1,P4
46,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.6,4.0,0.08165445901250226,0.0681734815165616,IMP1,4.0,D1,M6,R1,P4
47,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.7.1,4.0,0.04566468077379411,0.03769222049668553,IMP1,2.0,D1,M6,R1,P4
48,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.7.2,4.0,0.309135382026061,0.22402607244061792,IMP1,2.0,D1,M6,R1,P4
49,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A3,4.8,4.0,0.08148128819787688,0.070448554975948,IMP1,4.0,D1,M6,R1,P4
50,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.9.1,4.0,0.011788396631211786,0.015811929233303414,IMP1,2.0,D1,M6,R1,P4
51,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.9.2,4.0,0.08737207632973684,0.06999983806527318,IMP1,2.0,D1,M6,R1,P4
52,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A2,4.10,4.0,0.27269200599889587,0.24713946772552078,IMP1,4.0,D1,M6,R1,P4
53,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.11.1,4.270476570541689,0.1389763832910087,0.13062647844089445,IMP1,2.0,D1,M6,R1,P4
54,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.11.2,5.0,0.20631031556156273,0.14408798576113924,IMP2,2.0,D1,M6,R1,P4
55,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.12,5.090126742542152,0.32348350000953985,0.2660250256143624,IMP2,4.0,D1,M6,R1,P4
56,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.13,5.923641233454387,0.35519386511862905,0.3053576104951267,IMP2,4.0,D1,M6,R1,P4
57,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.14,6.0,0.22401874605395408,0.17626520696252226,IMP2,4.0,D1,M6,R1,P4
58,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.15,6.0,0.0881490815900898,0.06857314840056346,IMP2,4.0,D1,M6,R1,P4
59,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.16,4.851696689522335,0.31718614008987983,0.2852751753320575,IMP1,4.0,D1,M6,R1,P4
60,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A1,4.17,4.0,0.20731172018038324,0.1944439946257589,IMP1,4.0,D1,M6,R1,P4
61,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.18.1,4.0,0.203337656624582,0.18522036923966514,IMP1,2.0,D1,M6,R1,P4
62,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.18.2,4.1719424285773075,0.44272998705174016,0.33392016769385136,IMP1,2.0,D1,M6,R1,P4
63,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.19,4.578598361169949,0.36524938454773015,0.31452918691111764,IMP1,4.0,D1,M6,R1,P4
64,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.20,4.0,0.23843550689066442,0.21923026207255894,IMP1,4.0,D1,M6,R1,P4
65,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.21,4.0,0.41851204373535184,0.4071086153213441,IMP1,4.0,D1,M6,R1,P4
66,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.22,4.0,0.1522267876667226,0.14610852389692652,IMP1,4.0,D1,M6,R1,P4
67,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.23,3.9909736613163154,0.043857401029783784,0.03955356471874407,IMP1,4.0,D1,M6,R1,P4
68,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.24,3.2396831781867412,0.13251622952372188,0.11267780201390128,IMP1,4.0,D1,M6,R1,P4
69,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.25,3.0,0.13561108865475582,0.11826183468007694,IMP1,4.0,D1,M6,R1,P4
70,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.26,3.0,0.10256932807903275,0.08974338213496562,IMP1,4.0,D1,M6,R1,P4
71,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.27,3.0,0.1933751676055407,0.1714328710014087,IMP1,4.0,D1,M6,R1,P4
72,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.28,2.4462712449106645,0.26476865867807253,0.2345293719793769,IMP0,4.0,D1,M6,R1,P4
73,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A2,4.29,2.0,0.24678430388271821,0.18958289476011492,IMP0,6.0,D1,M6,R1,P4
74,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.30,3.468795048109693,0.253978110145604,0.1892089640012192,IMP1,4.0,D1,M6,R1,P4
75,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.31,4.0,0.2556463912278632,0.2187079460918792,IMP1,4.0,D1,M6,R1,P4
76,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.32,4.0,0.17152510101235394,0.15147595105810865,IMP1,4.0,D1,M6,R1,P4
77,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.33,4.0,0.25992371657025637,0.25726436212023485,IMP1,4.0,D1,M6,R1,P4
78,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.34,4.0,0.3051344884527921,0.24366687997857345,IMP1,4.0,D1,M6,R1,P4
79,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.35,4.0,0.04238632053132293,0.036794786675335873,IMP1,4.0,D1,M6,R1,P4
80,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.36,4.0,0.017285522656282113,0.014658085748710989,IMP1,4.0,D1,M6,R1,P4
81,P4_D1_G2_M6_R1_T1,MC,DI,Z1,A3,4.37,4.0,0.02281771008281884,0.022222170814372395,IMP1,8.0,D1,M6,R1,P4
82,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A3,4.38,4.0,0.1427415376196147,0.11651682447189704,IMP1,8.0,D1,M6,R1,P4
83,P4_D1_G2_M6_R1_T1,MC,DI,Z2,A1,4.39,4.7794630776566756,0.49099596168276366,0.3754264819312729,IMP1,4.0,D1,M6,R1,P4
84,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.40,5.0,0.2350978252197428,0.2374120381934091,IMP2,4.0,D1,M6,R1,P4
85,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.41,4.783980252876273,0.4606002044870561,0.4490160552819448,IMP1,4.0,D1,M6,R1,P4
86,P4_D1_G2_M6_R1_T1,MC,DI,Z3,A1,4.42,3.086876123665105,0.49742214659717077,0.46816131013740414,IMP1,4.0,D1,M6,R1,P4
