,t0,LZ,CTW
mean,176460.0,0.187034979393671,0.2657089971437358
0.0,0.0,0.004183582261794414,0.0004299302129161915
4.0,4.0,0.004183582261794414,0.0004299302129161915
8.0,8.0,0.004183582261794414,0.0004299302129161915
12.0,12.0,0.004183582261794414,0.0004299302129161915
16.0,16.0,0.004183582261794414,0.0004299302129161915
20.0,20.0,0.004183582261794414,0.0004299302129161915
24.0,24.0,0.004183582261794414,0.0004299302129161915
28.0,28.0,0.004183582261794414,0.0004299302129161915
32.0,32.0,0.006275373392691622,0.002384996592722576
36.0,36.0,0.004183582261794414,0.0004299302129161915
40.0,40.0,0.04392761374884135,0.06709802532064568
44.0,44.0,0.004183582261794414,0.0004299302129161915
48.0,48.0,0.2677492647548425,0.6504526728033511
52.0,52.0,0.2865753849329174,0.4613517295752108
56.0,56.0,0.004183582261794414,0.0004299302129161915
60.0,60.0,0.19453657517344028,0.21136984975779508
64.0,64.0,0.3576962833834224,0.47937039052304936
68.0,68.0,0.43300076409572186,0.7672194770902017
72.0,72.0,0.16106791707908494,0.17986483687433288
76.0,76.0,0.17152687273357098,0.2023556873535584
80.0,80.0,0.21545448648241233,0.3711627110587033
84.0,84.0,0.15270075255549612,0.19642889101841066
88.0,88.0,0.20499553082792632,0.273908981248663
92.0,92.0,0.24892314457676765,0.4121757995102703
96.0,96.0,0.3158604607654783,0.5331782486060939
100.0,100.0,0.6484552505781342,0.6624758369621776
104.0,104.0,0.6066194279601901,0.6776424648231202
108.0,108.0,0.6421798771854426,0.6568440446904577
112.0,112.0,0.42045001731033865,0.8955470410174968
