,t0,LZ,CTW
mean,306840.0,0.18009911481901247,0.261850968089865
0.0,0.0,0.004183582261794414,0.0004299302129161915
4.0,4.0,0.004183582261794414,0.0004299302129161915
8.0,8.0,0.004183582261794414,0.0004299302129161915
12.0,12.0,0.004183582261794414,0.0004299302129161915
16.0,16.0,0.004183582261794414,0.0004299302129161915
20.0,20.0,0.004183582261794414,0.0004299302129161915
24.0,24.0,0.004183582261794414,0.0004299302129161915
28.0,28.0,0.004183582261794414,0.0004299302129161915
32.0,32.0,0.004183582261794414,0.0004299302129161915
36.0,36.0,0.004183582261794414,0.0004299302129161915
40.0,40.0,0.004183582261794414,0.0004299302129161915
44.0,44.0,0.010458955654486035,0.006809339641221977
48.0,48.0,0.004183582261794414,0.0004299302129161915
52.0,52.0,0.06902910731960783,0.17205726775234226
56.0,56.0,0.12759925898472965,0.3988586501247166
60.0,60.0,0.05438656940332739,0.05504652841218754
64.0,64.0,0.16525149934087935,0.2879101435619086
68.0,68.0,0.2886671760638146,0.48307684718046207
72.0,72.0,0.5417739029023767,0.6159953078350596
76.0,76.0,0.6505470417090314,0.7354502334948183
80.0,80.0,0.5773343521276292,0.6609539481173345
84.0,84.0,0.5229477827243018,0.5780153925031889
88.0,88.0,0.5585082319495543,0.8105148148157187
92.0,92.0,0.06902910731960783,0.06742010170245913
96.0,96.0,0.027193284701663694,0.028846073651529077
100.0,100.0,0.3576962833834224,0.5830681542453249
104.0,104.0,0.24055598005317883,0.4375328256628381
108.0,108.0,0.09413060089037431,0.12784646291375223
112.0,112.0,0.004183582261794414,0.0004299302129161915
116.0,116.0,0.004183582261794414,0.0004299302129161915
120.0,120.0,0.004183582261794414,0.0004299302129161915
124.0,124.0,0.13178284124652406,0.188835527789555
128.0,128.0,0.19453657517344028,0.3675037090289481
132.0,132.0,0.20917911308972073,0.8790468741286428
136.0,136.0,0.06693731618871063,0.0778985234934633
140.0,140.0,0.004183582261794414,0.0004299302129161915
144.0,144.0,0.004183582261794414,0.0004299302129161915
148.0,148.0,0.4058074793940582,0.55717594826296
152.0,152.0,0.6045276368292929,0.7546748939328348
156.0,156.0,0.39953210600136657,0.5632120364428275
160.0,160.0,0.11923209446114082,0.1463308597272842
164.0,164.0,0.004183582261794414,0.0004299302129161915
168.0,168.0,0.03556044922525252,0.04663648338607887
172.0,172.0,0.10458955654486037,0.11420079596396249
176.0,176.0,0.30330971398009504,0.5691923626925962
180.0,180.0,0.5103970359389186,0.5305756977536096
184.0,184.0,0.37861419469239455,0.4799689606928958
188.0,188.0,0.42463359957213304,0.4479049997774082
192.0,192.0,0.4601940487973856,0.8796096869777037
196.0,196.0,0.39116494147777775,0.6843195102030412
200.0,200.0,0.014642537916280451,0.010171666881950585
