,t0,LZ,CTW
mean,207600.0,0.16678958105477437,0.21392615488673505
0.0,0.0,0.004183582261794414,0.0004299302129161915
4.0,4.0,0.004183582261794414,0.0004299302129161915
8.0,8.0,0.006275373392691622,0.00238499659272281
12.0,12.0,0.05438656940332739,0.0689353349388758
16.0,16.0,0.20917911308972073,0.23699229217349205
20.0,20.0,0.31167687850368386,0.34484817356807235
24.0,24.0,0.27402463814753414,0.42443620277425015
28.0,28.0,0.38070598582329174,0.4340077412025518
32.0,32.0,0.3702470301688057,0.6442876074460877
36.0,36.0,0.30958508737278667,0.3902856059950389
40.0,40.0,0.3493291188598336,0.4704715730602129
44.0,44.0,0.21336269535151514,0.3032116640081777
48.0,48.0,0.08576343636678549,0.1283895275777292
52.0,52.0,0.004183582261794414,0.0004299302129161915
56.0,56.0,0.004183582261794414,0.0004299302129161915
60.0,60.0,0.19453657517344028,0.2518938319188676
64.0,64.0,0.3158604607654783,0.3920938978599514
68.0,68.0,0.28030001154022577,0.41665452467692293
72.0,72.0,0.19244478404254303,0.3089834949843843
76.0,76.0,0.008367164523588828,0.00433562177641298
80.0,80.0,0.004183582261794414,0.0004299302129161915
84.0,84.0,0.004183582261794414,0.0004299302129161915
88.0,88.0,0.004183582261794414,0.0004299302129161915
92.0,92.0,0.004183582261794414,0.0004299302129161915
96.0,96.0,0.02510149357076649,0.030987355134303594
100.0,100.0,0.004183582261794414,0.0004299302129161915
104.0,104.0,0.033468658094355314,0.03513103681300435
108.0,108.0,0.12759925898472965,0.1623272825512854
112.0,112.0,0.23218881552958998,0.28287798512574047
116.0,116.0,0.24473956231497324,0.2719388777643235
120.0,120.0,0.3179522518963755,0.34263256077223286
124.0,124.0,0.2593821002312537,0.28706298536580926
128.0,128.0,0.46856121332097445,0.5356902212005158
132.0,132.0,0.3681552390379084,0.49875949895178223
