,t0,var
0.0,0.0,49.881318775910486
4.0,4.0,47.67592300339957
8.0,8.0,48.11348843460951
12.0,12.0,49.04476346002742
16.0,16.0,48.59465342431396
20.0,20.0,49.46308564429905
24.0,24.0,48.885499863535564
28.0,28.0,49.16815104004756
32.0,32.0,49.41663487863823
36.0,36.0,49.15662948201298
40.0,40.0,50.25459559308139
44.0,44.0,48.943939280406916
48.0,48.0,49.168752054457414
52.0,52.0,48.63840402266432
56.0,56.0,53.972861864975265
60.0,60.0,52.67753520161714
64.0,64.0,54.19089186416623
68.0,68.0,55.84300434078795
72.0,72.0,55.70511275500236
76.0,76.0,52.95651263398196
80.0,80.0,50.71015777398538
84.0,84.0,49.55765794924004
88.0,88.0,50.95519316561096
92.0,92.0,49.7759152259296
96.0,96.0,51.164214852152014
100.0,100.0,52.83448106507888
104.0,104.0,51.833146030829575
108.0,108.0,51.8343812527465
112.0,112.0,51.723425246012525
116.0,116.0,51.25540235185342
120.0,120.0,51.19381593506326
124.0,124.0,52.136058503555574
128.0,128.0,51.3445054786701
132.0,132.0,54.53622265822064
136.0,136.0,52.03964144472308
140.0,140.0,54.79192865531373
144.0,144.0,55.13160377006907
148.0,148.0,54.96564052329251
152.0,152.0,56.87287515256104
156.0,156.0,55.60002133399917
160.0,160.0,51.84108856928494
164.0,164.0,51.57806437967486
168.0,168.0,50.909314034976624
172.0,172.0,54.070644207142955
176.0,176.0,56.21435744090044
180.0,180.0,55.37759024233288
184.0,184.0,55.69959306108966
188.0,188.0,55.44080744265413
192.0,192.0,55.34723289921975
196.0,196.0,55.21554657559893
200.0,200.0,56.39296599124809
204.0,204.0,55.66398118679752
