,t0,var
0.0,0.0,51.45938663272173
4.0,4.0,50.14306682795836
8.0,8.0,50.712203036017804
12.0,12.0,50.618374593861944
16.0,16.0,51.25122064349391
20.0,20.0,51.28912995034774
24.0,24.0,50.89531247413569
28.0,28.0,50.96215700245408
32.0,32.0,48.70053177450961
36.0,36.0,49.37431953018676
40.0,40.0,49.41036394389726
44.0,44.0,50.794465053889844
48.0,48.0,51.9712017814192
52.0,52.0,51.41831076646995
56.0,56.0,55.17572959167902
60.0,60.0,58.08317719904513
64.0,64.0,58.36201537732568
68.0,68.0,57.720316079200046
72.0,72.0,57.07832703559677
76.0,76.0,57.876692720670576
80.0,80.0,57.929291718876456
84.0,84.0,56.84128801675852
88.0,88.0,56.37591271496941
92.0,92.0,49.51318932922942
96.0,96.0,49.273587762474655
100.0,100.0,49.8550187780998
104.0,104.0,50.203733391342496
108.0,108.0,50.29184969799924
112.0,112.0,49.6351183332191
116.0,116.0,54.70112888640432
120.0,120.0,51.36702803762909
124.0,124.0,57.51473591635143
128.0,128.0,51.958867755991776
132.0,132.0,51.36933497916608
136.0,136.0,58.06911606145816
140.0,140.0,58.18084933526833
144.0,144.0,58.061339590692526
148.0,148.0,54.359450972866085
152.0,152.0,50.868117623534694
156.0,156.0,55.85880702775556
160.0,160.0,55.99726039151453
164.0,164.0,57.02170969625628
168.0,168.0,56.87415460088369
172.0,172.0,51.397613673316954
176.0,176.0,57.661563125823314
180.0,180.0,56.78364437055619
184.0,184.0,56.79026115364005
188.0,188.0,56.19646824984974
192.0,192.0,58.326188905910755
