,t0,LZ,CTW
mean,305820.0,0.1839102762284824,0.2992924334615114
0.0,0.0,0.004183582261794414,0.0004299302129161915
4.0,4.0,0.014642537916280451,0.009529660734631271
8.0,8.0,0.04392761374884135,0.056616626619735516
12.0,12.0,0.004183582261794414,0.0004299302129161915
16.0,16.0,0.018826120178074866,0.027531589900062214
20.0,20.0,0.014642537916280451,0.011390918125752303
24.0,24.0,0.05438656940332739,0.08419555355944078
28.0,28.0,0.05229477827243018,0.07531564165768273
32.0,32.0,0.04601940487973855,0.25353197272662675
36.0,36.0,0.018826120178074866,0.06980935819503697
40.0,40.0,0.04811119601063576,0.11517551236298013
44.0,44.0,0.36397165677611404,0.43165587942998407
48.0,48.0,0.19244478404254303,0.44840531939249384
52.0,52.0,0.2008119485661319,0.25931760334890025
56.0,56.0,0.30958508737278667,0.5552982633349366
60.0,60.0,0.07530448071229946,0.32941471843437475
64.0,64.0,0.08576343636678549,0.12218555047166835
68.0,68.0,0.3158604607654783,0.4833690281157568
72.0,72.0,0.31376866963458105,0.5638068183977389
76.0,76.0,0.03137686696345811,0.04649363910840141
80.0,80.0,0.3974403148704694,0.5050297760906354
84.0,84.0,0.5501410674259655,0.6532065145351665
88.0,88.0,0.5020298714153297,0.5758699664795843
92.0,92.0,0.14224179690101008,0.227828968227207
96.0,96.0,0.10249776541396316,0.18334050780212346
100.0,100.0,0.29075896719471184,0.6030347551917447
104.0,104.0,0.28448359380202015,0.45595577781871144
108.0,108.0,0.12132388559203802,0.1463865461143351
112.0,112.0,0.0899470186285799,0.11897283169623966
116.0,116.0,0.28448359380202015,0.34400318084238013
120.0,120.0,0.25101493570766487,0.3313557265202892
124.0,124.0,0.1736186638644682,0.19596994640842974
128.0,128.0,0.2970343405874034,0.3893598468494024
132.0,132.0,0.09622239202127152,0.367915188740194
136.0,136.0,0.3179522518963755,0.4101872031620734
140.0,140.0,0.353512701121628,0.6560470259714596
144.0,144.0,0.16315970820998216,0.2154169989590274
148.0,148.0,0.12132388559203802,0.1682405900546746
152.0,152.0,0.31167687850368386,0.37678205026509437
156.0,156.0,0.1150485121993464,0.13861334270452036
160.0,160.0,0.12759925898472965,0.26139078583754394
164.0,164.0,0.45182688427379675,1.1610898889338006
168.0,168.0,0.25101493570766487,0.4183668441468357
172.0,172.0,0.1757104549953654,0.48673432698709374
176.0,176.0,0.27193284701663695,0.5251127357926194
180.0,180.0,0.12759925898472965,0.18392243857513685
184.0,184.0,0.1840776195189542,0.3238419882887075
188.0,188.0,0.26984105588573976,0.3229341830602392
192.0,192.0,0.03137686696345811,0.07242765969330146
196.0,196.0,0.12969105011562684,0.20138056298495982
