,t0,var
0.0,0.0,46.46712476256334
4.0,4.0,51.02796213641654
8.0,8.0,52.302947910191826
12.0,12.0,52.95154428893193
16.0,16.0,51.83920830127134
20.0,20.0,51.8629148857155
24.0,24.0,53.08226873138839
28.0,28.0,53.07594899054916
32.0,32.0,51.479664784566054
36.0,36.0,51.68609811042712
40.0,40.0,54.19144757975894
44.0,44.0,50.80441637531889
48.0,48.0,51.23952761635812
52.0,52.0,50.424570983023024
56.0,56.0,51.085317565040825
60.0,60.0,52.2067877247389
64.0,64.0,54.570651089816685
68.0,68.0,54.41955227032949
72.0,72.0,55.78157686602167
76.0,76.0,55.77226723883043
80.0,80.0,55.720477683820285
84.0,84.0,56.320438205773804
88.0,88.0,56.31675698274027
92.0,92.0,56.883880276873406
96.0,96.0,56.470485880396986
100.0,100.0,55.13051680625536
104.0,104.0,51.89094103407111
108.0,108.0,53.00301025739402
112.0,112.0,54.143507670870534
116.0,116.0,53.877666321503426
120.0,120.0,54.76097179435731
124.0,124.0,55.09478177833678
128.0,128.0,56.82269875515035
132.0,132.0,56.41361996869313
136.0,136.0,55.65863970040412
140.0,140.0,53.97834199446325
144.0,144.0,54.651311525573796
148.0,148.0,54.768597439045124
152.0,152.0,55.529365983350324
156.0,156.0,55.44271586579561
160.0,160.0,56.041038332578744
164.0,164.0,55.46182785830912
168.0,168.0,54.64462503465712
172.0,172.0,53.72672887831563
176.0,176.0,55.43367933976253
180.0,180.0,55.62447081131303
184.0,184.0,55.84600035123291
188.0,188.0,55.474290987698126
192.0,192.0,56.26660119259368
196.0,196.0,55.481906860439736
200.0,200.0,54.87260075450351
204.0,204.0,55.43244180230178
208.0,208.0,55.85670266013609
212.0,212.0,55.96434624604791
216.0,216.0,55.43116904976845
220.0,220.0,56.09460322417716
224.0,224.0,56.31144173586566
228.0,228.0,56.42663154674718
232.0,232.0,56.17406916745497
236.0,236.0,52.05619503707109
240.0,240.0,49.18729968152537
