,t0,var
0.0,0.0,52.26031621651954
4.0,4.0,52.44133773474949
8.0,8.0,51.913031486332756
12.0,12.0,53.18824079154527
16.0,16.0,53.339647636466765
20.0,20.0,51.2326082951653
24.0,24.0,51.421907192610554
28.0,28.0,51.8438122001699
32.0,32.0,54.12178088130869
36.0,36.0,54.90414295400781
40.0,40.0,55.10604116711079
44.0,44.0,54.4699047540965
48.0,48.0,55.756343741229415
52.0,52.0,55.733896129716065
56.0,56.0,53.18548094773337
60.0,60.0,54.37150933639886
64.0,64.0,55.191824139932145
68.0,68.0,55.34525318351713
72.0,72.0,53.37435178483326
76.0,76.0,54.846221912880004
80.0,80.0,55.87316720165212
84.0,84.0,55.3580392794147
88.0,88.0,55.47120940011043
92.0,92.0,54.79498679309307
96.0,96.0,54.64286394734814
100.0,100.0,55.48794426182587
104.0,104.0,55.96689180022943
108.0,108.0,55.7283812734036
112.0,112.0,56.08369759696112
