,Name,t_%,y_var,t_0,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P10_D1_G5_M1_R1_T1,1559.2307692307693,0.1506612562028713,243240.0,P10,D1,M1,R1,D1_M1,1.0
1,P10_D1_G5_M1_R1_T1,0.0,0.0083671645235888,0.0,P10,D1,M1,R1,D1_M1,0.1
2,P10_D1_G5_M1_R1_T1,0.02564102564102564,0.0041835822617944,4.0,P10,D1,M1,R1,D1_M1,0.1
3,P10_D1_G5_M1_R1_T1,0.05128205128205128,0.0041835822617944,8.0,P10,D1,M1,R1,D1_M1,0.1
4,P10_D1_G5_M1_R1_T1,0.07692307692307693,0.0083671645235888,12.0,P10,D1,M1,R1,D1_M1,0.1
5,P10_D1_G5_M1_R1_T1,0.10256410256410256,0.0167343290471776,16.0,P10,D1,M1,R1,D1_M1,0.2
6,P10_D1_G5_M1_R1_T1,0.1282051282051282,0.0041835822617944,20.0,P10,D1,M1,R1,D1_M1,0.2
7,P10_D1_G5_M1_R1_T1,0.15384615384615385,0.0125507467853832,24.0,P10,D1,M1,R1,D1_M1,0.2
8,P10_D1_G5_M1_R1_T1,0.1794871794871795,0.0230097024398692,28.0,P10,D1,M1,R1,D1_M1,0.2
9,P10_D1_G5_M1_R1_T1,0.20512820512820512,0.1296910501156268,32.0,P10,D1,M1,R1,D1_M1,0.3
10,P10_D1_G5_M1_R1_T1,0.23076923076923078,0.3116768785036838,36.0,P10,D1,M1,R1,D1_M1,0.3
11,P10_D1_G5_M1_R1_T1,0.2564102564102564,0.4225418084412358,40.0,P10,D1,M1,R1,D1_M1,0.3
12,P10_D1_G5_M1_R1_T1,0.28205128205128205,0.384889568085086,44.0,P10,D1,M1,R1,D1_M1,0.3
13,P10_D1_G5_M1_R1_T1,0.3076923076923077,0.0041835822617944,48.0,P10,D1,M1,R1,D1_M1,0.4
14,P10_D1_G5_M1_R1_T1,0.3333333333333333,0.0041835822617944,52.0,P10,D1,M1,R1,D1_M1,0.4
15,P10_D1_G5_M1_R1_T1,0.358974358974359,0.1045895565448603,56.0,P10,D1,M1,R1,D1_M1,0.4
16,P10_D1_G5_M1_R1_T1,0.38461538461538464,0.1234156767229352,60.0,P10,D1,M1,R1,D1_M1,0.4
17,P10_D1_G5_M1_R1_T1,0.41025641025641024,0.0313768669634581,64.0,P10,D1,M1,R1,D1_M1,0.5
18,P10_D1_G5_M1_R1_T1,0.4358974358974359,0.1380582146392156,68.0,P10,D1,M1,R1,D1_M1,0.5
19,P10_D1_G5_M1_R1_T1,0.46153846153846156,0.2698410558857397,72.0,P10,D1,M1,R1,D1_M1,0.5
20,P10_D1_G5_M1_R1_T1,0.48717948717948717,0.1778022461262626,76.0,P10,D1,M1,R1,D1_M1,0.5
21,P10_D1_G5_M1_R1_T1,0.5128205128205128,0.1568843348172905,80.0,P10,D1,M1,R1,D1_M1,0.6
22,P10_D1_G5_M1_R1_T1,0.5384615384615384,0.2719328470166369,84.0,P10,D1,M1,R1,D1_M1,0.6
23,P10_D1_G5_M1_R1_T1,0.5641025641025641,0.0041835822617944,88.0,P10,D1,M1,R1,D1_M1,0.6
24,P10_D1_G5_M1_R1_T1,0.5897435897435898,0.0041835822617944,92.0,P10,D1,M1,R1,D1_M1,0.6
25,P10_D1_G5_M1_R1_T1,0.6153846153846154,0.0041835822617944,96.0,P10,D1,M1,R1,D1_M1,0.7
26,P10_D1_G5_M1_R1_T1,0.6410256410256411,0.0313768669634581,100.0,P10,D1,M1,R1,D1_M1,0.7
