,Name,t_%,y_var,t_0,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P10_D1_G5_M1_R1_T1,0.0,50.94990793224719,0.0,P10,D1,M1,R1,D1_M1,0.1
1,P10_D1_G5_M1_R1_T1,0.02564102564102564,51.10964448703304,4.0,P10,D1,M1,R1,D1_M1,0.1
2,P10_D1_G5_M1_R1_T1,0.05128205128205128,52.50213682253887,8.0,P10,D1,M1,R1,D1_M1,0.1
3,P10_D1_G5_M1_R1_T1,0.07692307692307693,51.89771767075259,12.0,P10,D1,M1,R1,D1_M1,0.1
4,P10_D1_G5_M1_R1_T1,0.10256410256410256,52.85970632159763,16.0,P10,D1,M1,R1,D1_M1,0.2
5,P10_D1_G5_M1_R1_T1,0.1282051282051282,52.80210262443189,20.0,P10,D1,M1,R1,D1_M1,0.2
6,P10_D1_G5_M1_R1_T1,0.15384615384615385,52.64242876653298,24.0,P10,D1,M1,R1,D1_M1,0.2
7,P10_D1_G5_M1_R1_T1,0.1794871794871795,53.04931341563424,28.0,P10,D1,M1,R1,D1_M1,0.2
8,P10_D1_G5_M1_R1_T1,0.20512820512820512,54.98876096364722,32.0,P10,D1,M1,R1,D1_M1,0.3
9,P10_D1_G5_M1_R1_T1,0.23076923076923078,57.90857963360867,36.0,P10,D1,M1,R1,D1_M1,0.3
10,P10_D1_G5_M1_R1_T1,0.2564102564102564,57.28026587647965,40.0,P10,D1,M1,R1,D1_M1,0.3
11,P10_D1_G5_M1_R1_T1,0.28205128205128205,57.583961490130136,44.0,P10,D1,M1,R1,D1_M1,0.3
12,P10_D1_G5_M1_R1_T1,0.3076923076923077,51.56863611514966,48.0,P10,D1,M1,R1,D1_M1,0.4
13,P10_D1_G5_M1_R1_T1,0.3333333333333333,52.32401232953024,52.0,P10,D1,M1,R1,D1_M1,0.4
14,P10_D1_G5_M1_R1_T1,0.358974358974359,57.06082827765377,56.0,P10,D1,M1,R1,D1_M1,0.4
15,P10_D1_G5_M1_R1_T1,0.38461538461538464,56.35282450283328,60.0,P10,D1,M1,R1,D1_M1,0.4
16,P10_D1_G5_M1_R1_T1,0.41025641025641024,53.37622946735336,64.0,P10,D1,M1,R1,D1_M1,0.5
17,P10_D1_G5_M1_R1_T1,0.4358974358974359,57.58218935854927,68.0,P10,D1,M1,R1,D1_M1,0.5
18,P10_D1_G5_M1_R1_T1,0.46153846153846156,56.40898733193252,72.0,P10,D1,M1,R1,D1_M1,0.5
19,P10_D1_G5_M1_R1_T1,0.48717948717948717,58.2386403760266,76.0,P10,D1,M1,R1,D1_M1,0.5
20,P10_D1_G5_M1_R1_T1,0.5128205128205128,56.9057639459262,80.0,P10,D1,M1,R1,D1_M1,0.6
21,P10_D1_G5_M1_R1_T1,0.5384615384615384,58.03159627365132,84.0,P10,D1,M1,R1,D1_M1,0.6
22,P10_D1_G5_M1_R1_T1,0.5641025641025641,50.89300397564559,88.0,P10,D1,M1,R1,D1_M1,0.6
23,P10_D1_G5_M1_R1_T1,0.5897435897435898,51.26037278666099,92.0,P10,D1,M1,R1,D1_M1,0.6
24,P10_D1_G5_M1_R1_T1,0.6153846153846154,52.17077853882587,96.0,P10,D1,M1,R1,D1_M1,0.7
25,P10_D1_G5_M1_R1_T1,0.6410256410256411,53.3128620375671,100.0,P10,D1,M1,R1,D1_M1,0.7
26,P10_D1_G5_M1_R1_T1,0.6666666666666666,56.07411049034213,104.0,P10,D1,M1,R1,D1_M1,0.7
27,P10_D1_G5_M1_R1_T1,0.6923076923076923,56.46124831283699,108.0,P10,D1,M1,R1,D1_M1,0.7
28,P10_D1_G5_M1_R1_T1,0.717948717948718,57.11374283713798,112.0,P10,D1,M1,R1,D1_M1,0.8
29,P10_D1_G5_M1_R1_T1,0.7435897435897436,57.94938155654243,116.0,P10,D1,M1,R1,D1_M1,0.8
30,P10_D1_G5_M1_R1_T1,0.7692307692307693,57.65499526710718,120.0,P10,D1,M1,R1,D1_M1,0.8
31,P10_D1_G5_M1_R1_T1,0.7948717948717948,51.01134841104146,124.0,P10,D1,M1,R1,D1_M1,0.8
32,P10_D1_G5_M1_R1_T1,0.8205128205128205,51.5013450731866,128.0,P10,D1,M1,R1,D1_M1,0.9
33,P10_D1_G5_M1_R1_T1,0.8461538461538461,52.35397934930116,132.0,P10,D1,M1,R1,D1_M1,0.9
34,P10_D1_G5_M1_R1_T1,0.8717948717948718,54.35298848362349,136.0,P10,D1,M1,R1,D1_M1,0.9
35,P10_D1_G5_M1_R1_T1,0.8974358974358975,55.21663948487979,140.0,P10,D1,M1,R1,D1_M1,0.9
36,P10_D1_G5_M1_R1_T1,0.9230769230769231,56.14884307530239,144.0,P10,D1,M1,R1,D1_M1,1.0
37,P10_D1_G5_M1_R1_T1,0.9487179487179487,56.47157021416021,148.0,P10,D1,M1,R1,D1_M1,1.0
38,P10_D1_G5_M1_R1_T1,0.9743589743589743,57.94153805561418,152.0,P10,D1,M1,R1,D1_M1,1.0
39,P10_D1_G5_M1_R1_T1,1.0,58.22321761823302,156.0,P10,D1,M1,R1,D1_M1,1.0
40,P6_D1_G1_M6_R1_T1,0.0,50.89080501048888,0.0,P6,D1,M6,R1,D1_M6,0.1
41,P6_D1_G1_M6_R1_T1,0.034482758620689655,52.53761557965651,4.0,P6,D1,M6,R1,D1_M6,0.1
42,P6_D1_G1_M6_R1_T1,0.06896551724137931,52.94767730152153,8.0,P6,D1,M6,R1,D1_M6,0.1
43,P6_D1_G1_M6_R1_T1,0.10344827586206896,52.42245453878169,12.0,P6,D1,M6,R1,D1_M6,0.2
44,P6_D1_G1_M6_R1_T1,0.13793103448275862,52.21521918508778,16.0,P6,D1,M6,R1,D1_M6,0.2
45,P6_D1_G1_M6_R1_T1,0.1724137931034483,54.60713165630244,20.0,P6,D1,M6,R1,D1_M6,0.2
46,P6_D1_G1_M6_R1_T1,0.20689655172413793,55.904957577643785,24.0,P6,D1,M6,R1,D1_M6,0.3
47,P6_D1_G1_M6_R1_T1,0.2413793103448276,55.83057989394114,28.0,P6,D1,M6,R1,D1_M6,0.3
48,P6_D1_G1_M6_R1_T1,0.27586206896551724,52.13466079268884,32.0,P6,D1,M6,R1,D1_M6,0.3
49,P6_D1_G1_M6_R1_T1,0.3103448275862069,51.92135393285767,36.0,P6,D1,M6,R1,D1_M6,0.4
50,P6_D1_G1_M6_R1_T1,0.3448275862068966,55.5687136925452,40.0,P6,D1,M6,R1,D1_M6,0.4
51,P6_D1_G1_M6_R1_T1,0.3793103448275862,56.34137211333756,44.0,P6,D1,M6,R1,D1_M6,0.4
