,Name,t_%,y_var,t_0,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P10_D1_G5_M1_R1_T1,0.0,16.442673483959965,0.0,P10,D1,M1,R1,D1_M1,0.1
1,P10_D1_G5_M1_R1_T1,0.02777777777777778,0.4681364314422001,4.35374149659864,P10,D1,M1,R1,D1_M1,0.1
2,P10_D1_G5_M1_R1_T1,0.05555555555555556,-0.0098172267348529,8.70748299319728,P10,D1,M1,R1,D1_M1,0.1
3,P10_D1_G5_M1_R1_T1,0.08333333333333334,-0.4724243097873792,13.06122448979592,P10,D1,M1,R1,D1_M1,0.1
4,P10_D1_G5_M1_R1_T1,0.11111111111111112,10.52149706849393,17.41496598639456,P10,D1,M1,R1,D1_M1,0.2
5,P10_D1_G5_M1_R1_T1,0.1388888888888889,14.292968062125585,21.7687074829932,P10,D1,M1,R1,D1_M1,0.2
6,P10_D1_G5_M1_R1_T1,0.16666666666666669,14.90309055761175,26.12244897959184,P10,D1,M1,R1,D1_M1,0.2
7,P10_D1_G5_M1_R1_T1,0.19444444444444442,22.736500315819107,30.476190476190474,P10,D1,M1,R1,D1_M1,0.2
8,P10_D1_G5_M1_R1_T1,0.22222222222222224,25.04509496387326,34.82993197278912,P10,D1,M1,R1,D1_M1,0.3
9,P10_D1_G5_M1_R1_T1,0.25000000000000006,24.860583756673897,39.18367346938776,P10,D1,M1,R1,D1_M1,0.3
10,P10_D1_G5_M1_R1_T1,0.2777777777777778,25.103013779442243,43.53741496598639,P10,D1,M1,R1,D1_M1,0.3
11,P10_D1_G5_M1_R1_T1,0.3055555555555556,0.1647781635513214,47.89115646258504,P10,D1,M1,R1,D1_M1,0.4
12,P10_D1_G5_M1_R1_T1,0.33333333333333337,0.0783335722570752,52.24489795918368,P10,D1,M1,R1,D1_M1,0.4
13,P10_D1_G5_M1_R1_T1,0.3611111111111111,24.417470148123865,56.59863945578231,P10,D1,M1,R1,D1_M1,0.4
14,P10_D1_G5_M1_R1_T1,0.38888888888888884,20.0955361573131,60.95238095238095,P10,D1,M1,R1,D1_M1,0.4
15,P10_D1_G5_M1_R1_T1,0.4166666666666667,23.80897887145864,65.3061224489796,P10,D1,M1,R1,D1_M1,0.5
16,P10_D1_G5_M1_R1_T1,0.4444444444444445,24.637903978415952,69.65986394557824,P10,D1,M1,R1,D1_M1,0.5
17,P10_D1_G5_M1_R1_T1,0.4722222222222222,24.46201549186914,74.01360544217687,P10,D1,M1,R1,D1_M1,0.5
18,P10_D1_G5_M1_R1_T1,0.5,24.00473741069779,78.36734693877551,P10,D1,M1,R1,D1_M1,0.5
19,P10_D1_G5_M1_R1_T1,0.5277777777777778,25.000948171883604,82.72108843537416,P10,D1,M1,R1,D1_M1,0.6
20,P10_D1_G5_M1_R1_T1,0.5555555555555556,24.1483697967433,87.07482993197279,P10,D1,M1,R1,D1_M1,0.6
21,P10_D1_G5_M1_R1_T1,0.5833333333333334,16.622920220244858,91.42857142857144,P10,D1,M1,R1,D1_M1,0.6
22,P10_D1_G5_M1_R1_T1,0.6111111111111112,18.250989835414224,95.78231292517007,P10,D1,M1,R1,D1_M1,0.7
23,P10_D1_G5_M1_R1_T1,0.6388888888888888,21.645888671806016,100.1360544217687,P10,D1,M1,R1,D1_M1,0.7
24,P10_D1_G5_M1_R1_T1,0.6666666666666667,24.173921808326952,104.48979591836736,P10,D1,M1,R1,D1_M1,0.7
25,P10_D1_G5_M1_R1_T1,0.6944444444444444,24.75757986950138,108.84353741496598,P10,D1,M1,R1,D1_M1,0.7
26,P10_D1_G5_M1_R1_T1,0.7222222222222222,24.98178174583117,113.19727891156462,P10,D1,M1,R1,D1_M1,0.8
27,P10_D1_G5_M1_R1_T1,0.7500000000000001,24.422362514963023,117.55102040816328,P10,D1,M1,R1,D1_M1,0.8
28,P10_D1_G5_M1_R1_T1,0.7777777777777777,23.589511016247567,121.9047619047619,P10,D1,M1,R1,D1_M1,0.8
29,P10_D1_G5_M1_R1_T1,0.8055555555555556,17.655494120746233,126.25850340136054,P10,D1,M1,R1,D1_M1,0.9
30,P10_D1_G5_M1_R1_T1,0.8333333333333334,19.78343462526681,130.6122448979592,P10,D1,M1,R1,D1_M1,0.9
31,P10_D1_G5_M1_R1_T1,0.8611111111111112,21.28356261218485,134.96598639455783,P10,D1,M1,R1,D1_M1,0.9
32,P10_D1_G5_M1_R1_T1,0.888888888888889,22.95415345472757,139.31972789115648,P10,D1,M1,R1,D1_M1,0.9
33,P10_D1_G5_M1_R1_T1,0.9166666666666666,24.253389044446145,143.6734693877551,P10,D1,M1,R1,D1_M1,1.0
34,P10_D1_G5_M1_R1_T1,0.9444444444444444,24.669484767627644,148.02721088435374,P10,D1,M1,R1,D1_M1,1.0
35,P10_D1_G5_M1_R1_T1,0.9722222222222222,25.00405303520249,152.38095238095238,P10,D1,M1,R1,D1_M1,1.0
36,P10_D1_G5_M1_R1_T1,1.0,25.661356171492493,156.73469387755102,P10,D1,M1,R1,D1_M1,1.0
37,P6_D1_G1_M6_R1_T1,0.0,17.71488670969826,0.0,P6,D1,M6,R1,D1_M6,0.1
38,P6_D1_G1_M6_R1_T1,0.037037037037037035,11.212186133749857,4.35374149659864,P6,D1,M6,R1,D1_M6,0.1
39,P6_D1_G1_M6_R1_T1,0.07407407407407407,11.929218842725694,8.70748299319728,P6,D1,M6,R1,D1_M6,0.1
40,P6_D1_G1_M6_R1_T1,0.11111111111111112,12.218788384761712,13.06122448979592,P6,D1,M6,R1,D1_M6,0.2
41,P6_D1_G1_M6_R1_T1,0.14814814814814814,10.73970867987241,17.41496598639456,P6,D1,M6,R1,D1_M6,0.2
42,P6_D1_G1_M6_R1_T1,0.18518518518518517,21.72642222668952,21.7687074829932,P6,D1,M6,R1,D1_M6,0.2
43,P6_D1_G1_M6_R1_T1,0.22222222222222224,23.319867117193237,26.12244897959184,P6,D1,M6,R1,D1_M6,0.3
44,P6_D1_G1_M6_R1_T1,0.2592592592592592,10.53623726848293,30.476190476190474,P6,D1,M6,R1,D1_M6,0.3
