,Name,t_%,y_var,t_0,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P10_D1_G5_M1_R1_T1,0.0,49.64357787666538,0.0,P10,D1,M1,R1,D1_M1,0.1
1,P10_D1_G5_M1_R1_T1,0.02564102564102564,50.75768910385243,4.0,P10,D1,M1,R1,D1_M1,0.1
2,P10_D1_G5_M1_R1_T1,0.05128205128205128,52.005083007250256,8.0,P10,D1,M1,R1,D1_M1,0.1
3,P10_D1_G5_M1_R1_T1,0.07692307692307693,51.08054430084943,12.0,P10,D1,M1,R1,D1_M1,0.1
4,P10_D1_G5_M1_R1_T1,0.10256410256410256,53.175020072305024,16.0,P10,D1,M1,R1,D1_M1,0.2
5,P10_D1_G5_M1_R1_T1,0.1282051282051282,51.87982415449042,20.0,P10,D1,M1,R1,D1_M1,0.2
6,P10_D1_G5_M1_R1_T1,0.15384615384615385,52.18322490428282,24.0,P10,D1,M1,R1,D1_M1,0.2
7,P10_D1_G5_M1_R1_T1,0.1794871794871795,52.21625710342059,28.0,P10,D1,M1,R1,D1_M1,0.2
8,P10_D1_G5_M1_R1_T1,0.20512820512820512,53.91866017243115,32.0,P10,D1,M1,R1,D1_M1,0.3
9,P10_D1_G5_M1_R1_T1,0.23076923076923078,54.43101693166544,36.0,P10,D1,M1,R1,D1_M1,0.3
10,P10_D1_G5_M1_R1_T1,0.2564102564102564,53.46827167882981,40.0,P10,D1,M1,R1,D1_M1,0.3
11,P10_D1_G5_M1_R1_T1,0.28205128205128205,53.92831963434105,44.0,P10,D1,M1,R1,D1_M1,0.3
12,P10_D1_G5_M1_R1_T1,0.3076923076923077,50.733500379868616,48.0,P10,D1,M1,R1,D1_M1,0.4
13,P10_D1_G5_M1_R1_T1,0.3333333333333333,52.041272959940144,52.0,P10,D1,M1,R1,D1_M1,0.4
14,P10_D1_G5_M1_R1_T1,0.358974358974359,53.27590959437984,56.0,P10,D1,M1,R1,D1_M1,0.4
15,P10_D1_G5_M1_R1_T1,0.38461538461538464,52.25351517270273,60.0,P10,D1,M1,R1,D1_M1,0.4
16,P10_D1_G5_M1_R1_T1,0.41025641025641024,52.03473025434278,64.0,P10,D1,M1,R1,D1_M1,0.5
17,P10_D1_G5_M1_R1_T1,0.4358974358974359,53.953249813015134,68.0,P10,D1,M1,R1,D1_M1,0.5
18,P10_D1_G5_M1_R1_T1,0.46153846153846156,54.59315310254503,72.0,P10,D1,M1,R1,D1_M1,0.5
19,P10_D1_G5_M1_R1_T1,0.48717948717948717,53.53868438213865,76.0,P10,D1,M1,R1,D1_M1,0.5
20,P10_D1_G5_M1_R1_T1,0.5128205128205128,53.41794783970052,80.0,P10,D1,M1,R1,D1_M1,0.6
21,P10_D1_G5_M1_R1_T1,0.5384615384615384,53.79440922739209,84.0,P10,D1,M1,R1,D1_M1,0.6
22,P10_D1_G5_M1_R1_T1,0.5641025641025641,49.73832195987565,88.0,P10,D1,M1,R1,D1_M1,0.6
23,P10_D1_G5_M1_R1_T1,0.5897435897435898,50.28258347125787,92.0,P10,D1,M1,R1,D1_M1,0.6
24,P10_D1_G5_M1_R1_T1,0.6153846153846154,51.4403564711738,96.0,P10,D1,M1,R1,D1_M1,0.7
25,P10_D1_G5_M1_R1_T1,0.6410256410256411,52.899309182824624,100.0,P10,D1,M1,R1,D1_M1,0.7
26,P10_D1_G5_M1_R1_T1,0.6666666666666666,52.91034022586433,104.0,P10,D1,M1,R1,D1_M1,0.7
27,P10_D1_G5_M1_R1_T1,0.6923076923076923,53.25121565512546,108.0,P10,D1,M1,R1,D1_M1,0.7
28,P10_D1_G5_M1_R1_T1,0.717948717948718,53.53517231037754,112.0,P10,D1,M1,R1,D1_M1,0.8
29,P10_D1_G5_M1_R1_T1,0.7435897435897436,53.77295167064568,116.0,P10,D1,M1,R1,D1_M1,0.8
30,P10_D1_G5_M1_R1_T1,0.7692307692307693,53.78090366757041,120.0,P10,D1,M1,R1,D1_M1,0.8
31,P10_D1_G5_M1_R1_T1,0.7948717948717948,50.56638060533756,124.0,P10,D1,M1,R1,D1_M1,0.8
32,P10_D1_G5_M1_R1_T1,0.8205128205128205,51.85274915808375,128.0,P10,D1,M1,R1,D1_M1,0.9
33,P10_D1_G5_M1_R1_T1,0.8461538461538461,52.1775162944531,132.0,P10,D1,M1,R1,D1_M1,0.9
34,P10_D1_G5_M1_R1_T1,0.8717948717948718,53.05916929220262,136.0,P10,D1,M1,R1,D1_M1,0.9
35,P10_D1_G5_M1_R1_T1,0.8974358974358975,53.06003670832367,140.0,P10,D1,M1,R1,D1_M1,0.9
36,P10_D1_G5_M1_R1_T1,0.9230769230769231,53.76823320227371,144.0,P10,D1,M1,R1,D1_M1,1.0
37,P10_D1_G5_M1_R1_T1,0.9487179487179487,53.83584672013421,148.0,P10,D1,M1,R1,D1_M1,1.0
38,P10_D1_G5_M1_R1_T1,0.9743589743589743,53.7640590783296,152.0,P10,D1,M1,R1,D1_M1,1.0
39,P10_D1_G5_M1_R1_T1,1.0,54.23186700751934,156.0,P10,D1,M1,R1,D1_M1,1.0
40,P6_D1_G1_M6_R1_T1,0.0,9.796206060968672,0.0,P6,D1,M6,R1,D1_M6,0.1
41,P6_D1_G1_M6_R1_T1,0.037037037037037035,19.856665247529804,4.35374149659864,P6,D1,M6,R1,D1_M6,0.1
42,P6_D1_G1_M6_R1_T1,0.07407407407407407,20.285465784839825,8.70748299319728,P6,D1,M6,R1,D1_M6,0.1
43,P6_D1_G1_M6_R1_T1,0.11111111111111112,19.71186173947116,13.06122448979592,P6,D1,M6,R1,D1_M6,0.2
44,P6_D1_G1_M6_R1_T1,0.14814814814814814,17.802223146943156,17.41496598639456,P6,D1,M6,R1,D1_M6,0.2
45,P6_D1_G1_M6_R1_T1,0.18518518518518517,12.233309724048576,21.7687074829932,P6,D1,M6,R1,D1_M6,0.2
46,P6_D1_G1_M6_R1_T1,0.22222222222222224,13.868581600959002,26.12244897959184,P6,D1,M6,R1,D1_M6,0.3
47,P6_D1_G1_M6_R1_T1,0.2592592592592592,16.566771110041387,30.476190476190474,P6,D1,M6,R1,D1_M6,0.3
48,P6_D1_G1_M6_R1_T1,0.2962962962962963,17.099190656714782,34.82993197278912,P6,D1,M6,R1,D1_M6,0.3
49,P6_D1_G1_M6_R1_T1,0.33333333333333337,18.187809626643688,39.18367346938776,P6,D1,M6,R1,D1_M6,0.4
50,P6_D1_G1_M6_R1_T1,0.3703703703703703,20.883708558478865,43.53741496598639,P6,D1,M6,R1,D1_M6,0.4
51,P6_D1_G1_M6_R1_T1,0.4074074074074074,20.33407048733968,47.89115646258504,P6,D1,M6,R1,D1_M6,0.5
52,P6_D1_G1_M6_R1_T1,0.4444444444444445,21.265264123771008,52.24489795918368,P6,D1,M6,R1,D1_M6,0.5
53,P6_D1_G1_M6_R1_T1,0.4814814814814814,19.36925723622208,56.59863945578231,P6,D1,M6,R1,D1_M6,0.5
54,P6_D1_G1_M6_R1_T1,0.5185185185185184,17.865937819156045,60.95238095238095,P6,D1,M6,R1,D1_M6,0.6
55,P6_D1_G1_M6_R1_T1,0.5555555555555555,19.953218237428512,65.3061224489796,P6,D1,M6,R1,D1_M6,0.6
56,P6_D1_G1_M6_R1_T1,0.5925925925925926,20.5346984948767,69.65986394557824,P6,D1,M6,R1,D1_M6,0.6
57,P6_D1_G1_M6_R1_T1,0.6296296296296295,20.168571802962795,74.01360544217687,P6,D1,M6,R1,D1_M6,0.7
58,P6_D1_G1_M6_R1_T1,0.6666666666666666,16.06957798444124,78.36734693877551,P6,D1,M6,R1,D1_M6,0.7
59,P6_D1_G1_M6_R1_T1,0.7037037037037036,19.56572091254341,82.72108843537416,P6,D1,M6,R1,D1_M6,0.8
60,P6_D1_G1_M6_R1_T1,0.7407407407407406,19.835838167998467,87.07482993197279,P6,D1,M6,R1,D1_M6,0.8
61,P6_D1_G1_M6_R1_T1,0.7777777777777778,19.91581677004278,91.42857142857144,P6,D1,M6,R1,D1_M6,0.8
62,P6_D1_G1_M6_R1_T1,0.8148148148148148,19.38232543026105,95.78231292517007,P6,D1,M6,R1,D1_M6,0.9
63,P6_D1_G1_M6_R1_T1,0.8518518518518517,18.62736204554249,100.1360544217687,P6,D1,M6,R1,D1_M6,0.9
64,P6_D1_G1_M6_R1_T1,0.888888888888889,19.187643024342098,104.48979591836736,P6,D1,M6,R1,D1_M6,0.9
65,P6_D1_G1_M6_R1_T1,0.9259259259259257,19.92258920678967,108.84353741496598,P6,D1,M6,R1,D1_M6,1.0
66,P6_D1_G1_M6_R1_T1,0.9629629629629628,19.65285807888529,113.19727891156462,P6,D1,M6,R1,D1_M6,1.0
67,P6_D1_G1_M6_R1_T1,1.0,18.75335822705879,117.55102040816328,P6,D1,M6,R1,D1_M6,1.0
68,P12_D5_G7_M5_R1_T1,0.0,43.385689238051455,0.0,P12,D5,M5,R1,D5_M5,0.1
69,P12_D5_G7_M5_R1_T1,0.023809523809523808,43.32599678849869,4.0,P12,D5,M5,R1,D5_M5,0.1
70,P12_D5_G7_M5_R1_T1,0.047619047619047616,48.5841260063391,8.0,P12,D5,M5,R1,D5_M5,0.1
71,P12_D5_G7_M5_R1_T1,0.07142857142857142,48.50198478278146,12.0,P12,D5,M5,R1,D5_M5,0.1
72,P12_D5_G7_M5_R1_T1,0.09523809523809523,52.17271527748132,16.0,P12,D5,M5,R1,D5_M5,0.1
73,P12_D5_G7_M5_R1_T1,0.11904761904761904,54.62812468819427,20.0,P12,D5,M5,R1,D5_M5,0.2
74,P12_D5_G7_M5_R1_T1,0.14285714285714285,53.11267184474478,24.0,P12,D5,M5,R1,D5_M5,0.2
75,P12_D5_G7_M5_R1_T1,0.16666666666666666,53.77597512735798,28.0,P12,D5,M5,R1,D5_M5,0.2
76,P12_D5_G7_M5_R1_T1,0.19047619047619047,54.186214527458304,32.0,P12,D5,M5,R1,D5_M5,0.2
77,P12_D5_G7_M5_R1_T1,0.21428571428571427,54.1431409490569,36.0,P12,D5,M5,R1,D5_M5,0.3
78,P12_D5_G7_M5_R1_T1,0.23809523809523808,54.363547488888976,40.0,P12,D5,M5,R1,D5_M5,0.3
79,P12_D5_G7_M5_R1_T1,0.2619047619047619,53.54791536581822,44.0,P12,D5,M5,R1,D5_M5,0.3
80,P12_D5_G7_M5_R1_T1,0.2857142857142857,54.38608729403466,48.0,P12,D5,M5,R1,D5_M5,0.3
81,P12_D5_G7_M5_R1_T1,0.30952380952380953,55.62145097315263,52.0,P12,D5,M5,R1,D5_M5,0.4
82,P12_D5_G7_M5_R1_T1,0.3333333333333333,53.25622488831731,56.0,P12,D5,M5,R1,D5_M5,0.4
83,P12_D5_G7_M5_R1_T1,0.35714285714285715,55.49355793180285,60.0,P12,D5,M5,R1,D5_M5,0.4
84,P12_D5_G7_M5_R1_T1,0.38095238095238093,56.30457907978672,64.0,P12,D5,M5,R1,D5_M5,0.4
85,P12_D5_G7_M5_R1_T1,0.40476190476190477,56.52022114103379,68.0,P12,D5,M5,R1,D5_M5,0.5
86,P12_D5_G7_M5_R1_T1,0.42857142857142855,49.25966759921752,72.0,P12,D5,M5,R1,D5_M5,0.5
87,P12_D5_G7_M5_R1_T1,0.4523809523809524,49.95377387337895,76.0,P12,D5,M5,R1,D5_M5,0.5
88,P12_D5_G7_M5_R1_T1,0.47619047619047616,50.12342016736011,80.0,P12,D5,M5,R1,D5_M5,0.5
89,P12_D5_G7_M5_R1_T1,0.5,52.82356394861665,84.0,P12,D5,M5,R1,D5_M5,0.5
90,P12_D5_G7_M5_R1_T1,0.5238095238095238,53.00584422469983,88.0,P12,D5,M5,R1,D5_M5,0.6
91,P12_D5_G7_M5_R1_T1,0.5476190476190477,52.821971614703465,92.0,P12,D5,M5,R1,D5_M5,0.6
92,P12_D5_G7_M5_R1_T1,0.5714285714285714,53.48939098985124,96.0,P12,D5,M5,R1,D5_M5,0.6
93,P12_D5_G7_M5_R1_T1,0.5952380952380952,56.19896615000811,100.0,P12,D5,M5,R1,D5_M5,0.6
94,P12_D5_G7_M5_R1_T1,0.6190476190476191,54.59428559432386,104.0,P12,D5,M5,R1,D5_M5,0.7
95,P12_D5_G7_M5_R1_T1,0.6428571428571429,53.98913273721467,108.0,P12,D5,M5,R1,D5_M5,0.7
96,P12_D5_G7_M5_R1_T1,0.6666666666666666,57.35742144968131,112.0,P12,D5,M5,R1,D5_M5,0.7
97,P12_D5_G7_M5_R1_T1,0.6904761904761905,54.611632680372,116.0,P12,D5,M5,R1,D5_M5,0.7
98,P12_D5_G7_M5_R1_T1,0.7142857142857143,55.30633374301155,120.0,P12,D5,M5,R1,D5_M5,0.8
99,P12_D5_G7_M5_R1_T1,0.7380952380952381,52.94497130328232,124.0,P12,D5,M5,R1,D5_M5,0.8
100,P12_D5_G7_M5_R1_T1,0.7619047619047619,56.52108801491843,128.0,P12,D5,M5,R1,D5_M5,0.8
101,P12_D5_G7_M5_R1_T1,0.7857142857142857,53.484581097740765,132.0,P12,D5,M5,R1,D5_M5,0.8
102,P12_D5_G7_M5_R1_T1,0.8095238095238095,49.97202312009208,136.0,P12,D5,M5,R1,D5_M5,0.9
103,P12_D5_G7_M5_R1_T1,0.8333333333333334,54.61649356942333,140.0,P12,D5,M5,R1,D5_M5,0.9
104,P12_D5_G7_M5_R1_T1,0.8571428571428571,55.11679729042437,144.0,P12,D5,M5,R1,D5_M5,0.9
105,P12_D5_G7_M5_R1_T1,0.8809523809523809,54.85900444446809,148.0,P12,D5,M5,R1,D5_M5,0.9
106,P12_D5_G7_M5_R1_T1,0.9047619047619048,54.8053427550737,152.0,P12,D5,M5,R1,D5_M5,1.0
107,P12_D5_G7_M5_R1_T1,0.9285714285714286,54.013945294671686,156.0,P12,D5,M5,R1,D5_M5,1.0
108,P12_D5_G7_M5_R1_T1,0.9523809523809523,54.21150398655399,160.0,P12,D5,M5,R1,D5_M5,1.0
109,P12_D5_G7_M5_R1_T1,0.9761904761904762,54.20259653975188,164.0,P12,D5,M5,R1,D5_M5,1.0
110,P12_D5_G7_M5_R1_T1,1.0,55.14151453359688,168.0,P12,D5,M5,R1,D5_M5,1.0
111,P13_D5_G5_M5_R1_T1,0.0,44.76023497631253,0.0,P13,D5,M5,R1,D5_M5,0.1
112,P13_D5_G5_M5_R1_T1,0.034482758620689655,51.713182688573774,4.0,P13,D5,M5,R1,D5_M5,0.1
113,P13_D5_G5_M5_R1_T1,0.06896551724137931,51.87625058540775,8.0,P13,D5,M5,R1,D5_M5,0.1
114,P13_D5_G5_M5_R1_T1,0.10344827586206896,53.76752428380741,12.0,P13,D5,M5,R1,D5_M5,0.2
115,P13_D5_G5_M5_R1_T1,0.13793103448275862,53.92793092145721,16.0,P13,D5,M5,R1,D5_M5,0.2
116,P13_D5_G5_M5_R1_T1,0.1724137931034483,54.37038144673319,20.0,P13,D5,M5,R1,D5_M5,0.2
117,P13_D5_G5_M5_R1_T1,0.20689655172413793,54.48282859070062,24.0,P13,D5,M5,R1,D5_M5,0.3
