,Name,t_%,y_var,t0,t_0,Artist,Rater,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.1,6,,9.27873194277954,P,P3,P3,D5,M5,R1,D5_M5,0.1
1,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.1,5,,16.021680074386595,P,P3,P3,D5,M5,R1,D5_M5,0.1
2,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.2,6,,32.10454914686584,P,P3,P3,D5,M5,R1,D5_M5,0.2
3,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.2,4,,40.91427083978272,P,P3,P3,D5,M5,R1,D5_M5,0.2
4,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.2,6,,47.77355805149841,P,P3,P3,D5,M5,R1,D5_M5,0.2
5,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.30000000000000004,7,,54.90956195613098,P,P3,P3,D5,M5,R1,D5_M5,0.4
6,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.30000000000000004,6,,67.85548495422363,P,P3,P3,D5,M5,R1,D5_M5,0.4
7,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.4,7,,74.47232097138978,P,P3,P3,D5,M5,R1,D5_M5,0.4
8,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.4,7,,82.55046403433228,P,P3,P3,D5,M5,R1,D5_M5,0.4
9,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.4,4,,96.69231317356872,P,P3,P3,D5,M5,R1,D5_M5,0.4
10,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.5,3,,108.19465687792967,P,P3,P3,D5,M5,R1,D5_M5,0.5
11,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.5,5,,110.0969868588562,P,P3,P3,D5,M5,R1,D5_M5,0.5
12,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.5,6,,118.42460203623962,P,P3,P3,D5,M5,R1,D5_M5,0.5
13,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.5,3,,121.31638403623964,P,P3,P3,D5,M5,R1,D5_M5,0.5
14,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.6,7,,127.99602601716614,P,P3,P3,D5,M5,R1,D5_M5,0.6
15,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.6,6,,133.62711404577638,P,P3,P3,D5,M5,R1,D5_M5,0.6
16,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.6,7,,142.67860891035463,P,P3,P3,D5,M5,R1,D5_M5,0.6
17,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.7000000000000001,5,,152.3364850019073,P,P3,P3,D5,M5,R1,D5_M5,0.8
18,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.7000000000000001,6,,154.23586701335145,P,P3,P3,D5,M5,R1,D5_M5,0.8
19,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.7000000000000001,3,,164.05924098283387,P,P3,P3,D5,M5,R1,D5_M5,0.8
20,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.7000000000000001,4,,166.8207597959137,P,P3,P3,D5,M5,R1,D5_M5,0.8
21,P3_P3_D5_G1_M5_R1_T1_FLOW.csv,0.8,3,,171.2371310667572,P,P3,P3,D5,M5,R1,D5_M5,0.8
