,Name,t_%,y_var,t_0,file,Rater,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P6_D5_G1_M6_R1_T1,0.2,6,16.933254091552733,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.2
1,P6_D5_G1_M6_R1_T1,0.4,4,37.80837801907349,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.4
2,P6_D5_G1_M6_R1_T1,0.6,5,62.55036984550476,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.6
3,P6_D5_G1_M6_R1_T1,0.6,6,68.39021916212464,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.6
4,P6_D5_G1_M6_R1_T1,0.7000000000000001,4,73.34260291798401,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.8
5,P6_D5_G1_M6_R1_T1,0.7000000000000001,6,79.84630294659424,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.8
6,P6_D5_G1_M6_R1_T1,0.8,4,73.34260291798401,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.8
7,P6_D5_G1_M6_R1_T1,0.8,6,79.84630294659424,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.8
8,P6_D5_G1_M6_R1_T1,0.9,4,73.34260291798401,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.9
9,P6_D5_G1_M6_R1_T1,0.9,6,79.84630294659424,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,0.9
10,P6_D5_G1_M6_R1_T1,1.0,4,73.34260291798401,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,1.0
11,P6_D5_G1_M6_R1_T1,1.0,6,79.84630294659424,P6_P6_D5_G1_M6_R1_T1_IMPRO.csv,P6,P,P6,D5,M6,R1,D5_M6,1.0
0,P3_D6_G1_M6_R2_T1,0.1,1,15.839722011444092,P3_P3_D6_G1_M6_R2_T1_IMPRO.csv,P3,P,P3,D6,M6,R2,D6_M6,0.1
