,Name,t_%,y_var,t_0,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P6_D1_G1_M6_R1_T1,1437.3928819444443,0.1346964074645594,168967.0,P6,D1,M6,R1,D1_M6,1.0
1,P6_D1_G1_M6_R1_T1,0.0,0.0125507467853832,0.0,P6,D1,M6,R1,D1_M6,0.1
2,P6_D1_G1_M6_R1_T1,0.037037037037037035,0.0041835822617944,4.35374149659864,P6,D1,M6,R1,D1_M6,0.1
3,P6_D1_G1_M6_R1_T1,0.07407407407407407,0.0041835822617944,8.70748299319728,P6,D1,M6,R1,D1_M6,0.1
4,P6_D1_G1_M6_R1_T1,0.11111111111111112,0.0041835822617944,13.06122448979592,P6,D1,M6,R1,D1_M6,0.2
5,P6_D1_G1_M6_R1_T1,0.14814814814814814,0.0041835822617944,17.41496598639456,P6,D1,M6,R1,D1_M6,0.2
6,P6_D1_G1_M6_R1_T1,0.18518518518518517,0.0690291073196078,21.7687074829932,P6,D1,M6,R1,D1_M6,0.2
7,P6_D1_G1_M6_R1_T1,0.22222222222222224,0.2217298598751039,26.12244897959184,P6,D1,M6,R1,D1_M6,0.3
8,P6_D1_G1_M6_R1_T1,0.2592592592592592,0.0041835822617944,30.476190476190474,P6,D1,M6,R1,D1_M6,0.3
9,P6_D1_G1_M6_R1_T1,0.2962962962962963,0.0041835822617944,34.82993197278912,P6,D1,M6,R1,D1_M6,0.3
10,P6_D1_G1_M6_R1_T1,0.33333333333333337,0.0878552274976827,39.18367346938776,P6,D1,M6,R1,D1_M6,0.4
11,P6_D1_G1_M6_R1_T1,0.3703703703703703,0.1715268727335709,43.53741496598639,P6,D1,M6,R1,D1_M6,0.4
12,P6_D1_G1_M6_R1_T1,0.4074074074074074,0.1736186638644682,47.89115646258504,P6,D1,M6,R1,D1_M6,0.5
13,P6_D1_G1_M6_R1_T1,0.4444444444444445,0.4183582261794414,52.24489795918368,P6,D1,M6,R1,D1_M6,0.5
14,P6_D1_G1_M6_R1_T1,0.4814814814814814,0.3451455365980392,56.59863945578231,P6,D1,M6,R1,D1_M6,0.5
15,P6_D1_G1_M6_R1_T1,0.5185185185185184,0.2091791130897207,60.95238095238095,P6,D1,M6,R1,D1_M6,0.6
16,P6_D1_G1_M6_R1_T1,0.5555555555555555,0.0041835822617944,65.3061224489796,P6,D1,M6,R1,D1_M6,0.6
17,P6_D1_G1_M6_R1_T1,0.5925925925925926,0.3158604607654783,69.65986394557824,P6,D1,M6,R1,D1_M6,0.6
18,P6_D1_G1_M6_R1_T1,0.6296296296296295,0.3430537454671419,74.01360544217687,P6,D1,M6,R1,D1_M6,0.7
19,P6_D1_G1_M6_R1_T1,0.6666666666666666,0.1610679170790849,78.36734693877551,P6,D1,M6,R1,D1_M6,0.7
20,P6_D1_G1_M6_R1_T1,0.7037037037037036,0.0773962718431966,82.72108843537416,P6,D1,M6,R1,D1_M6,0.8
21,P6_D1_G1_M6_R1_T1,0.7407407407407406,0.0041835822617944,87.07482993197279,P6,D1,M6,R1,D1_M6,0.8
22,P6_D1_G1_M6_R1_T1,0.7777777777777778,0.071120898450505,91.42857142857144,P6,D1,M6,R1,D1_M6,0.8
23,P6_D1_G1_M6_R1_T1,0.8148148148148148,0.2175462776133095,95.78231292517007,P6,D1,M6,R1,D1_M6,0.9
24,P6_D1_G1_M6_R1_T1,0.8518518518518517,0.0397440314870469,100.1360544217687,P6,D1,M6,R1,D1_M6,0.9
25,P6_D1_G1_M6_R1_T1,0.888888888888889,0.0230097024398692,104.48979591836736,P6,D1,M6,R1,D1_M6,0.9
26,P6_D1_G1_M6_R1_T1,0.9259259259259257,0.2719328470166369,108.84353741496598,P6,D1,M6,R1,D1_M6,1.0
27,P6_D1_G1_M6_R1_T1,0.9629629629629628,0.4999380802844325,113.19727891156462,P6,D1,M6,R1,D1_M6,1.0
28,P6_D1_G1_M6_R1_T1,1.0,0.0083671645235888,117.55102040816328,P6,D1,M6,R1,D1_M6,1.0
29,P9_D6_G4_M6_R1_T1,1487.3184375,0.1234961302279697,161885.0,P9,D6,M6,R1,D6_M6,1.0
30,P9_D6_G4_M6_R1_T1,0.0,0.0041835822617944,0.0,P9,D6,M6,R1,D6_M6,0.1
31,P9_D6_G4_M6_R1_T1,0.04000000000000001,0.0041835822617944,4.35374149659864,P9,D6,M6,R1,D6_M6,0.1
32,P9_D6_G4_M6_R1_T1,0.08000000000000002,0.0041835822617944,8.70748299319728,P9,D6,M6,R1,D6_M6,0.1
33,P9_D6_G4_M6_R1_T1,0.12000000000000002,0.0041835822617944,13.06122448979592,P9,D6,M6,R1,D6_M6,0.2
34,P9_D6_G4_M6_R1_T1,0.16000000000000003,0.0041835822617944,17.41496598639456,P9,D6,M6,R1,D6_M6,0.2
35,P9_D6_G4_M6_R1_T1,0.20000000000000004,0.0041835822617944,21.7687074829932,P9,D6,M6,R1,D6_M6,0.3
36,P9_D6_G4_M6_R1_T1,0.24000000000000005,0.0041835822617944,26.12244897959184,P9,D6,M6,R1,D6_M6,0.3
37,P9_D6_G4_M6_R1_T1,0.28,0.0041835822617944,30.476190476190474,P9,D6,M6,R1,D6_M6,0.3
38,P9_D6_G4_M6_R1_T1,0.32000000000000006,0.020917911308972,34.82993197278912,P9,D6,M6,R1,D6_M6,0.4
39,P9_D6_G4_M6_R1_T1,0.3600000000000001,0.0418358226179441,39.18367346938776,P9,D6,M6,R1,D6_M6,0.4
40,P9_D6_G4_M6_R1_T1,0.4,0.0355604492252525,43.53741496598639,P9,D6,M6,R1,D6_M6,0.4
41,P9_D6_G4_M6_R1_T1,0.44000000000000006,0.3472373277289364,47.89115646258504,P9,D6,M6,R1,D6_M6,0.5
42,P9_D6_G4_M6_R1_T1,0.4800000000000001,0.1380582146392156,52.24489795918368,P9,D6,M6,R1,D6_M6,0.5
43,P9_D6_G4_M6_R1_T1,0.52,0.0125507467853832,56.59863945578231,P9,D6,M6,R1,D6_M6,0.6
44,P9_D6_G4_M6_R1_T1,0.56,0.1443335880319073,60.95238095238095,P9,D6,M6,R1,D6_M6,0.6
45,P9_D6_G4_M6_R1_T1,0.6000000000000001,0.0334686580943553,65.3061224489796,P9,D6,M6,R1,D6_M6,0.7
46,P9_D6_G4_M6_R1_T1,0.6400000000000001,0.2656574736239453,69.65986394557824,P9,D6,M6,R1,D6_M6,0.7
47,P9_D6_G4_M6_R1_T1,0.68,0.1255074678538324,74.01360544217687,P9,D6,M6,R1,D6_M6,0.7
48,P9_D6_G4_M6_R1_T1,0.7200000000000001,0.0732126895814022,78.36734693877551,P9,D6,M6,R1,D6_M6,0.8
49,P9_D6_G4_M6_R1_T1,0.7600000000000001,0.131782841246524,82.72108843537416,P9,D6,M6,R1,D6_M6,0.8
50,P9_D6_G4_M6_R1_T1,0.8,0.2175462776133095,87.07482993197279,P9,D6,M6,R1,D6_M6,0.8
51,P9_D6_G4_M6_R1_T1,0.8400000000000002,0.2238216510060011,91.42857142857144,P9,D6,M6,R1,D6_M6,0.9
52,P9_D6_G4_M6_R1_T1,0.8800000000000001,0.3765224035614972,95.78231292517007,P9,D6,M6,R1,D6_M6,0.9
53,P9_D6_G4_M6_R1_T1,0.92,0.3284112075508615,100.1360544217687,P9,D6,M6,R1,D6_M6,1.0
54,P9_D6_G4_M6_R1_T1,0.9600000000000002,0.3116768785036838,104.48979591836736,P9,D6,M6,R1,D6_M6,1.0
55,P9_D6_G4_M6_R1_T1,1.0,0.3493291188598336,108.84353741496598,P9,D6,M6,R1,D6_M6,1.0
56,P9_D5_G4_M6_R2_T1,1421.8047207446812,0.1262918895279189,290938.0,P9,D5,M6,R2,D5_M6,1.0
57,P9_D5_G4_M6_R2_T1,0.0,0.0041835822617944,0.0,P9,D5,M6,R2,D5_M6,0.1
58,P9_D5_G4_M6_R2_T1,0.021276595744680857,0.0041835822617944,4.35374149659864,P9,D5,M6,R2,D5_M6,0.1
59,P9_D5_G4_M6_R2_T1,0.042553191489361715,0.0041835822617944,8.70748299319728,P9,D5,M6,R2,D5_M6,0.1
60,P9_D5_G4_M6_R2_T1,0.06382978723404258,0.0041835822617944,13.06122448979592,P9,D5,M6,R2,D5_M6,0.1
61,P9_D5_G4_M6_R2_T1,0.08510638297872343,0.0041835822617944,17.41496598639456,P9,D5,M6,R2,D5_M6,0.1
62,P9_D5_G4_M6_R2_T1,0.10638297872340428,0.0041835822617944,21.7687074829932,P9,D5,M6,R2,D5_M6,0.2
63,P9_D5_G4_M6_R2_T1,0.12765957446808515,0.0041835822617944,26.12244897959184,P9,D5,M6,R2,D5_M6,0.2
64,P9_D5_G4_M6_R2_T1,0.14893617021276598,0.0041835822617944,30.476190476190474,P9,D5,M6,R2,D5_M6,0.2
65,P9_D5_G4_M6_R2_T1,0.17021276595744686,0.0041835822617944,34.82993197278912,P9,D5,M6,R2,D5_M6,0.2
66,P9_D5_G4_M6_R2_T1,0.19148936170212771,0.0041835822617944,39.18367346938776,P9,D5,M6,R2,D5_M6,0.2
67,P9_D5_G4_M6_R2_T1,0.21276595744680854,0.0041835822617944,43.53741496598639,P9,D5,M6,R2,D5_M6,0.3
68,P9_D5_G4_M6_R2_T1,0.23404255319148942,0.0041835822617944,47.89115646258504,P9,D5,M6,R2,D5_M6,0.3
69,P9_D5_G4_M6_R2_T1,0.2553191489361703,0.0083671645235888,52.24489795918368,P9,D5,M6,R2,D5_M6,0.3
70,P9_D5_G4_M6_R2_T1,0.2765957446808511,0.1547925436863933,56.59863945578231,P9,D5,M6,R2,D5_M6,0.3
71,P9_D5_G4_M6_R2_T1,0.29787234042553196,0.2551985179694593,60.95238095238095,P9,D5,M6,R2,D5_M6,0.3
72,P9_D5_G4_M6_R2_T1,0.31914893617021284,0.3597880745143196,65.3061224489796,P9,D5,M6,R2,D5_M6,0.4
73,P9_D5_G4_M6_R2_T1,0.3404255319148937,0.2572903091003564,69.65986394557824,P9,D5,M6,R2,D5_M6,0.4
74,P9_D5_G4_M6_R2_T1,0.3617021276595745,0.1087731388066547,74.01360544217687,P9,D5,M6,R2,D5_M6,0.4
75,P9_D5_G4_M6_R2_T1,0.3829787234042554,0.0041835822617944,78.36734693877551,P9,D5,M6,R2,D5_M6,0.4
76,P9_D5_G4_M6_R2_T1,0.40425531914893625,0.0041835822617944,82.72108843537416,P9,D5,M6,R2,D5_M6,0.5
