,Name,t_%,LZ,y_var,t_0,Participant,Dance_mode,Music_mode,Palo,Condition,Assigned_%
0,P6_D1_G1_M6_R1_T1.csv,1437.3928819444443,,0.1769057642130209,168967.0,P6,D1,M6,R1,D1_M6,1.0
1,P6_D1_G1_M6_R1_T1.csv,0.0,,0.0041835822617944,0.0,P6,D1,M6,R1,D1_M6,0.1
2,P6_D1_G1_M6_R1_T1.csv,0.037037037037037035,,0.2196380687442067,4.35374149659864,P6,D1,M6,R1,D1_M6,0.1
3,P6_D1_G1_M6_R1_T1.csv,0.07407407407407407,,0.3974403148704694,8.70748299319728,P6,D1,M6,R1,D1_M6,0.1
4,P6_D1_G1_M6_R1_T1.csv,0.11111111111111112,,0.2468313534458704,13.06122448979592,P6,D1,M6,R1,D1_M6,0.2
5,P6_D1_G1_M6_R1_T1.csv,0.14814814814814814,,0.0292850758325609,17.41496598639456,P6,D1,M6,R1,D1_M6,0.2
6,P6_D1_G1_M6_R1_T1.csv,0.18518518518518517,,0.0041835822617944,21.7687074829932,P6,D1,M6,R1,D1_M6,0.2
7,P6_D1_G1_M6_R1_T1.csv,0.22222222222222224,,0.0041835822617944,26.12244897959184,P6,D1,M6,R1,D1_M6,0.3
8,P6_D1_G1_M6_R1_T1.csv,0.2592592592592592,,0.0083671645235888,30.476190476190474,P6,D1,M6,R1,D1_M6,0.3
9,P6_D1_G1_M6_R1_T1.csv,0.2962962962962963,,0.0125507467853832,34.82993197278912,P6,D1,M6,R1,D1_M6,0.3
10,P6_D1_G1_M6_R1_T1.csv,0.33333333333333337,,0.0522947782724301,39.18367346938776,P6,D1,M6,R1,D1_M6,0.4
11,P6_D1_G1_M6_R1_T1.csv,0.3703703703703703,,0.3911649414777777,43.53741496598639,P6,D1,M6,R1,D1_M6,0.4
12,P6_D1_G1_M6_R1_T1.csv,0.4074074074074074,,0.4309089729648246,47.89115646258504,P6,D1,M6,R1,D1_M6,0.5
13,P6_D1_G1_M6_R1_T1.csv,0.4444444444444445,,0.5417739029023767,52.24489795918368,P6,D1,M6,R1,D1_M6,0.5
14,P6_D1_G1_M6_R1_T1.csv,0.4814814814814814,,0.1234156767229352,56.59863945578231,P6,D1,M6,R1,D1_M6,0.5
15,P6_D1_G1_M6_R1_T1.csv,0.5185185185185184,,0.0313768669634581,60.95238095238095,P6,D1,M6,R1,D1_M6,0.6
16,P6_D1_G1_M6_R1_T1.csv,0.5555555555555555,,0.3514209099907308,65.3061224489796,P6,D1,M6,R1,D1_M6,0.6
17,P6_D1_G1_M6_R1_T1.csv,0.5925925925925926,,0.3827977769541889,69.65986394557824,P6,D1,M6,R1,D1_M6,0.6
18,P6_D1_G1_M6_R1_T1.csv,0.6296296296296295,,0.2719328470166369,74.01360544217687,P6,D1,M6,R1,D1_M6,0.7
19,P6_D1_G1_M6_R1_T1.csv,0.6666666666666666,,0.0041835822617944,78.36734693877551,P6,D1,M6,R1,D1_M6,0.7
20,P6_D1_G1_M6_R1_T1.csv,0.7037037037037036,,0.1296910501156268,82.72108843537416,P6,D1,M6,R1,D1_M6,0.8
21,P6_D1_G1_M6_R1_T1.csv,0.7407407407407406,,0.2217298598751039,87.07482993197279,P6,D1,M6,R1,D1_M6,0.8
22,P6_D1_G1_M6_R1_T1.csv,0.7777777777777778,,0.1840776195189542,91.42857142857144,P6,D1,M6,R1,D1_M6,0.8
23,P6_D1_G1_M6_R1_T1.csv,0.8148148148148148,,0.1673432904717765,95.78231292517007,P6,D1,M6,R1,D1_M6,0.9
24,P6_D1_G1_M6_R1_T1.csv,0.8518518518518517,,0.081579854104991,100.1360544217687,P6,D1,M6,R1,D1_M6,0.9
25,P6_D1_G1_M6_R1_T1.csv,0.888888888888889,,0.121323885592038,104.48979591836736,P6,D1,M6,R1,D1_M6,0.9
26,P6_D1_G1_M6_R1_T1.csv,0.9259259259259257,,0.2949425494565062,108.84353741496598,P6,D1,M6,R1,D1_M6,1.0
27,P6_D1_G1_M6_R1_T1.csv,0.9629629629629628,,0.1861694106498514,113.19727891156462,P6,D1,M6,R1,D1_M6,1.0
28,P6_D1_G1_M6_R1_T1.csv,1.0,,0.0585701516651218,117.55102040816328,P6,D1,M6,R1,D1_M6,1.0
29,P9_D6_G4_M6_R1_T1.csv,1566.4285714285713,,0.1911464309268137,175440.0,P9,D6,M6,R1,D6_M6,1.0
30,P9_D6_G4_M6_R1_T1.csv,0.0,,0.0502029871415329,0.0,P9,D6,M6,R1,D6_M6,0.1
31,P9_D6_G4_M6_R1_T1.csv,0.03571428571428571,,0.0167343290471776,4.0,P9,D6,M6,R1,D6_M6,0.1
32,P9_D6_G4_M6_R1_T1.csv,0.07142857142857142,,0.0230097024398692,8.0,P9,D6,M6,R1,D6_M6,0.1
33,P9_D6_G4_M6_R1_T1.csv,0.10714285714285714,,0.0376522403561497,12.0,P9,D6,M6,R1,D6_M6,0.2
34,P9_D6_G4_M6_R1_T1.csv,0.14285714285714285,,0.0125507467853832,16.0,P9,D6,M6,R1,D6_M6,0.2
35,P9_D6_G4_M6_R1_T1.csv,0.17857142857142858,,0.0041835822617944,20.0,P9,D6,M6,R1,D6_M6,0.2
36,P9_D6_G4_M6_R1_T1.csv,0.21428571428571427,,0.0041835822617944,24.0,P9,D6,M6,R1,D6_M6,0.3
37,P9_D6_G4_M6_R1_T1.csv,0.25,,0.0041835822617944,28.0,P9,D6,M6,R1,D6_M6,0.3
38,P9_D6_G4_M6_R1_T1.csv,0.2857142857142857,,0.0669373161887106,32.0,P9,D6,M6,R1,D6_M6,0.3
39,P9_D6_G4_M6_R1_T1.csv,0.32142857142857145,,0.1380582146392156,36.0,P9,D6,M6,R1,D6_M6,0.4
40,P9_D6_G4_M6_R1_T1.csv,0.35714285714285715,,0.1903529929116458,40.0,P9,D6,M6,R1,D6_M6,0.4
41,P9_D6_G4_M6_R1_T1.csv,0.39285714285714285,,0.1171403033302436,44.0,P9,D6,M6,R1,D6_M6,0.4
42,P9_D6_G4_M6_R1_T1.csv,0.42857142857142855,,0.3221358341581699,48.0,P9,D6,M6,R1,D6_M6,0.5
43,P9_D6_G4_M6_R1_T1.csv,0.4642857142857143,,0.3827977769541889,52.0,P9,D6,M6,R1,D6_M6,0.5
44,P9_D6_G4_M6_R1_T1.csv,0.5,,0.060661942796019,56.0,P9,D6,M6,R1,D6_M6,0.5
