,Name,Assigned,Rater,FLOW,t_var,t_LZ_guitar_zd,t_LZ_drum,t_var_drum,t_var_guitar_zd,t_LZ,IMPRO,Artist,Participant,Dance_mode,Music_mode,Palo,Condition,Pair
0,P3_D1_G1_M1_R1_T1,0.1,G1,7.0,49.46679943884318,0.031725498818607596,0.0073212689581402006,14.581493902545441,17.41648794912641,0.005677718783863829,7.0,G,P3,D1,M1,R1,D1_M1,P3_G1
1,P3_D1_G1_M1_R1_T1,0.1,P3,2.0,49.46679943884318,0.031725498818607596,0.0073212689581402006,14.581493902545441,17.41648794912641,0.005677718783863829,5.0,P,P3,D1,M1,R1,D1_M1,P3_G1
2,P3_D1_G1_M1_R1_T1,0.2,G1,7.0,52.539852548368174,0.06449689320266383,0.11469988034419683,18.141003808449963,17.45030420649623,0.08157985410499105,,G,P3,D1,M1,R1,D1_M1,P3_G1
3,P3_D1_G1_M1_R1_T1,0.2,P3,4.571428571428571,52.539852548368174,0.06449689320266383,0.11469988034419683,18.141003808449963,17.45030420649623,0.08157985410499105,5.4,P,P3,D1,M1,R1,D1_M1,P3_G1
4,P3_D1_G1_M1_R1_T1,0.4,G1,7.0,54.20787662839285,0.181985828388057,0.23951008448773017,20.726142399443372,17.932621984938304,0.3667607116173102,,G,P3,D1,M1,R1,D1_M1,P3_G1
5,P3_D1_G1_M1_R1_T1,0.4,P3,3.875,54.20787662839285,0.181985828388057,0.23951008448773017,20.726142399443372,17.932621984938304,0.3667607116173102,3.4285714285714284,P,P3,D1,M1,R1,D1_M1,P3_G1
6,P3_D1_G1_M1_R1_T1,0.5,G1,7.0,53.215155725347664,0.313071405924282,0.11783756704054264,19.376028364196408,18.634072501200773,0.25554714982460874,5.0,G,P3,D1,M1,R1,D1_M1,P3_G1
7,P3_D1_G1_M1_R1_T1,0.5,P3,5.5,53.215155725347664,0.313071405924282,0.11783756704054264,19.376028364196408,18.634072501200773,0.25554714982460874,3.6666666666666665,P,P3,D1,M1,R1,D1_M1,P3_G1
8,P3_D1_G1_M1_R1_T1,0.6,G1,7.0,55.18772215089353,0.2154544864824123,0.29159568364707067,21.934759486434963,18.649720756917528,0.3786141946923945,6.5,G,P3,D1,M1,R1,D1_M1,P3_G1
9,P3_D1_G1_M1_R1_T1,0.6,P3,5.75,55.18772215089353,0.2154544864824123,0.29159568364707067,21.934759486434963,18.649720756917528,0.3786141946923945,5.0,P,P3,D1,M1,R1,D1_M1,P3_G1
