"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Category","Music_Mode","Step","ImpLevel"
6.6,43.8,37.2,"Introduction - Barely movement","4","DI","MI","1.17","4.5"
43.9,68.4,24.5,"Letra 1","4","DI","MI","1.18","6"
68.5,85.3,16.8,"Flaseta 1","4","DI","MI","1.19","6.5"
85.4,103.4,18.0,"Falseta","4","DI","MI","1.20","6"
103.5,121.4,17.9,"Letra 2","4","DI","MI","1.21","6.5"
121.5,139.8,18.3,"Esobilla, - Llamada","4","DI","MI","1.22","5"
139.9,157.0,17.1,"Respiro - Movimientos ","4","DI","MI","1.23","6.5"
157.1,174.3,17.2,"Acompanamiento - Pies","4","DI","MI","1.24","6"
174.3,191.8,17.5,"PIes - Subida","4","DI","MI","1.25","6.5"
191.9,207.7,15.8,"Remate - Cierre ","3","DI","MI","1.26","7"

