"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Bloques","Step","Music_Mode","Category","Baile","Guitarra"
4.2,15.7,11.5,"Introduction","2","6.1","MC","DI","Z1","A2"
15.7,27.7,12.0,"Salida","2","6.2","MC","DI","Z1","A2"
27.8,39.8,12.0,"Escobilla","2","6.3","MC","DI","Z3","A1"
39.9,52.6,12.7,"Marcaje, Baile","2","6.4","MC","DI","Z1","A3"
52.7,64.0,11.3,"Marcaje, Pitos, Pies","2","6.5","MC","DI","Z2","A3"
64.1,75.4,11.3,"Escobilla ","2","6.6","MC","DI","Z3","A3"
75.5,81.4,5.9,"Maracje","1","6.7","MC","DI","Z2","A3"
81.4,86.6,5.2,"Escobilla","2","6.7","MC","DI","Z3","A3"
86.6,99.1,12.5,"Escobilla","2","6.8","MI","DI","Z3","A1"
99.3,101.3,2.0,"Respiro, Silencio","","6.9","MC","DC","Z1","A1"
101.4,108.8,7.4,"Escobilla","2","6.10","MC","DC","Z3","A1"
108.9,115.3,6.4,"Escobilla","2","6.11","MC","DI","Z3","A1"
115.4,119.1,3.7,"Cierre","1","6.12","MC","DC","Z3","A1"

