"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","Sequence","Step","Category","Bloques","Music_Mode","Baile","Guitarra"
3.3,21.9,18.6,"Introcution - Primero Palmas - Paseando","10.1","DC","5","MC","Z2","A2"
22.0,31.2,9.2,"Marcaje","10.2","DC","6","MC","Z2","A2"
31.3,46.3,15.0,"Pies + Cierre","10.3","DC","10","MC","Z3","A2"
46.4,52.3,5.9,"Respiro","10.4","DC","4","MC","Z2","A2"
52.4,67.2,14.8,"Zapateado + Cierre","10.5","DC","10","MC","Z3","A1"
67.2,80.9,13.7,"Marcaje, Letra","10.5","DC","8","MC","Z2","A3"
80.9,93.2,12.3,"Paseo, Marcaje Pitos","10.6","DC","8","MC","Z2","A3"
93.3,105.1,11.8,"Pies","10.7","DC","8","MC","Z3","A2"
105.2,116.8,11.6,"Zapateado + Cierre","10.8","DC","8","MC","Z3","A1"

