Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
6.3;19.3;13.0;Salida;1;13.1;MC;DC;Z1;A3;13.1
19.4;30.7;11.3;Letra;1;13.2;MC;DC;Z1;A3;13.2
30.7;42.4;11.7;Letra;1;13.3;MC;DC;Z1;A3;13.3
42.5;54.8;12.3;Letra;1;13.4;MC;DC;Z1;A3;13.4
54.8;66.3;11.5;Escobilla;1;13.5;MC;DC;Z3;A2;13.5
66.4;76.6;10.2;Escobilla;1;13.6;MC;DC;Z3;A1;13.6
76.6;88.5;11.9;Respiro;1;13.7;MC;DC;Z1;A2;13.7
88.6;100.0;11.4;Marcaje Pitos;1;13.8;MC;DC;Z2;A2;13.8
100.1;111.9;11.8;Marcaje;1;13.9;MC;DC;Z2;A2;13.9
111.9;123.4;11.5;Marcaje Pitos;1;13.10;MC;DC;Z2;A2;13.10
123.5;135.9;12.4;Marcaje;1;13.11;MC;DC;Z2;A2;13.11
135.9;147.6;11.7;Paseo Marcaje;1;13.12;MC;DC;Z2;A2;13.12
147.7;157.6;9.9;Pies;1;13.13;MC;DC;Z3;A1;13.13
157.7;169.9;12.2;Respiro;1;13.14;MC;DC;Z1;A2;13.14
169.9;178.4;8.5;Escobilla;1;13.15;MC;DC;Z3;A1;13.15
178.5;185.9;7.4;Escobilla;1;13.16;MC;DC;Z3;A2;13.16
186.0;193.6;7.6;Escobilla;1;13.17;MC;DC;Z3;A1;13.17
193.7;200.2;6.5;Subida;1;13.18;MC;DC;Z3;A1;13.18
200.2;207.4;7.2;Llamada Cierre;1;13.19;MC;DC;Z3;A1;13.19

