Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;Dance_Step
3.3;11.9;8.6;Entrada;;;;;;;
3.3;12.0;8.7;;1;17.38;MI;DI;Z1;A3;17.66
11.9;32.7;20.8;Entrada;;;;;;;
12.0;32.7;20.7;;1;17.39;MI;DI;Z1;A3;17.67
32.7;54.9;22.2;Entrada;1;17.40;MI;DI;Z1;A3;17.68
54.9;73.9;19.0;Entrada;1;17.41;MI;DI;Z1;A3;17.69
73.9;90.5;16.6;Letra;1;17.3;MC;DI;Z1;A3;17.70
90.5;103.3;12.8;Letra;1;17.42;MI;DI;Z1;A3;17.71
103.3;113.8;10.5;Falseta;1;17.6;MC;DI;Z3;A3;17.72
113.8;123.8;10.0;Falseta;1;17.7;MC;DC;Z3;A3;17.7
123.8;133.9;10.1;Falseta;1;17.8;MC;DI;Z2;A3;17.73
133.9;140.3;6.4;Escobilla;1;17.9;MC;DC;Z3;A1;17.9
140.3;145.2;4.9;Subida;1;17.10;MC;DC;Z3;A1;17.10
145.2;149.3;4.1;Escobilla;1;17.11;MC;DC;Z3;A1;17.11
149.4;152.4;3.0;Escobilla;1;17.12;MC;DC;Z3;A1;17.12
152.4;156.8;4.4;Cierre;1;17.13;MC;DC;Z3;A1;17.13
156.8;162.6;5.8;Respiro;1;17.14;MC;DC;Z3;A1;17.14
162.6;176.8;14.2;Falseta;2;17.43;MI;DI;Z1;A3;17.74
176.8;189.9;13.1;Falseta;2;17.44;MI;DI;Z2;A3;17.75
189.9;196.7;6.8;Falseta;1;17.45;MI;DI;Z2;A2;17.76
196.7;203.5;6.8;Marcaje;1;17.46;MI;DI;Z2;A2;17.77
203.5;210.3;6.8;Llamada;1;17.47;MI;DI;Z3;A1;17.78
210.3;218.3;8.0;Marcaje;1;17.48;MI;DI;Z3;A1;17.79
218.3;225.0;6.7;Falseta;1;17.23;MC;DI;Z2;A3;17.80
225.0;233.0;8.0;Falseta;1.25;17.24;MC;DI;Z1;A3;17.81
233.0;239.8;6.8;Falseta;1;17.48;MI;DI;Z2;A3;17.82
239.8;246.1;6.3;Falseta;1;17.25;MC;DI;Z1;A3;17.83
246.1;252.9;6.8;Falseta;1;17.26;MC;DI;Z1;A3;17.84
252.9;261.2;8.3;Falseta;1;17.49;MI;DI;Z1;A3;17.85
261.2;273.1;11.9;Bajada;1;17.50;MI;DI;Z1;A3;17.86

