"Begin Time - ss.msec";"End Time - ss.msec";"Duration - ss.msec";"Sequence";"Bloques";"Step";"Music_Mode";"Category";"Baile";"Guitarra"
3.2;10.3;7.1;"Introduction";"1";"5.1";"MC";"DC";"Z1";"A1"
10.4;23.0;12.6;"Salida";"2";"5.2";"MC";"DI";"Z1";"A3"
23.1;35.1;12.0;"Baile";"2";"5.3";"MC";"DI";"Z1";"A3"
35.2;39.2;4.0;"Cierre";"0.5";"5.4";"MC";"DI";"Z2";"A1"
39.3;46.3;7.0;"Respiro";"1";"5.5";"MC";"DI";"Z1";"A1"
46.4;49.9;3.5;"Respiro Pitos";"0.5";"5.6";"MC";"DI";"Z2";"A1"
49.9;58.5;8.6;"Baile";"1.25";"5.6";"MC";"DI";"Z1";"A1"
58.6;63.7;5.1;"Cierre";"0.75";"5.7";"MI";"DI";"Z3";"A1"
63.8;77.2;13.4;"Baile";"2";"5.8";"MC";"DI";"Z1";"A1"
77.2;84.2;7.0;"Marcaje";"1";"5.10";"MC";"DI";"Z2";"A1"
84.3;91.0;6.7;"Marcaje Pitos Pies";"1";"5.11";"MC";"DI";"Z2";"A1"
91.0;97.6;6.6;"Marcaje";"1";"5.12";"MC";"DI";"Z2";"A1"
97.6;104.76;7.16;"Marcaje Pitos";"1";"5.13";"MC";"DI";"Z2";"A1"
104.8;107.76;2.96;"Llamada";"0.5";"5.14";"MC";"DC";"Z3";"A1"
107.76;111.44;3.68;"Llamada";"0.5";"5.14";"MC";"DC";"Z2";"A1"
111.48;114.16;2.68;"Cierre";"0.5";"5.14";"MC";"DI";"Z3";"A1"

