Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Category;Music_Mode;Step;Baile;Guitarra;ImpLevel
6.6;43.8;37.2;Introduction - Barely movement;4;DI;MI;1.21;Z1;A2;4.5
43.9;68.4;24.5;Letra 1;4;DI;MI;1.22;Z2;A2;6
68.5;85.3;16.8;Flaseta 1;4;DI;MI;1.23;Z2;A2;6.5
85.4;103.4;18.0;Falseta;4;DI;MI;1.24;Z3;A3;6
103.5;121.4;17.9;Letra 2;4;DI;MI;1.25;Z2;A3;6.5
121.5;135.5;14;Esobilla Llamada;3;DI;MI;1.26;Z3;A2;5
135.5;139.8;4.3;Marcaje;1;DI;MI;1.27;Z2;A2;
139.9;145.1;5.2;Respiro - Movimientos ;1;DI;MI;1.28;Z2;A2;6.5
145.1;161.9;16.8;Movimiento;4;DI;MI;1.28;Z1;A2;
162;174.3;14.3;Acompanamiento - Pies;3;DI;MI;1.29;Z3;A1;6
174.3;184;9.7;PIes - Subida;2;DI;MI;1.30;Z3;A2;6.5
184.1;191.8;7.7;Marcaje Pies;2;DI;MI;1.30;Z2;A1;
191.9;207.7;15.8;Remate - Cierre ;3;DI;MI;1.31;Z3;A1;7
