Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra;ImpLevel
9.8;28.9;19.1;Introduction - 4x12 - No movement;4;1.1;MC;DC;Z1;A2;2.5
29;48.3;19.3;Letra 1 - 4x12 - Movement;4;1.2;MC;DC;Z1;A3;2.5
48.4;68.3;19.9;Letra 2 - 4x12 - Snapping. some steps;4;1.3;MC;DC;Z2;A3;3
68.4;87.9;19.5;Falseta 1 - Zapateado - 4x12 - Continues;4;1.4;MC;DC;Z3;A3;2.5
88;107;19;Falseta 2- Escobilla comienzo - 4x12 ;4;1.5;MC;DC;Z3;A2;2.5
107.1;125.3;18.2;Escobilla continued - 4x12;4;1.6;MC;DC;Z3;A2;3.5
125.4;143;17.6;Letra 2 - Zapateado - 2x8;4;1.7;MC;DC;Z3;A3;4.5
143.1;159.3;16.2;Escobilla 2- 4x12;4;1.8;MC;DC;Z3;A1;4
159.4;172.4;13;3x12 Paseando;3;1.9;MC;DC;Z2;A1;4.5
172.5;186;13.5;Remate - Cierre 3x12;3;1.10;MC;DC;Z3;A1;3
