Begin Time - ss.msec;End Time - ss.msec;Duration - ss.msec;Sequence;Bloques;Step;Music_Mode;Category;Baile;Guitarra
5.6;16.1;19.7;Salida;2;3.1;MC;DC;Z2;A3
16.1;25.4;9.3;Salida;2;3.1;MC;DC;Z1;A3
25.4;44.6;19.2;Letra 1;4;3.2;MC;DI;Z3;A2
44.7;54.7;10;Letra 2 - Escobilla;2;3.3;MC;DI;Z2;A3
54.7;64.3;9.6;Letra;2;3.3;MC;DI;Z3;A3
64.3;78.5;14.2;Letra + Cierre;3;3.4;MC;DI;Z2;A2
78.5;86.9;8.4;Respiro;1;3.4;MC;DI;Z1;A2
86.9;99.9;13;Escobilla comienzo;4;3.5;MC;DC;Z3;A2
99.9;110.8;10.9;Escobilla;4;3.6;MC;DI;Z3;A2
110.8;116.7;5.9;Pies + Marcaje;2;3.7;MC;DI;Z3;A2
116.7;122.2;5.5;Marcaje;2;3.7;MC;DI;Z2;A2
122.2;133.7;11.5;Marcaje;4;3.8;MC;DI;Z2;A2
133.8;144.9;11.1;Pies + Marcaje;4;3.9;MC;DI;Z3;A1
145;155.7;10.7;Llamada;4;3.1;MC;DI;Z2;A1
155.7;161.8;6.1;Cierre;4;3.11;MC;DI;Z2;A1
