"Begin Time - ss.msec","End Time - ss.msec","Duration - ss.msec","default","Sequence","Bloques","Step","Music_Mode","Category"
6.7,25.6,18.9,,"Introduction","4","1.1","MC","D0"
25.7,45.5,19.8,,"Letra 1","4","1.2","MC","D0"
45.5,64.6,19.1,,"Letra 2","4","1.3","MC","D0"
64.7,83.5,18.8,,"Falseta 1","4","1.4","MC","D0"
83.6,102.4,18.8,,"Falseta 2","4","1.5","MC","D0"
102.4,121.3,18.9,,"Escobilla","4","1.6","MC","D0"
121.4,139.2,17.8,,"Letra 3","4","1.7","MC","D0"
139.3,157.7,18.4,,"Escobilla","4","1.8","MC","D0"
157.8,171.0,13.2,,"Subida","3","1.9","MC","D0"
171.1,184.5,13.4,,"Remate - Cierre","3","1.10","MC","D0"

