rms_t0,rms_t1,rms,rms_avg,entropy,entropy_t0,entropy_t1
0.0,0.049979166666666665,4.217499847334791e-06,0.030157403521107306,,0.0,0.049979166666666665
0.025,0.07497916666666667,9.353994701690141e-06,0.030157403521107306,,0.025,0.07497916666666667
0.05,0.09997916666666666,3.451915094531018e-05,0.030157403521107306,,0.05,0.09997916666666666
0.075,0.12497916666666667,4.510556633426777e-05,0.030157403521107306,,0.075,0.12497916666666667
0.1,0.14997916666666666,0.0074690745936239885,0.030157403521107306,0.8949835838699608,0.1,0.14997916666666666
0.125,0.17497916666666666,0.012000215009680902,0.030157403521107306,0.8794793935965259,0.125,0.17497916666666666
0.15,0.19997916666666668,0.012359603713055233,0.030157403521107306,0.861187171757554,0.15,0.19997916666666668
0.175,0.22497916666666667,0.010558418680981847,0.030157403521107306,0.8558824589262037,0.175,0.22497916666666667
0.2,0.24997916666666667,0.00878226385859885,0.030157403521107306,0.8402682500658023,0.2,0.24997916666666667
0.225,0.27497916666666666,0.007215991208900448,0.030157403521107306,0.835654951160982,0.225,0.27497916666666666
0.25,0.2999791666666667,0.006053288140537918,0.030157403521107306,0.8333277444552059,0.25,0.2999791666666667
0.275,0.32497916666666665,0.005179266519742864,0.030157403521107306,0.8174336094635086,0.275,0.32497916666666665
0.3,0.3499791666666667,0.00497654679098512,0.030157403521107306,0.8000659600515431,0.3,0.3499791666666667
0.325,0.37497916666666664,0.004469845544321637,0.030157403521107306,0.8042702951970401,0.325,0.37497916666666664
0.35,0.39997916666666666,0.003666692645199444,0.030157403521107306,0.8035816101384888,0.35,0.39997916666666666
0.375,0.4249791666666667,0.0033501422841214754,0.030157403521107306,0.7887944698810344,0.375,0.4249791666666667
0.4,0.44997916666666665,0.002818344856650984,0.030157403521107306,0.7881166559794456,0.4,0.44997916666666665
0.425,0.4749791666666667,0.0022364809751572318,0.030157403521107306,0.8046016916618619,0.425,0.4749791666666667
0.45,0.49997916666666664,0.0018813779989246872,0.030157403521107306,0.7975532495161625,0.45,0.49997916666666664
0.475,0.5249791666666667,0.0015679353798207427,0.030157403521107306,0.8029430738446349,0.475,0.5249791666666667
0.5,0.5499791666666667,0.0012895392941754665,0.030157403521107306,0.8087992271270644,0.5,0.5499791666666667
0.525,0.5749791666666667,0.0011651294301925521,0.030157403521107306,0.8087632200093952,0.525,0.5749791666666667
0.55,0.5999791666666666,0.0010549282882315661,0.030157403521107306,0.8055010863887795,0.55,0.5999791666666666
0.575,0.6249791666666666,0.0008276878402120815,0.030157403521107306,,0.575,0.6249791666666666
0.6,0.6499791666666667,0.0006644205303321697,0.030157403521107306,,0.6,0.6499791666666667
0.625,0.6749791666666667,0.0005072309939762286,0.030157403521107306,,0.625,0.6749791666666667
0.65,0.6999791666666667,0.0004624930292802498,0.030157403521107306,,0.65,0.6999791666666667
0.675,0.7249791666666666,0.00040667428789537566,0.030157403521107306,,0.675,0.7249791666666666
0.7,0.7499791666666666,0.0003418919595926246,0.030157403521107306,,0.7,0.7499791666666666
0.725,0.7749791666666667,0.00030664230888942574,0.030157403521107306,,0.725,0.7749791666666667
0.75,0.7999791666666667,0.0002608470848323166,0.030157403521107306,,0.75,0.7999791666666667
0.775,0.8249791666666667,0.0002015477491742292,0.030157403521107306,,0.775,0.8249791666666667
0.8,0.8499791666666666,0.00019131604033776242,0.030157403521107306,,0.8,0.8499791666666666
0.825,0.8749791666666666,0.0001725251839290618,0.030157403521107306,,0.825,0.8749791666666666
0.85,0.8999791666666667,0.00014859034449584205,0.030157403521107306,,0.85,0.8999791666666667
0.875,0.9249791666666667,0.0001824265438265331,0.030157403521107306,,0.875,0.9249791666666667
0.9,0.9499791666666667,0.0001737411557165645,0.030157403521107306,,0.9,0.9499791666666667
0.925,0.9749791666666666,0.00018868160493252592,0.030157403521107306,,0.925,0.9749791666666666
0.95,0.9999791666666666,0.00021915574867200713,0.030157403521107306,,0.95,0.9999791666666666
0.975,1.0249791666666668,0.00016999501810528836,0.030157403521107306,,0.975,1.0249791666666668
1.0,1.0499791666666667,0.0001267170693932777,0.030157403521107306,,1.0,1.0499791666666667
1.025,1.0749791666666666,0.00013047382850243144,0.030157403521107306,,1.025,1.0749791666666666
1.05,1.0999791666666667,0.0001290245387997085,0.030157403521107306,,1.05,1.0999791666666667
1.075,1.1249791666666666,0.00019075292783305196,0.030157403521107306,,1.075,1.1249791666666666
1.1,1.1499791666666668,0.062433994656045065,0.030157403521107306,0.8815492423224445,1.1,1.1499791666666668
1.125,1.1749791666666667,0.07305033209811332,0.030157403521107306,0.8751087055171239,1.125,1.1749791666666667
1.15,1.1999791666666666,0.044777049891097015,0.030157403521107306,0.86026860877432,1.15,1.1999791666666666
1.175,1.2249791666666667,0.029900516251073445,0.030157403521107306,0.8554535990017743,1.175,1.2249791666666667
1.2,1.2499791666666666,0.022823216226847326,0.030157403521107306,0.8442377326325955,1.2,1.2499791666666666
1.225,1.2749791666666668,0.01718528194435743,0.030157403521107306,0.8392118456349944,1.225,1.2749791666666668
1.25,1.2999791666666667,0.013364502287188858,0.030157403521107306,0.8352096034659724,1.25,1.2999791666666667
1.275,1.3249791666666666,0.011538887421526584,0.030157403521107306,0.8100119633662278,1.275,1.3249791666666666
1.3,1.3499791666666667,0.009413170289197862,0.030157403521107306,0.8156657281023607,1.3,1.3499791666666667
1.325,1.3749791666666666,0.0072857930030419925,0.030157403521107306,0.8111287446477993,1.325,1.3749791666666666
1.35,1.3999791666666668,0.005996443651243553,0.030157403521107306,0.8101147952249309,1.35,1.3999791666666668
1.375,1.4249791666666667,0.005161332301590128,0.030157403521107306,0.8041754633837351,1.375,1.4249791666666667
1.4,1.4499791666666666,0.00415875167576215,0.030157403521107306,0.8054507334382491,1.4,1.4499791666666666
1.425,1.4749791666666667,0.003132156721368248,0.030157403521107306,0.8075243332649759,1.425,1.4749791666666667
1.45,1.4999791666666666,0.0024944099024897712,0.030157403521107306,0.8089863905368029,1.45,1.4999791666666666
1.475,1.5249791666666668,0.0019364463045537625,0.030157403521107306,0.812785343973362,1.475,1.5249791666666668
1.5,1.5499791666666667,0.0016666657350961603,0.030157403521107306,0.8171562645181305,1.5,1.5499791666666667
1.525,1.5749791666666666,0.0014300418654748165,0.030157403521107306,0.8114188995324175,1.525,1.5749791666666666
1.55,1.5999791666666667,0.001150857239104082,0.030157403521107306,0.8229665504449488,1.55,1.5999791666666667
1.575,1.6249791666666666,0.0008529791046797352,0.030157403521107306,,1.575,1.6249791666666666
1.6,1.6499791666666668,0.0007357161746982217,0.030157403521107306,,1.6,1.6499791666666668
1.625,1.6749791666666667,0.0006380104604373143,0.030157403521107306,,1.625,1.6749791666666667
1.65,1.6999791666666666,0.0005244469513361271,0.030157403521107306,,1.65,1.6999791666666666
1.675,1.7249791666666667,0.00046777138598173547,0.030157403521107306,,1.675,1.7249791666666667
1.7,1.7499791666666666,0.00038255438278692603,0.030157403521107306,,1.7,1.7499791666666666
1.725,1.7749791666666668,0.00030245678636940486,0.030157403521107306,,1.725,1.7749791666666668
1.75,1.7999791666666667,0.00022313955394630348,0.030157403521107306,,1.75,1.7999791666666667
1.775,1.8249791666666666,0.00018801475928668208,0.030157403521107306,,1.775,1.8249791666666666
1.8,1.8499791666666667,0.00016004931600007208,0.030157403521107306,,1.8,1.8499791666666667
1.825,1.8749791666666666,0.00015063859184971591,0.030157403521107306,,1.825,1.8749791666666666
1.85,1.8999791666666668,0.00015255427835793157,0.030157403521107306,,1.85,1.8999791666666668
1.875,1.9249791666666667,0.00014067136365241418,0.030157403521107306,,1.875,1.9249791666666667
1.9,1.9499791666666666,0.00011671530637846948,0.030157403521107306,,1.9,1.9499791666666666
1.925,1.9749791666666667,0.00011874000853198037,0.030157403521107306,,1.925,1.9749791666666667
1.95,1.9999791666666666,0.00012157417011582285,0.030157403521107306,,1.95,1.9999791666666666
1.975,2.0249791666666668,0.0001147897804324009,0.030157403521107306,,1.975,2.0249791666666668
2.0,2.0499791666666667,0.00018340971773590998,0.030157403521107306,,2.0,2.0499791666666667
2.025,2.0749791666666666,0.0002107823959280588,0.030157403521107306,,2.025,2.0749791666666666
2.05,2.0999791666666665,0.00016679025978718246,0.030157403521107306,,2.05,2.0999791666666665
2.075,2.124979166666667,0.00025590348347590317,0.030157403521107306,,2.075,2.124979166666667
2.1,2.1499791666666668,0.04597962258674179,0.030157403521107306,0.9232732003657976,2.1,2.1499791666666668
2.125,2.1749791666666667,0.0622596510984049,0.030157403521107306,0.913847584818402,2.125,2.1749791666666667
2.15,2.1999791666666666,0.053870307985817455,0.030157403521107306,0.8896226887903189,2.15,2.1999791666666666
2.175,2.2249791666666665,0.04133712092558909,0.030157403521107306,0.8809150270679116,2.175,2.2249791666666665
2.2,2.249979166666667,0.028894560752323422,0.030157403521107306,0.8792125596993161,2.2,2.249979166666667
2.225,2.2749791666666668,0.02124210319692158,0.030157403521107306,0.8684747594106478,2.225,2.2749791666666668
2.25,2.2999791666666667,0.016159162456882016,0.030157403521107306,0.8652798620865427,2.25,2.2999791666666667
2.275,2.3249791666666666,0.012546290899361328,0.030157403521107306,0.8514129569452197,2.275,2.3249791666666666
2.3,2.3499791666666665,0.011410360488902477,0.030157403521107306,0.8357687714586831,2.3,2.3499791666666665
