Time; Value
0.6655531029968262;1
19.620097070571898;2
25.538997;3
32.42883510299683;5
36.47436383596802;4
41.792342809265136;3
55.262800162124634;3
57.29880689509582;4
70.2569317844696;3
85.52564903051758;4
94.25824215068054;3
102.74015401144409;2
127.6017500114441;4
131.50280488746643;2
141.80837391989135;4
147.00413516212464;5
151.066219;7
153.68133694659423;2
158.67936903814697;5
163.22219300953674;6
167.96640788365173;5
176.03349417738343;6
178.70171981689452;3
183.52795293515015;4
185.688460792099;5
190.2572269809265;3
194.67075212779235;2
197.5703950038147;5
202.39516809155273;7
