Name,Entropy_Av,RMS_Av,Dance_mode,Music_mode,Palo,Participant
P5_D6_G3_M6_R2_T1.wav,0.657396682204494,0.0021996490292955323,D6,M6,R2,P5
P5_D6_G3_M6_R1_T1.wav,0.6707447097040603,0.0024425086829122137,D6,M6,R1,P5
P5_D5_G3_M6_R2_T1.wav,0.6586715129175226,0.002930722992538354,D5,M6,R2,P5
P5_D5_G3_M6_R1_T1.wav,0.6810810935692218,0.0023769375756037326,D5,M6,R1,P5
P5_D5_G3_M5_R2_T1.wav,0.6963742175706752,0.004155176580479931,D5,M5,R2,P5
P5_D5_G3_M5_R1_T1.wav,0.7027728815036836,0.004848122312487752,D5,M5,R1,P5
P5_D1_G3_M6_R2_T1.wav,0.6745240154061739,0.003112326181381037,D1,M6,R2,P5
P5_D1_G3_M6_R1_T1.wav,0.6693242315104184,0.0019590729666545633,D1,M6,R1,P5
P5_D1_G3_M1_R2_T1.wav,0.6782380324387051,0.002381516481767816,D1,M1,R2,P5
P5_D1_G3_M1_R1_T1.wav,0.686994837942742,0.005266942226067577,D1,M1,R1,P5
P5_D0_G3_M6_R2_T1.wav,0.662121578951903,0.000755443593348771,D0,M6,R2,P5
P5_D0_G3_M6_R1_T1.wav,0.6534898573299355,0.001063831380312221,D0,M6,R1,P5
P4_D6_G2_M6_R2_T1.wav,0.737026855768031,0.007744281117117329,D6,M6,R2,P4
P4_D6_G2_M6_R1_T1.wav,0.7228748809726494,0.007170154225473779,D6,M6,R1,P4
P4_D5_G2_M6_R2_T1.wav,0.7356373766492894,0.006472500579453851,D5,M6,R2,P4
P4_D5_G2_M6_R1_T1.wav,0.7261203864768708,0.007382107723820656,D5,M6,R1,P4
P4_D5_G2_M5_R2_T1.wav,0.7280169098068305,0.006463595304391094,D5,M5,R2,P4
P4_D5_G2_M5_R1_T1.wav,0.7222490164774906,0.006960899011732213,D5,M5,R1,P4
P4_D1_G2_M6_R2_T1.wav,0.7320381234513109,0.006772382472974488,D1,M6,R2,P4
P4_D1_G2_M6_R1_T1.wav,0.728084541290902,0.007299636822649286,D1,M6,R1,P4
P4_D1_G2_M1_R2_T1.wav,0.7125861027782001,0.006290077640762246,D1,M1,R2,P4
P4_D1_G2_M1_R1_T1.wav,0.70996009552586,0.004792971791061442,D1,M1,R1,P4
P4_D0_G2_M6_R2_T1.wav,0.660742397801711,0.004332754370193463,D0,M6,R2,P4
P4_D0_G2_M6_R1_T2.wav,0.6760686913599258,0.005307546274204949,D0,M6,R1,P4
P3_D6_G1_M6_R2_T1.wav,0.7233124754463712,0.008333994063086683,D6,M6,R2,P3
P3_D6_G1_M6_R1_T1.wav,0.7483640851791321,0.0200734331954033,D6,M6,R1,P3
P3_D5_G1_M6_R2_T1.wav,0.7105523781469747,0.0077271489768083535,D5,M6,R2,P3
P3_D5_G1_M6_R1_T1.wav,0.7478112593662287,0.018380480539768165,D5,M6,R1,P3
P3_D5_G1_M5_R2_T1.wav,0.7154256653602588,0.00786771129346071,D5,M5,R2,P3
P3_D5_G1_M5_R1_T1.wav,0.7246247009487782,0.00855292871222285,D5,M5,R1,P3
P3_D1_G1_M6_R2_T1.wav,0.7192282337493827,0.007168156359334815,D1,M6,R2,P3
P3_D1_G1_M6_R1_T1.wav,0.7306474529165379,0.013198174318938204,D1,M6,R1,P3
P3_D1_G1_M1_R2_T1.wav,0.7259542810736145,0.007324850658914046,D1,M1,R2,P3
P3_D1_G1_M1_R1_T1.wav,0.7552472589148073,0.012723789865249429,D1,M1,R1,P3
P3_D0_G1_M6_R2_T1.wav,0.6698707564885121,0.004726351796477517,D0,M6,R2,P3
P3_D0_G1_M6_R1_T1.wav,0.6990908170015626,0.008455694638669638,D0,M6,R1,P3
