t_onset,int_onset
0.0,-38.224
0.79,-9.8588
1.63,-13.365
8.14,-37.948
13.27,-36.399
17.89,-37.803
18.22,-34.517
18.54,-31.409
19.28,-26.869
19.46,-33.174
19.66,-23.041
19.8,-28.49
20.28,-37.906
23.47,-37.741
23.67,-32.15
24.47,-34.489
27.84,-40.315
28.3,-30.188
28.64,-31.253
30.33,-36.141
30.96,-36.775
31.65,-35.597
34.27,-7.2933
34.54,-30.12
34.71,-12.302
34.84,-5.7102
34.94,-5.535
35.05,-5.8282
35.17,-11.095
35.28,-5.1925
35.38,-5.4453
35.46,-5.5491
35.68,-5.7822
35.8,-5.9346
35.89,-5.7801
36.05,-13.203
36.12,-5.953
36.22,-5.9651
36.3,-5.3412
36.43,-12.168
36.53,-5.7051
36.64,-18.229
36.72,-5.9567
36.83,-11.297
36.95,-6.1687
37.06,-5.6674
37.15,-5.5466
37.28,-18.227
37.37,-5.6801
37.47,-5.422
37.56,-5.5848
37.68,-9.8111
37.78,-5.7046
37.88,-5.2127
37.98,-5.38
38.09,-15.376
38.19,-5.9163
38.25,-5.6857
38.37,-6.0381
38.47,-5.3045
38.7,-6.0551
38.9,-6.4889
39.11,-6.337
39.38,-24.789
39.48,-4.5911
39.94,-5.8489
40.34,-11.166
40.8,-5.2379
41.17,-24.198
41.92,-5.3481
42.2,-18.423
42.75,-8.3528
43.01,-13.056
43.72,-25.818
44.83,-17.183
53.61,-36.96
54.14,-16.269
54.41,-25.179
55.08,-28.805
59.58,-35.423
60.15,-35.989
61.83,-38.203
62.16,-28.206
62.4,-22.434
62.91,-30.388
63.17,-34.213
64.79,-32.995
65.3,-30.591
66.98,-40.972
68.35,-37.782
71.09,-19.91
71.51,-3.8692
72.01,-9.5884
72.5,-26.53
72.97,-33.762
73.86,-34.226
74.75,-38.203
75.18,-10.58
76.33,-33.321
79.16,-22.093
79.71,-21.136
80.15,-7.24
80.2,-14.854
80.48,-21.769
81.67,-31.529
81.78,-32.161
82.09,-5.8489
82.2,-7.9497
82.26,-15.855
82.35,-5.4244
82.54,-11.482
82.64,-20.109
82.71,-5.2422
82.82,-5.1353
83.02,-5.4512
83.09,-5.6298
83.17,-6.3112
83.28,-5.9809
83.4,-5.7487
83.49,-17.247
83.6,-6.5721
83.71,-6.1655
83.81,-5.6222
83.93,-5.5345
84.23,-7.5854
84.39,-6.2647
84.48,-7.5847
84.57,-7.1177
84.86,-6.4304
85.28,-5.9878
85.33,-19.27
85.39,-5.6679
85.47,-6.7606
85.71,-5.7123
85.93,-5.4106
86.12,-5.9241
86.26,-9.7132
86.36,-5.2592
86.81,-13.602
87.04,-13.133
87.28,-5.7446
88.17,-19.03
88.38,-4.7674
88.64,-5.4482
89.35,-30.171
89.94,-33.333
90.49,-21.884
90.67,-30.205
91.02,-10.153
91.38,-34.804
91.45,-32.983
91.54,-22.962
91.66,-27.806
92.14,-26.452
92.25,-20.39
92.58,-32.995
93.02,-35.677
93.46,-29.387
93.63,-27.825
93.85,-14.685
94.41,-37.44
94.51,-36.904
95.16,-13.338
95.21,-28.923
95.37,-4.9463
95.78,-27.142
95.98,-21.564
97.2,-32.001
97.65,-12.305
98.84,-21.57
100.11,-14.564
100.32,-4.8203
100.76,-16.461
101.44,-35.989
101.56,-26.017
101.79,-26.672
102.27,-30.388
102.65,-5.9809
103.65,-33.432
103.94,-17.7
104.09,-28.711
104.27,-30.3
104.76,-31.99
105.18,-21.711
105.25,-12.363
106.12,-31.782
106.31,-26.146
106.94,-22.515
107.24,-28.568
108.57,-32.545
108.62,-30.627
112.17,-28.037
112.32,-34.819
113.71,-35.533
113.92,-34.226
114.05,-22.434
114.21,-20.468
115.54,-29.14
115.76,-5.4567
115.97,-5.5245
116.21,-5.7026
116.42,-5.1052
116.84,-5.1018
117.28,-15.426
121.92,-34.631
122.51,-37.823
122.89,-25.513
124.25,-6.028
124.39,-9.2114
124.45,-7.273
124.55,-6.718
124.65,-9.8588
124.72,-7.9344
124.83,-5.9142
125.13,-10.174
125.24,-6.0503
125.42,-22.406
125.52,-6.909
125.66,-5.7502
125.8,-5.8438
125.95,-5.9514
126.09,-7.4706
126.22,-7.507
126.33,-5.9273
126.47,-5.8375
126.62,-5.7822
126.78,-5.7816
127.2,-36.666
127.32,-5.8427
127.62,-6.0764
127.73,-13.718
127.88,-15.307
127.94,-6.1176
128.04,-5.721
128.15,-5.8578
128.31,-5.8007
128.46,-5.9989
128.58,-5.6975
128.75,-7.8039
128.86,-5.6903
129.0,-5.6745
129.15,-5.7
129.29,-5.4691
129.43,-8.621
129.57,-7.6927
129.68,-5.2743
129.83,-5.761
129.96,-5.2093
130.12,-8.158
130.7,-6.5169
130.75,-10.49
130.97,-5.5808
131.08,-5.605
131.16,-5.9351
131.25,-6.3265
131.35,-11.873
131.43,-6.036
131.52,-6.0828
131.62,-11.459
131.71,-5.7241
131.81,-7.8699
131.92,-10.443
132.01,-7.0535
132.1,-5.8896
132.19,-12.579
132.27,-8.5442
132.37,-6.3002
132.46,-13.682
132.55,-9.4002
132.66,-5.7128
132.76,-14.295
132.85,-8.6232
132.95,-7.2792
133.04,-6.5063
133.12,-6.0254
133.22,-5.1549
133.3,-7.1974
133.38,-5.7744
133.48,-6.0594
133.76,-5.9693
134.03,-5.9931
134.32,-6.0482
134.42,-14.896
134.5,-6.2038
134.6,-5.2335
134.7,-8.5726
134.79,-6.2375
134.88,-6.1412
134.98,-6.1128
135.07,-6.9002
135.17,-7.8124
135.27,-11.599
135.35,-6.6516
135.45,-5.5742
135.56,-6.5569
135.64,-8.3875
135.74,-8.9549
135.84,-15.052
135.91,-5.8885
136.01,-5.8734
136.12,-5.6893
136.21,-5.5732
136.31,-9.5948
136.39,-9.2328
136.47,-6.7756
136.56,-15.837
136.64,-5.6506
136.72,-5.537
136.84,-5.3702
137.26,-6.9632
137.31,-10.841
137.43,-5.5591
137.7,-6.108
137.8,-5.5732
137.88,-5.7518
137.97,-7.0047
138.27,-6.9709
138.38,-5.3177
138.45,-5.6954
138.55,-5.2451
138.82,-5.5135
138.92,-5.4071
139.01,-5.6908
139.11,-7.3185
139.27,-5.383
139.4,-6.4878
139.56,-5.8677
139.69,-5.5185
139.82,-5.8594
139.96,-5.3422
140.11,-6.9917
140.25,-5.9016
140.41,-6.5085
140.53,-5.5828
140.68,-6.0674
140.83,-5.4284
140.95,-5.49
141.02,-5.8453
141.11,-5.8044
141.22,-6.9816
141.31,-6.605
141.38,-5.8095
141.47,-9.7092
141.56,-11.46
141.63,-6.1908
141.76,-5.9362
141.94,-12.888
142.08,-9.1671
142.23,-7.8424
142.37,-10.483
142.52,-5.7729
142.64,-5.9173
142.74,-7.8844
142.79,-5.8979
142.95,-11.466
143.09,-6.1182
143.23,-7.507
143.39,-7.0954
143.54,-5.759
143.67,-7.2284
143.82,-5.822
143.98,-6.3139
144.13,-6.179
144.3,-18.227
144.37,-5.3643
144.56,-5.6715
144.7,-5.9194
144.86,-5.7415
144.99,-5.6131
145.15,-5.9551
145.3,-6.6135
145.45,-6.8104
145.58,-5.4126
145.87,-4.875
146.14,-5.3275
146.28,-12.433
146.41,-7.7805
146.57,-5.5255
146.7,-5.4776
146.87,-5.7261
147.0,-6.2293
147.14,-5.8797
147.28,-5.9393
147.56,-5.536
147.82,-5.4339
147.97,-5.8256
148.1,-5.9027
148.26,-5.7863
148.4,-5.7205
148.54,-5.488
148.68,-6.0951
148.83,-7.6414
148.95,-6.0397
149.09,-5.8849
149.24,-5.8541
149.4,-6.1058
149.53,-6.1353
149.67,-5.8541
149.82,-7.8424
149.96,-5.9778
150.08,-5.9194
150.23,-5.7533
150.5,-6.0684
150.77,-5.3608
150.91,-20.023
151.04,-7.5638
151.16,-5.9894
151.3,-12.983
151.4,-9.7189
151.52,-5.9278
151.67,-9.2674
151.77,-9.1147
151.89,-6.0647
152.05,-12.759
152.14,-8.6526
152.25,-5.8865
152.4,-9.8654
152.5,-9.5868
152.63,-5.5586
152.78,-12.277
152.88,-8.0395
152.99,-5.8329
153.15,-10.326
153.27,-15.322
153.36,-6.0802
153.49,-14.982
153.6,-9.4709
153.72,-5.7123
153.89,-13.332
153.99,-13.058
154.09,-5.8495
154.24,-11.029
154.33,-12.787
154.45,-5.1319
154.6,-11.184
154.71,-9.3963
154.83,-5.501
154.99,-13.203
155.07,-10.323
155.19,-5.4502
155.34,-8.6239
155.45,-8.6626
155.57,-5.8901
155.71,-12.762
155.8,-6.9768
155.93,-5.4706
156.08,-8.0061
156.18,-9.8407
156.3,-5.5596
156.43,-12.184
156.53,-7.6933
156.66,-6.4912
156.8,-9.4599
156.9,-9.7841
157.02,-5.8604
157.17,-10.14
157.27,-6.4154
157.4,-6.2315
157.54,-6.4126
157.65,-6.0227
157.77,-5.7796
157.91,-10.432
157.99,-6.332
158.11,-5.9372
158.23,-5.6232
158.49,-6.145
158.75,-6.3932
159.01,-6.1504
159.24,-5.9873
159.49,-6.5529
159.63,-5.9572
159.79,-8.3327
159.89,-8.8994
160.03,-6.2212
160.18,-10.401
160.28,-7.47
160.42,-5.6313
160.56,-8.6633
160.68,-8.7631
160.81,-5.7987
160.96,-23.242
161.04,-5.7806
161.17,-5.523
161.31,-5.305
161.55,-5.2461
161.76,-21.249
162.05,-6.2827
162.3,-5.7133
162.52,-5.7853
162.69,-5.9947
162.84,-5.3741
162.94,-11.528
163.04,-5.5954
163.2,-15.006
163.29,-8.9884
163.42,-5.8729
163.59,-7.6985
163.69,-11.414
163.81,-5.5898
163.94,-10.388
164.04,-6.7802
164.18,-5.6924
164.33,-5.8567
164.44,-8.4539
164.57,-6.0759
164.73,-11.009
164.82,-7.2816
164.94,-5.8002
165.07,-7.324
165.19,-9.2544
165.32,-5.6247
165.48,-26.352
165.56,-8.8802
165.69,-5.9614
165.93,-10.537
166.05,-5.8246
166.21,-12.011
166.3,-7.9589
166.42,-5.166
166.56,-6.7456
166.67,-8.2521
166.8,-5.326
166.94,-4.8425
167.04,-7.0142
167.17,-5.284
167.32,-4.9754
167.55,-5.4443
167.8,-5.1631
168.04,-5.6659
168.16,-5.2272
168.42,-6.3381
168.66,-5.0486
168.94,-4.9435
169.03,-5.1588
169.13,-10.782
169.34,-5.9894
169.57,-5.1525
169.83,-5.2646
170.1,-5.8885
170.37,-5.7348
170.63,-5.3021
170.87,-8.9542
171.15,-6.4459
171.67,-6.5377
172.55,-29.356
172.64,-5.8765
172.76,-5.4721
173.35,-4.4639
173.77,-23.449
173.96,-4.3236
174.24,-13.013
174.56,-30.283
174.63,-25.184
174.77,-23.048
174.95,-34.775
175.69,-32.236
176.24,-31.969
176.69,-30.344
177.42,-28.308
177.99,-33.078
179.15,-39.628
180.03,-37.168
193.95,-23.56
194.25,-25.762
195.91,-22.185
196.63,-6.5063
196.72,-6.8098
196.76,-5.1516
196.83,-5.0065
197.12,-7.6651
197.38,-8.494
197.66,-27.806
197.93,-8.0683
198.17,-19.229
198.26,-15.529
198.41,-13.811
198.53,-11.847
198.99,-31.224
199.06,-11.063
199.64,-13.074
199.81,-24.951
199.93,-21.157
200.16,-6.0355
200.3,-15.583
