t_onset,int_onset
0.0,-39.183
1.01,-23.254
2.17,-21.97
3.44,-50.664
3.68,-48.165
10.81,-39.135
11.25,-47.638
13.54,-41.366
14.05,-46.336
16.34,-45.959
16.67,-39.329
16.79,-42.316
16.94,-44.688
17.1,-39.329
17.25,-40.767
17.38,-34.037
17.53,-45.548
17.66,-41.243
17.8,-35.581
17.94,-36.295
18.08,-38.311
18.55,-27.349
18.73,-33.84
19.0,-44.966
27.98,-46.447
28.35,-45.013
28.73,-24.393
28.99,-42.178
29.18,-40.972
29.35,-21.273
29.78,-31.907
29.96,-0.086311
30.39,-36.904
30.66,-50.846
30.78,-39.016
31.05,-46.845
31.19,-37.225
31.59,-38.805
31.75,-39.679
32.01,-41.061
32.25,-32.182
32.41,-37.264
32.81,-44.553
33.05,-41.877
33.41,-48.725
33.64,-41.877
34.01,-32.001
34.23,-35.116
34.48,-43.382
34.63,-32.785
35.01,-38.138
35.24,-40.796
35.59,-31.539
35.81,-26.508
36.08,-41.182
36.22,-29.24
36.62,-19.939
36.97,-25.151
37.22,-26.729
37.51,-23.296
37.79,-23.628
38.02,-23.181
38.4,-23.815
38.72,-41.91
38.84,-30.911
39.01,-18.929
39.23,-10.438
40.2,-38.992
40.29,-35.161
40.38,-31.969
40.45,-24.31
40.5,-27.461
41.28,-44.332
42.74,-31.927
42.97,-31.014
43.35,-28.385
44.97,-42.999
45.46,-45.907
45.83,-42.669
46.11,-45.598
46.22,-50.574
46.45,-44.42
46.6,-35.176
46.85,-45.35
47.03,-41.151
48.09,-45.252
48.25,-31.7
48.52,-40.883
48.66,-47.325
48.79,-46.227
48.89,-43.074
49.03,-36.347
49.27,-41.335
49.45,-34.378
49.68,-41.273
49.85,-40.233
49.95,-41.682
50.06,-41.243
50.16,-44.202
50.24,-29.271
50.45,-43.66
50.67,-48.725
50.84,-38.224
51.03,-28.199
51.19,-37.969
51.27,-31.509
51.36,-37.46
51.47,-30.967
51.7,-39.628
52.07,-40.152
52.27,-38.555
52.45,-34.531
52.69,-36.849
52.84,-39.756
52.97,-40.595
53.2,-32.367
53.48,-35.823
53.71,-42.077
53.88,-33.09
54.12,-40.738
54.3,-39.527
54.7,-35.742
55.06,-42.316
55.13,-35.645
55.37,-47.202
57.53,-48.441
57.94,-44.919
58.34,-44.376
58.8,-43.58
59.19,-47.022
59.42,-50.223
59.97,-40.426
60.39,-48.511
60.48,-41.522
60.67,-46.904
60.98,-45.598
61.07,-31.205
61.19,-35.726
61.35,-29.649
61.48,-36.83
61.57,-43.343
61.73,-38.852
62.18,-46.729
62.37,-35.807
62.78,-26.27
63.04,-40.709
63.19,-37.68
63.5,-47.263
63.59,-38.992
63.75,-42.281
63.87,-35.085
64.01,-47.325
64.14,-42.281
64.27,-34.717
64.39,-30.883
64.66,-33.162
64.8,-31.1
64.95,-35.823
65.2,-46.559
65.34,-33.557
65.48,-29.624
65.61,-31.253
66.13,-39.679
66.28,-43.865
66.59,-47.767
66.84,-36.812
67.08,-41.811
67.23,-41.335
67.39,-45.498
67.54,-48.097
67.65,-43.62
67.87,-40.51
68.02,-37.7
68.18,-43.15
68.42,-40.454
68.68,-38.399
68.83,-37.225
68.99,-38.945
69.25,-42.777
69.5,-43.823
69.63,-36.63
69.87,-41.877
70.01,-38.203
70.14,-45.7
70.28,-43.112
70.41,-45.204
70.66,-38.968
70.83,-37.206
71.14,-44.734
71.27,-42.385
71.52,-45.155
71.64,-39.731
72.02,-33.078
72.29,-44.919
72.41,-38.488
72.65,-46.119
72.76,-43.421
72.87,-35.807
73.15,-37.969
73.42,-44.872
73.51,-32.075
73.62,-33.659
73.81,-38.465
73.91,-33.697
74.02,-38.668
74.11,-40.767
74.21,-40.26
74.29,-33.007
74.39,-34.717
74.58,-43.5
74.67,-36.849
74.77,-26.48
74.97,-45.448
75.04,-38.224
75.14,-31.938
75.33,-44.116
75.41,-38.713
75.51,-27.793
75.7,-38.421
75.79,-32.557
75.9,-31.205
76.07,-35.889
76.16,-33.284
76.27,-32.334
76.36,-38.053
76.46,-33.971
76.55,-32.043
76.66,-32.269
76.85,-35.873
76.94,-34.981
77.03,-32.172
77.29,-41.554
77.39,-28.725
77.67,-36.923
77.78,-31.459
77.98,-42.597
78.06,-32.226
78.17,-33.971
78.35,-39.329
78.44,-34.981
78.54,-34.145
78.73,-41.943
78.82,-32.579
78.95,-38.736
79.04,-37.073
79.2,-36.312
79.31,-32.796
79.5,-42.526
79.6,-29.403
79.72,-18.459
79.92,-18.771
81.29,-43.382
90.14,-39.502
90.28,-42.144
90.34,-37.322
90.67,-37.187
91.15,-52.808
91.37,-35.956
91.68,-46.391
91.77,-36.226
92.08,-33.672
92.56,-50.846
92.76,-48.871
92.97,-32.012
93.07,-33.199
93.15,-37.054
93.24,-34.892
93.44,-25.886
93.89,-40.883
94.1,-22.579
94.59,-36.107
94.78,-13.151
95.51,-36.056
95.74,-33.595
95.85,-26.486
96.21,-22.586
96.48,-36.812
96.57,-36.923
96.77,-39.679
96.91,-31.176
97.16,-42.043
97.26,-33.419
97.35,-34.732
97.57,-20.365
97.93,-23.192
