t_onset,int_onset
0.0,-42.562
0.14,-37.077
0.61,-40.773
0.76,-38.322
1.13,-36.593
1.29,-34.443
1.48,-31.3
1.66,-30.571
2.02,-34.677
2.32,-35.346
2.49,-29.875
2.97,-37.235
3.2,-29.662
3.29,-30.777
3.56,-42.374
3.75,-33.218
3.93,-34.429
4.25,-35.795
4.53,-32.839
4.68,-32.655
4.81,-31.202
5.71,-42.017
6.04,-41.913
6.32,-34.889
6.51,-35.476
6.59,-35.956
6.77,-37.311
6.96,-40.349
7.12,-40.693
7.49,-47.071
7.96,-48.208
8.15,-35.66
8.32,-34.949
8.48,-33.014
9.09,-42.968
9.34,-42.087
9.46,-38.143
9.55,-36.507
9.67,-38.739
9.78,-35.147
10.12,-37.541
10.23,-35.857
10.37,-29.392
10.74,-32.981
11.04,-37.939
11.24,-38.665
11.47,-41.342
11.56,-41.534
12.05,-40.079
12.14,-38.77
12.51,-45.972
12.77,-51.197
13.02,-51.634
13.5,-45.321
13.86,-45.756
14.11,-47.821
15.37,-48.766
15.72,-49.977
16.07,-52.263
16.16,-48.77
16.35,-47.525
16.99,-54.386
17.09,-43.951
17.3,-37.105
17.78,-50.231
18.47,-55.284
18.62,-54.195
18.75,-53.384
19.14,-54.794
20.35,-50.677
21.03,-56.059
21.54,-52.258
22.64,-55.995
22.87,-54.138
24.66,-56.353
24.93,-54.335
25.12,-51.231
25.26,-42.334
25.48,-37.516
25.97,-48.106
26.09,-42.101
26.3,-46.109
26.93,-51.999
27.2,-43.943
27.25,-43.344
27.64,-37.422
27.76,-35.405
28.15,-36.918
28.25,-36.307
28.64,-40.476
28.89,-43.011
29.04,-37.997
29.21,-43.807
29.79,-37.974
29.93,-37.322
30.14,-41.373
30.45,-41.663
30.72,-44.885
30.94,-42.574
31.76,-47.576
32.16,-49.294
32.4,-42.334
33.09,-44.076
33.31,-45.037
33.5,-44.118
33.94,-11.907
34.79,-6.458
35.62,-8.1807
36.53,-24.037
37.16,-26.174
37.79,-25.13
38.35,-41.267
38.97,-40.842
39.35,-53.671
39.43,-50.288
39.61,-44.912
40.13,-52.907
40.4,-43.329
40.52,-43.013
40.62,-43.76
40.71,-43.63
40.92,-45.831
41.1,-35.231
41.33,-40.551
41.41,-36.764
41.5,-35.954
41.66,-30.789
42.22,-35.337
42.73,-38.451
42.8,-35.238
42.86,-34.084
42.92,-31.287
43.41,-33.695
43.59,-28.368
44.31,-31.569
44.62,-30.235
45.79,-41.351
45.88,-34.634
45.97,-32.842
46.05,-31.563
46.36,-32.218
46.56,-33.738
46.73,-28.665
47.52,-33.642
47.78,-28.781
47.99,-33.125
49.05,-34.227
49.17,-30.976
49.25,-30.025
50.23,-36.077
50.82,-40.962
51.3,-44.107
51.87,-43.646
52.09,-44.823
52.28,-36.034
52.78,-46.164
53.33,-47.303
53.46,-27.986
54.27,-33.996
54.76,-38.669
54.92,-38.153
55.01,-32.358
55.13,-27.591
56.36,-24.024
57.21,-31.432
57.78,-39.752
57.85,-30.648
57.99,-32.132
58.11,-32.077
58.25,-29.656
59.26,-25.866
59.97,-33.99
60.2,-31.752
60.31,-32.326
61.08,-39.198
61.31,-33.578
61.55,-30.51
61.62,-30.059
62.05,-31.72
62.83,-37.939
63.03,-36.025
63.11,-35.928
63.8,-41.232
64.01,-40.011
64.28,-47.606
64.59,-47.909
65.03,-48.861
65.11,-45.186
65.18,-24.923
65.4,-26.939
66.06,-30.426
66.5,-37.413
66.62,-37.267
66.69,-32.915
66.81,-31.333
68.0,-46.299
68.08,-24.709
68.93,-31.393
69.14,-38.374
69.36,-38.017
69.51,-39.619
69.58,-31.391
69.7,-31.2
69.99,-34.556
70.22,-32.8
70.92,-25.05
71.61,-34.849
71.88,-30.263
72.7,-32.262
73.34,-37.948
73.84,-34.606
74.36,-36.654
74.45,-37.665
74.55,-36.26
74.72,-34.135
75.33,-35.445
75.55,-39.11
75.77,-33.88
76.51,-27.581
76.67,-33.602
76.81,-26.131
76.91,-23.806
77.72,-30.664
77.76,-31.205
77.85,-32.552
77.99,-28.321
78.07,-25.667
79.11,-33.544
79.19,-31.416
80.84,-31.237
81.09,-28.751
81.34,-26.883
81.83,-26.873
82.33,-32.033
83.4,-42.274
83.56,-22.981
84.39,-33.423
84.59,-32.227
84.88,-39.401
85.36,-36.588
85.8,-34.082
86.26,-33.935
86.9,-37.912
87.03,-36.179
87.2,-35.049
87.28,-35.196
87.77,-37.158
88.0,-38.107
88.24,-29.321
88.77,-29.696
89.1,-34.035
89.28,-20.785
89.56,-22.947
89.8,-19.425
90.02,-19.055
90.28,-18.972
90.52,-21.887
90.75,-19.158
90.98,-16.119
91.22,-12.233
91.68,-10.452
92.2,-23.962
92.47,-22.747
92.7,-14.828
92.93,-13.435
93.41,-24.087
93.62,-14.111
93.84,-12.311
94.08,-15.463
94.51,-6.8295
95.0,-18.238
95.29,-20.216
95.36,-12.248
95.49,-12.546
95.72,-17.62
95.94,-19.896
96.19,-23.411
96.27,-11.16
96.62,-18.512
96.8,-20.246
97.12,-17.831
97.26,-14.012
97.7,-22.482
98.02,-25.691
98.15,-21.299
98.44,-26.019
98.58,-21.845
99.02,-12.493
99.32,-19.643
99.5,-16.707
99.93,-10.633
100.24,-18.698
100.39,-14.637
100.7,-19.366
100.86,-9.4877
101.16,-16.954
101.32,-14.041
101.65,-18.97
101.76,-9.8091
102.21,-13.56
102.64,-9.4231
103.09,-13.915
103.51,-8.7019
103.95,-15.007
104.37,-11.029
104.64,-16.139
104.8,-11.49
105.03,-12.46
105.16,-13.014
105.25,-12.974
105.45,-13.92
105.62,-18.304
106.29,-22.162
106.44,-19.754
106.73,-22.215
107.12,-22.966
107.23,-19.665
107.75,-18.718
108.4,-18.699
108.83,-19.023
109.29,-22.085
109.37,-20.839
109.56,-20.629
109.79,-21.73
110.42,-23.848
110.9,-21.106
111.41,-20.32
111.76,-20.778
111.88,-22.867
112.24,-22.002
112.63,-22.997
113.28,-20.418
113.78,-23.645
114.28,-19.951
114.74,-20.481
115.24,-21.493
115.59,-21.616
116.28,-23.889
116.81,-27.298
117.29,-29.805
117.44,-31.056
117.6,-28.503
117.75,-27.18
118.48,-33.473
118.61,-30.804
118.7,-29.133
119.18,-29.386
119.66,-33.323
120.15,-34.558
120.43,-34.838
120.54,-34.163
120.61,-26.888
121.16,-33.693
121.46,-29.638
122.23,-32.344
122.54,-33.279
122.68,-21.136
123.23,-22.329
123.69,-27.346
123.77,-21.395
124.53,-24.803
124.66,-20.888
124.82,-25.133
125.12,-19.864
126.06,-27.798
126.17,-29.814
126.67,-31.909
126.75,-29.742
127.17,-29.347
127.34,-31.162
127.45,-27.669
127.56,-28.68
127.63,-24.09
128.69,-36.499
128.94,-37.544
129.07,-25.564
129.47,-28.754
129.55,-27.985
130.5,-36.858
130.58,-21.647
131.12,-28.012
131.62,-30.558
132.58,-35.816
132.68,-34.021
132.99,-35.81
133.18,-35.394
133.3,-36.255
133.41,-32.61
133.62,-27.503
134.11,-21.297
134.63,-22.28
134.74,-18.388
135.28,-21.992
135.55,-20.439
136.13,-19.62
136.27,-21.806
136.46,-19.123
137.15,-23.975
137.65,-24.981
138.17,-22.413
138.64,-23.571
138.68,-21.181
139.17,-26.074
139.38,-19.969
139.54,-17.985
140.11,-25.031
140.6,-26.799
141.05,-34.335
141.11,-30.136
141.42,-24.7
141.66,-26.326
141.94,-26.689
142.11,-25.084
143.06,-39.014
143.33,-26.268
144.04,-32.083
144.39,-38.005
144.51,-31.236
144.99,-31.081
145.21,-18.515
145.34,-18.706
146.35,-27.591
146.92,-19.774
147.38,-21.765
147.47,-18.56
147.95,-26.738
148.23,-25.658
148.36,-27.057
148.44,-22.726
148.91,-19.144
149.47,-25.998
149.98,-27.811
150.48,-31.223
150.99,-29.136
151.26,-30.968
151.32,-28.92
151.41,-29.262
152.36,-35.883
152.45,-31.472
152.69,-34.524
152.83,-25.487
152.92,-21.261
153.24,-27.792
153.37,-24.115
153.45,-21.714
153.94,-26.724
154.38,-25.271
154.49,-24.697
154.95,-30.261
155.48,-27.613
155.97,-34.117
156.17,-32.494
156.36,-31.285
156.44,-31.283
156.92,-31.472
157.11,-31.99
157.35,-25.574
157.88,-26.661
158.37,-33.228
158.85,-21.884
159.4,-24.941
159.66,-26.148
159.87,-23.13
160.09,-19.824
160.2,-20.396
160.35,-20.525
160.82,-29.995
161.36,-28.898
161.84,-26.299
162.28,-27.548
162.77,-31.781
163.11,-34.936
163.26,-25.126
163.86,-30.33
164.27,-25.899
164.74,-29.875
165.02,-28.412
165.11,-23.835
165.22,-19.854
165.72,-21.987
166.21,-28.407
166.62,-32.952
166.69,-24.725
166.74,-23.787
167.17,-28.891
167.62,-33.897
168.11,-24.064
168.61,-19.744
